Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,02.04.2014,2210187633,1134.52,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,02.04.2014,2210187661,882.75,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,23.04.2014,2210215239,858.01,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,23.04.2014,2210215419,1064.26,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,03.04.2014,2210188678,1447.3,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,03.04.2014,2210189051,1369.4,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,03.04.2014,2210189062,660.1,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,03.04.2014,2210189121,692.9,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,10.04.2014,2210199084,676.5,R,SUPREME HEALTHCARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,16.04.2014,2210205920,1052.16,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,16.04.2014,2210206080,1315.28,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,16.04.2014,2210206132,789.12,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-HartCommunity,Payments to Private Contractors,16.04.2014,2210205858,1963.52,R,WHO CARES HOMECARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,B*Payments To Independent and Voluntary,24.04.2014,2210216080,1494.6,R,WILLOW TREE HOMECARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Client Contributions - Non Resident,17.04.2014,3110505982,715.86,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Payments to Private Contractors,04.04.2014,2210194200,550,R,AGINCARE (RINGWOOD)
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Payments to Private Contractors,25.04.2014,2210219860,2022.6,R,AGINCARE LIVE IN CARE SERVICES LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Payments to Private Contractors,25.04.2014,2210219879,2022.6,R,AGINCARE LIVE IN CARE SERVICES LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Payments to Private Contractors,15.04.2014,2210204153,937.65,R,BURLEY'S HOME CARE SERVICES LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Payments to Private Contractors,15.04.2014,2210204159,937.65,R,BURLEY'S HOME CARE SERVICES LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Payments to Private Contractors,16.04.2014,2210206580,740.25,R,KIVERNELL CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Payments to Private Contractors,16.04.2014,2210206711,1039.88,R,KIVERNELL CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Payments to Private Contractors,16.04.2014,2210206820,789.6,R,KIVERNELL CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-NFCommWest,Payments to Private Contractors,16.04.2014,2210206866,1575.68,R,KIVERNELL CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,10.04.2014,2210198980,2301.76,R,ACQUA DORIA CARE AGENCY
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,10.04.2014,2210198982,2739.01,R,ACQUA DORIA CARE AGENCY
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,10.04.2014,2210198988,2425.51,R,ACQUA DORIA CARE AGENCY
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,10.04.2014,2210199203,911.63,R,ACQUA DORIA CARE AGENCY
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,10.04.2014,2210199206,3642.38,R,ACQUA DORIA CARE AGENCY
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,15.04.2014,2210203703,1207.5,R,ALEXANDERS CARE & SUPPORT AGENCY
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,03.04.2014,2210191988,643.5,R,ALEXANDRA CARE
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,03.04.2014,2210192047,627.01,R,ALEXANDRA CARE
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,04.04.2014,2210193231,1188,R,COMPANY & CARE
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,04.04.2014,2210193271,1380.72,R,COMPANY & CARE
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,10.04.2014,2210199029,936,R,DOMINIC CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,14.04.2014,2210202131,1296,R,DOMINIC CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,14.04.2014,2210202620,2024,R,DOMINIC CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,14.04.2014,2210202631,1040,R,DOMINIC CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,28.04.2014,2210222197,960,R,DOMINIC CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,04.04.2014,2210195044,532.72,R,IVORY HOMECARE
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,14.04.2014,2210202208,750.4,R,IVORY HOMECARE
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,15.04.2014,2210205250,510,R,NEW HOPE CARE ALDERSHOT
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,15.04.2014,2210205555,1312.64,R,REQUEST NURSING SERVICES
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,02.04.2014,2210187549,2252.8,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,02.04.2014,2210187656,635.36,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,23.04.2014,2210215209,2260.5,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,23.04.2014,2210215227,660,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,23.04.2014,2210215337,676.5,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,17.04.2014,2210210910,1246.4,R,SUPREME HEALTHCARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,17.04.2014,2210210922,1635.9,R,SUPREME HEALTHCARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,17.04.2014,2210210933,1857.3,R,SUPREME HEALTHCARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,17.04.2014,2210210944,1849.1,R,SUPREME HEALTHCARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,17.04.2014,2210210948,1873.7,R,SUPREME HEALTHCARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,16.04.2014,2210205889,1872.08,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,16.04.2014,2210205894,2301.68,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,16.04.2014,2210205934,956.48,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,16.04.2014,2210206076,860.92,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,16.04.2014,2210206104,1482.56,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,16.04.2014,2210206127,526.08,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,16.04.2014,2210205893,1736.94,R,WHO CARES HOMECARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom Care-P-RushCommunity,Payments to Private Contractors,16.04.2014,2210205975,1444.04,R,WHO CARES HOMECARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-BasSupport,Payments to Private Contractors,15.04.2014,2210204365,799.28,R,ALL CARE (GB) LTD
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-BasSupport,Payments to Private Contractors,15.04.2014,2210205161,562.14,R,ALL CARE (GB) LTD
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-BasSupport,Payments to Private Contractors,04.04.2014,2210193784,929.6,R,NURSE PLUS & CARER PLUS
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-BasSupport,Payments to Private Contractors,03.04.2014,2210188408,1564,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-BasSupport,Payments to Private Contractors,22.04.2014,2210212764,4251.15,R,TEAM MEDICAL SOLUTIONS
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-HartCommunity,Payments to Private Contractors,14.04.2014,2210202648,1120,R,DOMINIC CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-HartCommunity,Payments to Private Contractors,02.04.2014,2210187477,577.64,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-HartCommunity,Payments to Private Contractors,23.04.2014,2210215264,577.52,R,SMART CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-RushCommunity,Payments to Private Contractors,10.04.2014,2210197856,1662.38,R,ASTOR CARE & NURSING AGENCY
Hampshire County Council,ADULT SERVICES,PD-Dom-CareAttend-RushCommunity,Payments to Private Contractors,16.04.2014,2210205941,1183.72,R,UNITY IN CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,15.04.2014,2210204780,2919.84,R,ALL CARE (GB) LTD
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,15.04.2014,2210203784,1678.04,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,15.04.2014,2210203800,676.8,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,15.04.2014,2210204134,726.24,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,15.04.2014,2210204471,849.68,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,16.04.2014,2210205951,5732.48,R,AMBITION 24 HOURS
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,10.04.2014,2210197733,803.7,R,APEX CARE (WINCHESTER)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,22.04.2014,2210212070,676.8,R,AQS HOMECARE
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,28.04.2014,2210221164,522.85,R,AQS HOMECARE
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,15.04.2014,2210204734,679,R,BUTTERFLIES IN SOUTHAMPTON
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,15.04.2014,2210205614,1974,R,CAREMARK (WINCHESTER & EASTLEIGH)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,23.04.2014,2210215152,712.5,R,CAREWATCH (SOUTHAMPTON)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,17.04.2014,2210209662,2266.34,R,GREENBANKS HOMECARE WINCHESTER
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210195565,816.69,R,KIMBERLEY CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210195578,963,R,KIMBERLEY CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210196432,963,R,KIMBERLEY CARE LTD
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210194732,1583.12,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210194857,681.48,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210194934,2107.24,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210196501,625.57,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210196600,2153.2,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210196989,1534.18,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210197084,671.02,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210197166,2124.71,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,04.04.2014,2210197330,1642.52,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,10.04.2014,2210198696,664.04,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,10.04.2014,2210198794,1485.23,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,10.04.2014,2210199014,2054.81,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,17.04.2014,2210210320,1530.65,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,17.04.2014,2210210357,629.09,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,17.04.2014,2210210404,2153.2,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Private Contractors,03.04.2014,2210188789,1439.4,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,03.04.2014,2210190067,1177.33,R,SCA COMMUNITY CARE SERVICES LTD
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,10.04.2014,2210198479,1117.4,R,SCA COMMUNITY CARE SERVICES LTD
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,11.04.2014,2210200480,1177.35,R,SCA COMMUNITY CARE SERVICES LTD
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,01.04.2014,2210176715,1700.16,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,01.04.2014,2210176856,698.28,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,01.04.2014,2210177791,1654.62,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,02.04.2014,2210186441,1654.62,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,03.04.2014,2210188236,2813.36,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,25.04.2014,2210218373,698.28,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,25.04.2014,2210218376,2823.48,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,28.04.2014,2210221246,2813.36,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,28.04.2014,2210221299,1654.62,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,28.04.2014,2210221318,1654.62,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh North Communi,Payments to Voluntary bodies,28.04.2014,2210221381,1700.16,R,SEEABILITY
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210203626,789.6,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210203657,564,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210203727,1776.88,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210203734,856.91,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210203744,2122.32,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210203860,507.6,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210204079,535.96,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210204270,592.2,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210204279,831.9,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210204556,807.5,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210204738,768.6,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210205058,987,R,ALL CARE GB
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,15.04.2014,2210205277,1946,R,BUTTERFLIES IN SOUTHAMPTON
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,14.04.2014,2210202110,1201.6,R,DEES DOMICILIARY CARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,29.04.2014,2210224974,1083.5,R,DEES DOMICILIARY CARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,29.04.2014,2210224984,963.98,R,DEES DOMICILIARY CARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,29.04.2014,2210224998,597.24,R,DEES DOMICILIARY CARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,29.04.2014,2210225021,1083.5,R,DEES DOMICILIARY CARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,29.04.2014,2210225046,963.98,R,DEES DOMICILIARY CARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,29.04.2014,2210225057,597.24,R,DEES DOMICILIARY CARE SERVICES
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,04.04.2014,2210194464,503.26,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,04.04.2014,2210194482,1254.49,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,04.04.2014,2210194511,1219.9,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,04.04.2014,2210196695,639.43,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,04.04.2014,2210196725,1376.84,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,10.04.2014,2210198078,1198.53,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Private Contractors,17.04.2014,2210210180,1128.72,R,MIHOMECARE EASTLEIGH
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-Eastleigh South Communi,Payments to Voluntary bodies,01.04.2014,2210177079,768.45,R,AUTISM HAMPSHIRE
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,B*Payments To Independent and Voluntary,03.04.2014,2210192197,1057.5,R,CAREWATCH (SOUTHAMPTON)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,B*Payments To Independent and Voluntary,03.04.2014,2210188391,870.24,R,COMMUNITY CARE SERVICE
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,B*Payments To Independent and Voluntary,10.04.2014,2210197677,745.92,R,COMMUNITY CARE SERVICE
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,22.04.2014,2210211995,1755.72,R,AQS HOMECARE
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,28.04.2014,2210221323,1586.49,R,AQS HOMECARE
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,25.04.2014,2210218430,652.3,R,ASHWOOD CARE
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,25.04.2014,2210218435,1103.36,R,ASHWOOD CARE
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,15.04.2014,2210204106,1196.92,R,BLUEBIRD CARE (FAREHAM & GOSPORT)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,15.04.2014,2210204741,1134,R,BUTTERFLIES IN SOUTHAMPTON
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,03.04.2014,2210190979,1075.31,R,CAREWATCH (MERIDIAN)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,03.04.2014,2210191293,659.4,R,CAREWATCH (MERIDIAN)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,03.04.2014,2210191297,682.95,R,CAREWATCH (MERIDIAN)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,17.04.2014,2210210982,1128.28,R,CAREWATCH (MERIDIAN)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,22.04.2014,2210211514,659.4,R,CAREWATCH (MERIDIAN)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,22.04.2014,2210211515,690,R,CAREWATCH (MERIDIAN)
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,03.04.2014,2210189346,574.83,R,CARING HANDS DOMICILIARY SERVICES L
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,03.04.2014,2210189794,1854.24,R,CARING HANDS DOMICILIARY SERVICES L
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,28.04.2014,2210222813,595.95,R,CARING HANDS DOMICILIARY SERVICES L
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,28.04.2014,2210223013,1833.08,R,CARING HANDS DOMICILIARY SERVICES L
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,28.04.2014,2210221853,782.55,R,COMMUNITY ANGELS LTD
Hampshire County Council,ADULT SERVICES,PD-Domiciliary-P-FareWest,Payments to Private Contractors,23.04.2014,2210215384,1790.7,R,CROFTON CARE PARTNERSHIP
