Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222089,1226.57,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222093,1267.46,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222097,1267.46,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222105,1144.8,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,15.04.2014,2210203867,3990.52,R,DIMENSIONS (NSO) LTD
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210221114,1162,R,FITZROY SUPPORT
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188258,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188260,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188265,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188270,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188274,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188277,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188279,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188284,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188287,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188289,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188297,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,03.04.2014,2210188592,537.6,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,04.04.2014,2210195968,1419.84,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,04.04.2014,2210195975,1290.08,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,04.04.2014,2210195984,1984.12,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,04.04.2014,2210196001,2667.08,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,25.04.2014,2210219695,1042.62,R,PARKSIDE ( ALDERSHOT & DISTRICT MEN
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,25.04.2014,2210219707,620.4,R,PARKSIDE ( ALDERSHOT & DISTRICT MEN
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,25.04.2014,2210219848,592.2,R,PARKSIDE ( ALDERSHOT & DISTRICT MEN
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222908,592.2,R,PARKSIDE ( ALDERSHOT & DISTRICT MEN
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222946,789.6,R,PARKSIDE ( ALDERSHOT & DISTRICT MEN
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,14.04.2014,2210201995,1508,R,ROYAL MENCAP SOCIETY
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,14.04.2014,2210201947,1740,R,ROYAL MENCAP SOCIETY (FAREHAM)
