Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,01-Mar-23,51500868207,"£1,950.00",Curly Tails,Children's Services,Service Director - Social Care,Catering Provisions
Milton Keynes City Council,01-Mar-23,51500863996,"£2,248.34",PSL Print Management LTD,Finance & Resources - Services,Lead Authority Shared Services,Printing
Milton Keynes City Council,01-Mar-23,51500868665,"£2,259.00",PATROL Parking and Traffic Regulations,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500863870,"£2,310.00",Golden Living Property Consultants Ltd,Children's Services,Children's Social Work,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500868745,"£2,621.83",Anglian Water Business (National) Limited,Adult Services (HRA),HRA Sheltered Housing,Water charges
Milton Keynes City Council,01-Mar-23,51500868293,"£2,760.00",Robertson Cooper Ltd,Finance & Resources - Services,HR,Staff Training & Development
Milton Keynes City Council,01-Mar-23,51500864446,"£3,126.48",Anchor Fostercare Services Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,01-Mar-23,65500005828,"£3,150.00",Ellievison AV Limited,Finance & Resources - Corporate Codes,Corporate Codes,Bank Account - Payables
Milton Keynes City Council,01-Mar-23,51500861642,"£3,152.24",Amber Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,01-Mar-23,51500861562,"£3,156.16",Amber Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,01-Mar-23,51500867599,"£3,241.56",Fostering Innovations Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,01-Mar-23,51500868472,"£3,300.00",Edmund Walters T/A 42 Bedford Row,Planning and Placemaking,Planning,External Legal Fees
Milton Keynes City Council,01-Mar-23,51500862184,"£3,330.00",Bill's Minibus and Coach Hire Ltd,Customer and Community Services,Leisure & Community,Transport Contract Payments
Milton Keynes City Council,01-Mar-23,51500860245,"£3,425.00",PACE - Parents Against Child Exploitation,Finance & Resources - Services,HR,Staff Training & Development
Milton Keynes City Council,01-Mar-23,51500857335,"£3,446.59",Access UK Ltd,Adult Services,Commissioning & Contracts,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500868622,"£3,513.39",Redline Buses Ltd,Environment & Property,Director Environment and Property,Concessions - payments to transport operators
Milton Keynes City Council,01-Mar-23,51500868304,"£3,750.00",Healthwatch Milton Keynes CIO,Adult Services,Commissioning & Contracts,Grants
Milton Keynes City Council,01-Mar-23,51500868585,"£3,976.00",Redacted Personal Data,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500868618,"£3,996.00",Redacted Personal Data,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500868449,"£4,284.90",Axiom b2,Environment & Property,Director Environment and Property,Building Repair and Maintenance
Milton Keynes City Council,01-Mar-23,51500868676,"£6,240.00",Nextstep Systems Limited,Finance & Resources - Services,ICT,Consultancy
Milton Keynes City Council,01-Mar-23,51500868663,"£6,518.40",Churches Fire Security Ltd,Adult Services,Rough Sleeper,Security Equipment
Milton Keynes City Council,01-Mar-23,51500859865,"£6,567.90",Cambridgeshire & Peterborough Combined Authority,Environment & Property,Director Environment and Property,Computer software - purchase
Milton Keynes City Council,01-Mar-23,51500861557,"£7,172.20",Amber Fostering Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,01-Mar-23,51500868781,"£7,374.01",The Extracare Charitable Trust,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,01-Mar-23,51500868269,"£9,217.89",Humly Milton Keynes Limited,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500868782,"£11,493.03",The Extracare Charitable Trust,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,01-Mar-23,51500857390,"£12,245.10",KWS Educational Services Ltd,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500857359,"£13,306.43",Biffa Waste Services Limited,Environment & Property,Waste,Construction - External Professional Fees
Milton Keynes City Council,01-Mar-23,51500868780,"£14,748.03",The Extracare Charitable Trust,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,01-Mar-23,51500860433,"£18,000.00",Access UK Limited t/a Adam,Adult Services,Homeless Prevention + Access,Rents and Leases
Milton Keynes City Council,01-Mar-23,51500868783,"£19,060.13",The Extracare Charitable Trust,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,01-Mar-23,51500868177,"£20,993.76",5 Dimensions Trust t/a The Hazeley Academy,Housing & Regeneration - HRA,Regeneration HRA,Demolition
Milton Keynes City Council,01-Mar-23,51500857246,"£110,846.04",Biffa Waste Services Limited,Environment & Property,Head of Service - Env and Waste,Waste Disposal
Milton Keynes City Council,01-Mar-23,51500868474,"£137,854.15","NHS Beds, Luton & MK ICB",Adult Services,Commissioning & Contracts,Health Authority Payments
Milton Keynes City Council,01-Mar-23,51500864350,"£1,161,376.43",Mears Limited,Env & Prop (HRA),HRA Asset Management and Investment,Building Repair and Maintenance
Milton Keynes City Council,01-Mar-23,51500864351,"£1,264,838.10",Mears Limited,Env & Prop (HRA),HRA Asset Management and Investment,Building Repair and Maintenance
Milton Keynes City Council,03-Mar-23,51500869608,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869613,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869617,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869616,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869615,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869614,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869610,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869609,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869611,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869612,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869618,"-£6,287.40",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869603,"-£6,000.00",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869602,"-£6,000.00",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869605,"-£6,000.00",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500869604,"-£6,000.00",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500870779,"-£5,500.00",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870749,"-£5,056.48",Cinnabar Support and Living Ltd Re: The Beeches,Adult Services,Mental Health,Residential Care
Milton Keynes City Council,03-Mar-23,51500870750,"-£5,056.48",Cinnabar Support and Living Ltd Re: The Beeches,Adult Services,Mental Health,Residential Care
Milton Keynes City Council,03-Mar-23,51500870911,"-£4,909.24",Cinnabar Support and Living Ltd Re: The Stratfords Residential Home,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,03-Mar-23,51500870912,"-£4,909.24",Cinnabar Support and Living Ltd Re: The Stratfords Residential Home,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,03-Mar-23,51500870116,"-£4,741.35",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,03-Mar-23,51500871053,"-£4,354.08",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870341,"-£4,061.40",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870358,"-£4,061.40",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500871047,"-£4,000.00",Adara Healthcare Ltd t/a Burlington Hall,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869607,"-£3,817.35",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500870810,"-£3,400.00",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500871175,"-£2,800.32",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500871182,"-£2,800.32",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500871174,"-£2,800.32",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500871181,"-£2,800.32",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500871179,"-£2,800.32",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500871176,"-£2,800.32",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500871180,"-£2,800.32",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500871177,"-£2,800.32",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500871178,"-£2,800.32",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500870905,"-£2,680.00",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870901,"-£2,680.00",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870740,"-£2,680.00",Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870852,"-£2,680.00",Methodist Homes,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500869606,"-£2,357.14",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500870775,"-£2,353.52",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
