Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,29-Mar-23,51500886845,"£4,643.75",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885542,"£4,665.29",Caretech Community Services Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500886488,"£4,714.88",Condover College Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500885403,"£4,739.98",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500886109,"£4,764.53",Accomplish Group Support Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500886403,"£4,765.60",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500886539,"£4,767.59",Christchurch Court Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500883782,"£4,769.25",Red Rose Travel,Environment & Property,Director Environment and Property,Concessions - payments to transport operators
Milton Keynes City Council,29-Mar-23,51500887064,"£4,776.41",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500884971,"£4,784.79",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885549,"£4,810.63",Precious Homes Support Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500886487,"£4,811.70",Condover College Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500886483,"£4,830.24",Zebra Care Homes Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887250,"£4,830.39",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886107,"£4,852.17",Accomplish Group Support Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887614,"£4,873.68",Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887619,"£4,873.68",Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886710,"£4,874.80",Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885449,"£4,908.23",Voyage 1 Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500871226,"£5,000.00",MK-ACT,Adult Services,Commissioning & Contracts,Other Service User Support
Milton Keynes City Council,29-Mar-23,51500885404,"£5,011.09",Tebmar Ltd Re: Hillcrest Residential Home,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887288,"£5,076.75",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886548,"£5,148.02",Autism Care UK Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886551,"£5,148.02",Autism Care UK Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886517,"£5,163.47",Rhodsac Community Living Ltd Re: Rhodsac Care Home,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500885996,"£5,169.07",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885450,"£5,173.51",Voyage Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500885544,"£5,175.07",Precious Homes Support Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500883751,"£5,182.52",Daisy Communications Ltd,Finance & Resources - Services,Lead Authority Shared Services,Miscellaneous Control Accounts
Milton Keynes City Council,29-Mar-23,51500886955,"£5,263.10",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887072,"£5,263.57",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886486,"£5,276.32",Care Management Group Ltd Re : 1 Fengates Road,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500884137,"£5,330.00",Bredon School Ltd,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500887553,"£5,337.84",Destiny International Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886518,"£5,341.83",Rhodsac Community Living Ltd Re: Rhodsac Care Home,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887099,"£5,350.80",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886474,"£5,379.29",Caretech Community Services Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887463,"£5,398.49",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885546,"£5,415.58",Precious Homes Support Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500885400,"£5,433.55",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885401,"£5,462.74",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500886514,"£5,508.73",Voyage Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887048,"£5,515.95",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500874582,"£5,549.04",Apetito Ltd,Adult Services,Sheltered Housing and Care and Response,Catering Contract
Milton Keynes City Council,29-Mar-23,51500887058,"£5,572.44",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887448,"£5,584.80",Living Horizon Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,29-Mar-23,51500886524,"£5,633.67",Choice Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500883920,"£5,640.00",Envision Energy Limited T/A MEP Concepts,Environment & Property,Property,Building Repair and Maintenance
Milton Keynes City Council,29-Mar-23,51500887146,"£5,642.00",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886523,"£5,643.86",Orchard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500886402,"£5,678.49",P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500883982,"£5,735.00",Moon and Back Foster Care Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,29-Mar-23,51500884973,"£5,755.54",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885440,"£5,800.23",Accomplish Group Support Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500886519,"£5,822.81",Rhodsac Community Living Ltd Re: Rhodsac Care Home,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500886472,"£5,826.38",Care Management Group Ltd Re : 1 Fengates Road,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500886478,"£5,884.27",Precious Homes Support Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887520,"£5,973.60",Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885463,"£5,990.40",Sense,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500885564,"£6,006.93",Progress Adult Living Services LLP,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887383,"£6,115.89",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,29-Mar-23,51500884979,"£6,116.31",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500886476,"£6,187.02",Sanctuary Care (Combined) Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887045,"£6,191.59",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885442,"£6,352.50",Accomplish Group Support Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887066,"£6,368.55",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887251,"£6,440.53",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885462,"£6,480.11",Sense,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887467,"£6,592.88",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887145,"£6,624.80",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886480,"£6,638.19",Precious Homes Support Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500881395,"£6,667.22",RRC (RRConsultancy) Ltd,Customer and Community Services,Customer Service,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500886538,"£6,740.75",The Richardson Mews Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887294,"£6,769.00",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887298,"£6,769.00",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887302,"£6,769.00",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887306,"£6,769.00",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887310,"£6,769.00",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887314,"£6,769.00",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500886473,"£6,828.73",Caretech Community Services Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887666,"£6,857.96",Vital Healthcare Services Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887668,"£6,857.96",Vital Healthcare Services Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885441,"£6,974.01",Accomplish Group Support Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500886954,"£7,017.46",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500884983,"£7,033.97",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500886482,"£7,041.49",Precious Homes Support Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500885439,"£7,102.29",Accomplish Group Support Ltd,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500887059,"£7,429.92",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500871413,"£7,488.00",BHR Pharmaceuticals Ltd,Public Health,STP - Prevention Funding,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500886479,"£7,574.93",Precious Homes Support Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500885053,"£7,881.48",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500886481,"£7,926.97",Precious Homes Support Limited,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500885172,"£8,345.64",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884136,"£8,370.00",Northgate School Arts College,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500887828,"£8,400.00",Freeths LLP Client Account,Environment & Property,Property,External Legal Fees
Milton Keynes City Council,29-Mar-23,51500885026,"£8,444.44",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885008,"£8,444.44",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500887115,"£8,581.31",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885017,"£8,725.92",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884999,"£8,725.92",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884990,"£8,725.92",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885035,"£8,725.92",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885044,"£8,725.92",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885062,"£8,725.92",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500886499,"£8,792.55",Progress Adult Living Services LLP,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,29-Mar-23,51500871596,"£8,832.00",BHR Pharmaceuticals Ltd,Public Health,STP - Prevention Funding,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500885122,"£8,941.76",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885092,"£8,941.76",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885072,"£8,941.76",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885142,"£8,941.76",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885102,"£9,239.82",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885082,"£9,239.82",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885152,"£9,239.82",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885162,"£9,239.82",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885182,"£9,239.82",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885112,"£9,239.82",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885132,"£9,239.82",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500887460,"£9,345.43",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885186,"£9,819.00",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500883828,"£10,195.75",Home Group Ltd,Adult Services,Commissioning & Contracts,Joint Authorities Payments
Milton Keynes City Council,29-Mar-23,51500885270,"£10,508.64",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884758,"£11,127.52",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885245,"£11,259.26",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885255,"£11,259.26",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500887474,"£11,283.04",Precious Homes Support Limited,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500885265,"£11,634.57",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885260,"£11,634.57",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885235,"£11,634.57",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885240,"£11,634.57",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885250,"£11,634.57",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885275,"£11,634.57",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884733,"£11,922.34",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885280,"£11,922.34",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884743,"£11,922.34",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885290,"£11,922.34",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500885285,"£12,319.75",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884753,"£12,319.75",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884723,"£12,319.75",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884738,"£12,319.75",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884748,"£12,319.75",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884763,"£12,319.75",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884728,"£12,319.75",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500884765,"£13,092.00",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,29-Mar-23,51500882266,"£13,135.89",Red Oak Asset Management Ltd,Env & Prop (HRA),HRA Asset Management and Investment,Settlement Payments
Milton Keynes City Council,29-Mar-23,51500869266,"£13,331.67",The Advocacy People,Adult Services,Commissioning & Contracts,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500887459,"£13,515.75",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500871221,"£13,666.00",MK-ACT,Adult Services,Commissioning & Contracts,Other Service User Support
Milton Keynes City Council,29-Mar-23,51500887675,"£14,133.92",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887677,"£14,133.92",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887676,"£14,133.92",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500887674,"£14,133.92",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,29-Mar-23,51500883847,"£14,281.94",Electoral Reform (Ballot Services),Law & Governance,Democratic Services,Consultancy
Milton Keynes City Council,29-Mar-23,51500871929,"£14,750.00",Radice Surveyors Ltd t/a Radice Chartered Surveyors,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500884145,"£17,051.00",Driscoll Kingston Solicitors,Env & Prop (HRA),HRA Asset Management and Investment,Disrepair Claims
Milton Keynes City Council,29-Mar-23,51500871894,"£18,487.52",West Northamptonshire Council,Finance & Resources - Services,Revenues and Benefits Service,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500883988,"£19,376.42",Gold Care Management Services Ltd Re: Bletchley House,Adult Services,Commissioning & Contracts,Direct Payments
Milton Keynes City Council,29-Mar-23,51500885054,"£19,761.00",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500869986,"£20,000.00",ACS Care Services Ltd (Contractual only),Adult Services,Commissioning & Contracts,Domiciliary Care
Milton Keynes City Council,29-Mar-23,51500871218,"£20,000.00",MK-ACT,Adult Services,Commissioning & Contracts,Other Service User Support
Milton Keynes City Council,29-Mar-23,51500885027,"£21,172.50",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885009,"£21,172.50",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884991,"£21,878.25",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885000,"£21,878.25",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885018,"£21,878.25",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885036,"£21,878.25",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885063,"£21,878.25",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885045,"£21,878.25",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884012,"£22,968.00",Pepper Hill  School,Children's Services,Early Years Block,Grants
Milton Keynes City Council,29-Mar-23,51500871810,"£24,000.00",AECOM Infrastructure & Environment UK Limited,Planning and Placemaking,Planning,Specialist Equipment For Service Delivery
Milton Keynes City Council,29-Mar-23,51500881457,"£29,231.24",University College London,Public Health,Public Health Management & Admin,Professional Fees and Hired Services
Milton Keynes City Council,29-Mar-23,51500882864,"£30,000.00",Access UK Limited t/a Adam,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,29-Mar-23,51500883974,"£37,476.62",Gold Care Management Services Ltd Re: Bletchley House,Adult Services,Commissioning & Contracts,Direct Payments
Milton Keynes City Council,29-Mar-23,51500869985,"£41,538.46",ACS Care Services Ltd (Contractual only),Adult Services,Commissioning & Contracts,Domiciliary Care
Milton Keynes City Council,29-Mar-23,51500869977,"£43,750.00",MK-ACT,Adult Services,Commissioning & Contracts,Other Service User Support
Milton Keynes City Council,29-Mar-23,51500885269,"£44,680.76",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884757,"£47,312.36",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885254,"£47,872.24",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885244,"£47,872.24",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885264,"£49,467.98",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885249,"£49,467.98",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885274,"£49,467.98",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885234,"£49,467.98",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885239,"£49,467.98",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885259,"£49,467.98",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885279,"£50,691.81",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884732,"£50,691.81",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884742,"£50,691.81",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885289,"£50,691.81",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884727,"£52,381.54",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885284,"£52,381.54",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884752,"£52,381.54",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884762,"£52,381.54",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884737,"£52,381.54",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884747,"£52,381.54",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884722,"£52,381.54",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500885173,"£53,807.04",London Excel (Ferngrove Care),Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,29-Mar-23,51500884764,"£55,665.04",Excelcare Holdings PLC re:Castlemead Court Care Centre,Adult Services,Commissioning & Contracts,Nursing Care
