Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,851.76,£0.00,Redacted - personal info,221004,Revenue,STC159439
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,855.04,£0.00,Redacted - personal info,221001,Revenue,STC159443
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,03-Jan-23,858.96,£0.00,Redacted - personal info,221005,Revenue,STC159448
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,03-Jan-23,883.56,£0.00,Redacted - personal info,221005,Revenue,STC159476
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,900.48,£0.00,St Annes Community Services,221004,Revenue,STC159493
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,903,£0.00,Redacted - personal info,221001,Revenue,STC159494
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,903.98,£0.00,Redacted - personal info,221001,Revenue,STC159496
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,911.32,£0.00,Redacted - personal info,221004,Revenue,STC159499
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,912,£0.00,Redacted - personal info,213800,Revenue,STC159501
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,912,£0.00,Redacted - personal info,213800,Revenue,STC159502
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,912,£0.00,Redacted - personal info,213800,Revenue,STC159503
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,928.8,£0.00,Redacted - personal info,221004,Revenue,STC159517
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,928.8,£0.00,Redacted - personal info,221004,Revenue,STC159518
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,928.8,£0.00,Redacted - personal info,221001,Revenue,STC159519
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,936.48,£0.00,Redacted - personal info,221004,Revenue,STC159533
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Special Guardianship Allowances (former foster carers),Special Guardianship Allowances,03-Jan-23,938.9,£0.00,Redacted - personal info,213901,Revenue,STC159536
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Fairer Charging,Learning Disability Support,03-Jan-23,954.96,£0.00,Redacted - personal info,221004,Revenue,STC159550
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Social Support for Social Isolation,03-Jan-23,954.96,£0.00,Redacted - personal info,221009,Revenue,STC159551
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,956.68,£0.00,Redacted - personal info,221004,Revenue,STC159555
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,957.6,£0.00,Redacted - personal info,221001,Revenue,STC159557
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,964,£0.00,Redacted - personal info,213800,Revenue,STC159561
