﻿PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,142.14"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,177.86"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,820.71"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,606.43"
03-DEC-2024,C&FS (P),Cornerstones Group Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,142.14"
03-DEC-2024,C&FS (P),Dudley Metropolitan Borough Council,TRADE SUPPLIER,5212-OLEA Recoupment,"£4,209.47"
03-DEC-2024,C&FS (P),Dudley Metropolitan Borough Council,TRADE SUPPLIER,5212-OLEA Recoupment,"£3,209.97"
03-DEC-2024,Environment & Transport (P),Duncan Dearden Agricultural Contractor,TRADE SUPPLIER,5411-Private Contractors - General,£941.98
03-DEC-2024,C&FS (P),East Midlands Education Trust T/A Limehurst Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Corporate Resources (CR) (P),Freeman Farming,TRADE SUPPLIER,2501-Grounds Maintenance,"£4,999.00"
03-DEC-2024,C&FS (P),Frisby CE Primary School Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Glebe House (Charnwood) Ltd     1,TRADE SUPPLIER,5429-Community/Domiciliary,"£1,168.00"
03-DEC-2024,Corporate Resources (CR) (P),Hatherley Commercial Services Ltd,TRADE SUPPLIER,4102-General Equipment - Purchase & Repairs,£529.14
03-DEC-2024,C&FS (P),Henry David Learning Ltd,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Hinckley Parks Primary School (Owls Academy Trust),GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Humphrey Perkins School Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),REDACTED PERSONAL DATA,TRADE INDIVIDUAL,5443-Agency & Contracted Services,"£1,750.00"
03-DEC-2024,Balance Sheet Cost Centres (P),Jelson Ltd,TRADE SUPPLIER,9722-Creditor Balances,"£5,325.00"
03-DEC-2024,Environment & Transport (P),REDACTED PERSONAL DATA,TRADE INDIVIDUAL,3125-Transport External Operator Contract,"£2,070.00"
03-DEC-2024,C&FS (P),LCC Iveshead School,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Corporate Resources (CR) (P),Leicester City Council (NDR),TRADE SUPPLIER,2311-Rates,£998.00
03-DEC-2024,C&FS (P),Little Hill Primary School Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Corporate Resources (CR) (P),Melton Borough Council,OTHER LOCAL AUTHORITIES,2311-Rates,£708.75
03-DEC-2024,C&FS (P),Melton Swallowdale CP School Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Melton Swallowdale CP School Academy,GENERAL,6101-Support Services,£649.00
03-DEC-2024,C&FS (P),Millfield L.E.A.D. Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Millfield L.E.A.D. Academy,GENERAL,6101-Support Services,£536.00
03-DEC-2024,C&FS (P),Mountfields Lodge School Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Environment & Transport (P),ND Brown Ltd,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£1,449.00"
03-DEC-2024,C&FS (P),New Leaf Triangle CIC,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£3,780.00"
03-DEC-2024,C&FS (P),New Leaf Triangle CIC,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,£882.00
03-DEC-2024,C&FS (P),New Leaf Triangle CIC,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£3,024.00"
03-DEC-2024,C&FS (P),New Leaf Triangle CIC,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£2,772.00"
03-DEC-2024,C&FS (P),New Leaf Triangle CIC,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£1,386.00"
03-DEC-2024,C&FS (P),Newbridge High School,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Environment & Transport (P),NMI Taxi Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,340.00"
03-DEC-2024,Corporate Resources (CR) (P),Oadby & Wigston Borough Council,OTHER LOCAL AUTHORITIES,2311-Rates,"£3,611.67"
03-DEC-2024,C&FS (P),Oak Multi Academy Trust T/A Overdale Infant School,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Outwood Academy Valley,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Environment & Transport (P),REDACTED PERSONAL DATA,TRADE SUPPLIER,3125-Transport External Operator Contract,£727.65
03-DEC-2024,Corporate Resources (CR) (P),Pickfords Move Management Ltd,TRADE SUPPLIER,2101-R&M Buildings,"£1,501.20"
03-DEC-2024,Corporate Resources (CR) (P),Pickfords Move Management Ltd,TRADE SUPPLIER,2101-R&M Buildings,"£8,840.40"
03-DEC-2024,Corporate Resources (CR) (P),Playdale Playgrounds Ltd,SUBCONTRACTOR,2501-Grounds Maintenance,£935.88
03-DEC-2024,C&FS (P),Priory Federation Of Academies Trust,GENERAL,6101-Support Services,£650.00
03-DEC-2024,C&FS (P),Rise Multi Academy Trust,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Robert Bakewell Community School Academy,GENERAL,6101-Support Services,£607.00
03-DEC-2024,C&FS (P),Robert Bakewell Community School Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Corporate Resources (CR) (P),Royal Mail Group Ltd,TRADE SUPPLIER,4607-Postal Services ,"£1,179.54"
03-DEC-2024,C&FS (P),Small Talk (SLT) Ltd,TRADE SUPPLIER,4901-Other Expenditure,£680.00
03-DEC-2024,C&FS (P),South Charnwood High School Academy,GENERAL,6101-Support Services,"£1,000.00"
03-DEC-2024,C&FS (P),Southend East Community Academy Trust,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Spencer Academy T/A Long Field Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),St Peters C.E. Primary Academy,GENERAL,6101-Support Services,£645.00
03-DEC-2024,C&FS (P),St Thomas Aquinas Catholic Multi Academy Trust T/A Saint Martins Catholic Voluntary Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),St Thomas Aquinas Catholic Multi Academy Trust T/A Saint Martins Catholic Voluntary Academy,GENERAL,6101-Support Services,£700.00
03-DEC-2024,C&FS (P),Stafford Leys Academy Trust,GENERAL,6101-Support Services,£700.00
03-DEC-2024,Adults & Communities (P),REDACTED PERSONAL DATA,TRADE SUPPLIER,4508-Medical Fees & Treatment,"£2,816.85"
03-DEC-2024,Environment & Transport (P),Stewart Hill Associates Ltd T/A Guardian Angels,TRADE SUPPLIER,1703-Training Expenses,£815.00
03-DEC-2024,Environment & Transport (P),Stewart Hill Associates Ltd T/A Guardian Angels,TRADE SUPPLIER,1703-Training Expenses,£850.00
03-DEC-2024,C&FS (P),Stonebow Primary School Academy,GENERAL,6101-Support Services,£530.00
03-DEC-2024,C&FS (P),Vineyard Homes Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,071.42"
03-DEC-2024,C&FS (P),Vineyard Homes Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,857.14"
03-DEC-2024,C&FS (P),Wreake Valley Academy,GENERAL,6101-Support Services,£570.00
03-DEC-2024,C&FS (P),Young People First Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,454.33"
03-DEC-2024,C&FS (P),Young People First Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,454.33"
03-DEC-2024,C&FS (P),Young People First Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,454.33"
03-DEC-2024,C&FS (P),Young People First Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,454.33"
04-DEC-2024,Adults & Communities (P),2M HEATH & HOMECARE SERVICES LTD&&ISHC3873,HOME CARE,5505-Homecare,"£14,984.83"
04-DEC-2024,Adults & Communities (P),ABSOLUTE CARE AGENCY&&ISHC2620,HOME CARE,5505-Homecare,"£15,543.35"
04-DEC-2024,Adults & Communities (P),ABSOLUTE CARE AGENCY&&ISHC2620,HOME CARE,5505-Homecare,£562.85
04-DEC-2024,Adults & Communities (P),ABUNDANT CARE LIMITED&&ISHC6217,HOME CARE,5505-Homecare,"£1,740.65"
04-DEC-2024,Adults & Communities (P),ACCREDO SUPPORT AND DEVELOPMENT LTD&&CLCD3325,CLC,5504-Day/CLC Services,"£2,968.76"
04-DEC-2024,Adults & Communities (P),ACCREDO SUPPORT AND DEVELOPMENT LTD&&CLCD3325,CLC,5504-Day/CLC Services,"£2,968.76"
04-DEC-2024,Adults & Communities (P),ADAPTUS CARES LTD&&ISHC5289,HOME CARE,5505-Homecare,"£6,836.96"
04-DEC-2024,Adults & Communities (P),AGE UK LEICESTERSHIRE AND RUTLAND&&CLCD3314,CLC,5504-Day/CLC Services,"£3,404.10"
04-DEC-2024,Adults & Communities (P),ALLIANCE SC LTD&&ISHC6700,HOME CARE,5505-Homecare,£907.45
04-DEC-2024,Adults & Communities (P),AMICARE DOMICILIRY CARE SERVICES LTD&&ISHC2524,HOME CARE,5505-Homecare,"£6,434.64"
04-DEC-2024,Adults & Communities (P),AROMA CARE PEOPLE LTD&&ISHC7001,HOME CARE,5505-Homecare,"£9,380.74"
04-DEC-2024,Adults & Communities (P),ASHRAY CARE SERVICES LTD T/A SURECARE LEICESTER&&ISHC7005,HOME CARE,5505-Homecare,£772.15
04-DEC-2024,Adults & Communities (P),B24 HEALTHCARE SOLUTIONS LTD&&ISHC7002,HOME CARE,5505-Homecare,"£6,122.35"
