PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
01-Nov-24,Adults & Communities (P),Bolinda UK Ltd,TRADE SUPPLIER,4111-Books & Audio Visual,"£2,085.19"
01-Nov-24,Environment & Transport (P),Book a Cab Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,125.00"
01-Nov-24,Corporate Resources (CR) (P),Bootleg Shadows,TRADE SUPPLIER,"4501-Exhibitions, Displays, Events & Performances","£1,327.28"
01-Nov-24,Chief Executives (P),Bridge (East Midlands),TRADE SUPPLIER,5316-Voluntary Sector Contract Support,"£4,944.50"
01-Nov-24,Environment & Transport (P),REDACTED PERSONAL DATA,NON TRADE,3125-Transport External Operator Contract,"£2,300.10"
01-Nov-24,C&FS (P),Care Today Children Services,TRADE SUPPLIER,5411-Private Contractors - General,"£23,521.20"
01-Nov-24,Adults & Communities (P),Cassa Assura Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£13,950.46"
01-Nov-24,Corporate Resources (CR) (P),CDW Ltd,TRADE SUPPLIER,4603-IT Software Licenses/Subscription,"£11,117.88"
01-Nov-24,Balance Sheet Cost Centres (P),Central Construction Services Ltd,SUBCONTRACTOR,9631-Inventories - General,£760.00
01-Nov-24,Environment & Transport (P),Centrebus Ltd,TRADE SUPPLIER,3124-Other Transport Costs,"£5,448.42"
01-Nov-24,Balance Sheet Cost Centres (P),Certas Energy UK Ltd,TRADE SUPPLIER,9632-Inventories - LHD Fuel Petrol,"£2,182.80"
01-Nov-24,Balance Sheet Cost Centres (P),Certas Energy UK Ltd,TRADE SUPPLIER,"9634-Inventories - LHD Fuel White, Diesel","£5,227.05"
01-Nov-24,Balance Sheet Cost Centres (P),Certas Energy UK Ltd,TRADE SUPPLIER,9635-Inventories - LHD Fuel Adblue,£760.38
01-Nov-24,C&FS (P),Child Psychology Service,TRADE SUPPLIER,5445-Adoption Support,£850.00
01-Nov-24,C&FS (P),Child Psychology Service,TRADE SUPPLIER,5445-Adoption Support,£600.00
01-Nov-24,Environment & Transport (P),Chipside Ltd,TRADE SUPPLIER,4907-Bank Charges,"£1,514.50"
01-Nov-24,Environment & Transport (P),Chipside Ltd,TRADE SUPPLIER,4907-Bank Charges,"£1,367.48"
01-Nov-24,Environment & Transport (P),REDACTED PERSONAL DATA,NON TRADE,3125-Transport External Operator Contract,£936.16
01-Nov-24,C&FS (P),Community Hosting and Support CIC,TRADE SUPPLIER,5411-Private Contractors - General,"£3,985.80"
01-Nov-24,Capital - In Year Spend (P),Community Inclusive Trust,TRADE SUPPLIER,941D-L&B - Building Costs,"£35,000.00"
01-Nov-24,C&FS (P),Context To Cognition,TRADE INDIVIDUAL,5443-Agency & Contracted Services,£600.00
01-Nov-24,Corporate Resources (CR) (P),Corden Hardware Co Ltd,TRADE SUPPLIER,2101-R&M Buildings,"£7,361.45"
01-Nov-24,Corporate Resources (CR) (P),Corden Hardware Co Ltd,TRADE SUPPLIER,2101-R&M Buildings,£560.00
01-Nov-24,Environment & Transport (P),Crown Hill Taxis & Care Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,617.00"
01-Nov-24,Environment & Transport (P),Crown Hill Taxis & Care Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,604.00"
01-Nov-24,Environment & Transport (P),Crown Hill Taxis & Care Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£4,066.00"
01-Nov-24,Environment & Transport (P),Crown Hill Taxis & Care Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£3,108.00"
01-Nov-24,Environment & Transport (P),Crown Hill Taxis & Care Services Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,352.00"
01-Nov-24,Corporate Resources (CR) (P),Crowndale Foodservices Ltd,TRADE SUPPLIER,4504-Provisions Purchases,"£1,123.46"
01-Nov-24,Corporate Resources (CR) (P),Crowndale Foodservices Ltd,TRADE SUPPLIER,4504-Provisions Purchases,£818.20
01-Nov-24,Corporate Resources (CR) (P),Crowndale Foodservices Ltd,TRADE SUPPLIER,4504-Provisions Purchases,£829.14
01-Nov-24,Corporate Resources (CR) (P),Crowndale Foodservices Ltd,TRADE SUPPLIER,4504-Provisions Purchases,£882.10
01-Nov-24,Corporate Resources (CR) (P),CSM Leicester,TRADE SUPPLIER,2101-R&M Buildings,"£1,445.00"
01-Nov-24,Environment & Transport (P),CSM Leicester,TRADE SUPPLIER,2101-R&M Buildings,"£3,850.00"
01-Nov-24,Environment & Transport (P),D&L Soni,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,221.66"
01-Nov-24,Environment & Transport (P),REDACTED PERSONAL DATA,TRADE INDIVIDUAL,3125-Transport External Operator Contract,"£1,501.50"
01-Nov-24,C&FS (P),Daystar Care Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£9,028.64"
01-Nov-24,C&FS (P),Daystar Care Services Ltd,TRADE SUPPLIER,5429-Community/Domiciliary,"£3,780.00"
01-Nov-24,Environment & Transport (P),DE MONTFORT TAXI LTD,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,268.00"
01-Nov-24,Environment & Transport (P),DE MONTFORT TAXI LTD,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,008.00"
01-Nov-24,C&FS (P),REDACTED PERSONAL DATA,TRADE SUPPLIER,5443-Agency & Contracted Services,"£1,425.00"
01-Nov-24,C&FS (P),REDACTED PERSONAL DATA,TRADE SUPPLIER,5443-Agency & Contracted Services,"£1,425.00"
01-Nov-24,Environment & Transport (P),Denham Procurement & Sourcing Solutions Ltd,TRADE SUPPLIER,4109-Materials,"£1,878.60"
01-Nov-24,Balance Sheet Cost Centres (P),Denham Procurement & Sourcing Solutions Ltd,TRADE SUPPLIER,9631-Inventories - General,"£1,708.50"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,115.67"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£6,842.14"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,032.39"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£6,886.43"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£6,713.71"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,642.86"
