date,supplier,directorate,purpose,amount
2023-05-19,People Plus Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,63522.26
2023-05-19,People Plus Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,6352.23
2023-05-19,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,91852.75
2023-05-19,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,900
2023-05-19,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5244.21
2023-05-19,Talented Training,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,50255.93
2023-05-19,Talented Training,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5025.59
2023-05-19,The Portland Training,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,31573.09
2023-05-19,The Portland Training,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,3157.31
2023-05-19,The Portland Training,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,36956.66
2023-05-19,The Skills Network,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,23572.28
2023-05-19,The Skills Network,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,50303.82
2023-05-19,Think Employment Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,6423.74
2023-05-19,Think Employment Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,642.38
2023-05-19,Total Training Provision,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5773.81
2023-05-19,Total Training Provision,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5281.99
2023-05-19,Total Training Provision,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,54288.09
2023-05-19,Waltham International College Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,4228
2023-05-19,Woodspeen Training Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,97791.12
2023-05-19,Woodspeen Training Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,9728.32
2023-05-19,Askham Bryan College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,53975.05
2023-05-19,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,12620
2023-05-19,Barnsley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,14797.92
2023-05-19,Bradford MDC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,82356.88
2023-05-19,Bradford College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,815065.66
2023-05-19,Calderdale College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,435241.88
2023-05-19,Calderdale College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,31816
2023-05-19,Calderdale MBC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,114803.85
2023-05-19,City of York Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1113.16
2023-05-19,Craven College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,58356.04
2023-05-19,Kirklees College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,754921.26
2023-05-19,Kirklees College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,49667
2023-05-19,Kirklees Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,30172.64
2023-05-19,Leeds City Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,234966.72
2023-05-19,Leeds College of Building,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,119548.86
2023-05-19,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1667994.33
2023-05-19,Northern College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,80903.2
2023-05-19,Shipley College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,180375.05
2023-05-19,Wakefield Metropolitan District Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,216704.12
2023-05-19,Wakefield College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,183150.13
2023-05-19,Workers Educational Association,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,112205.43
2023-05-19,York College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,8851.91
2023-05-19,Aim2Learn,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,260964.26
