Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,02/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,29/11/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Children and Education,Children & Education Services,Achieve Mentoring,18/11/2022,,1144.04,CLIENTS EXPENSES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Achieve Mentoring,18/11/2022,,1275.01,CLIENTS EXPENSES,Not classified
Solihull MBC,Children and Education,Children & Education Services,ACPAS Ltd,24/11/2022,,857.91,PROFESSIONAL FEES,Not classified
Solihull MBC,Children and Education,Children & Education Services,ACPAS Ltd,24/11/2022,,849.91,PROFESSIONAL FEES,Not classified
Solihull MBC,Children and Education,Children & Education Services,ACPAS Ltd,11/11/2022,,826.76,PROFESSIONAL FEES,Not classified
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,16/11/2022,,199487.00,GRANTS & SUBSCRIPTIONS,Grants - Other
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,30/11/2022,,99387.00,GRANTS & SUBSCRIPTIONS,Grants - Other
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,30/11/2022,,-99387.00,GRANTS & SUBSCRIPTIONS,Grants - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Angels,18/11/2022,,3702.60,GRANTS & SUBSCRIPTIONS,Not classified
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Angels,17/11/2022,,7969.32,GRANTS & SUBSCRIPTIONS,Not classified
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Angels,28/11/2022,,884.10,GRANTS & SUBSCRIPTIONS,Not classified
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,10/11/2022,,1124.06,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,10/11/2022,,1124.06,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,16/11/2022,,1124.06,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,16/11/2022,,1124.06,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,24/11/2022,,1124.06,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,24/11/2022,,1124.06,AGENCY STAFF,Agency Staff - Professional
Solihull MBC,Resources,Central Services to the Public,ADT Fire And Security PLC,01/11/2022,,397.00,OTHER PREMISE COSTS,Security - Access Control
Solihull MBC,Children and Education,Children & Education Services,ADT Fire And Security PLC,15/11/2022,,5783.00,CONTRACTORS,Buildings - Construction - CAPITAL
Solihull MBC,Children and Education,Children & Education Services,ADT Fire And Security PLC,15/11/2022,,2747.00,CONTRACTORS,Buildings - Construction - CAPITAL
Solihull MBC,Children and Education,Children & Education Services,Advanced Child Care Assessments Ltd,08/11/2022,,391.66,PROFESSIONAL FEES,CSC - Other
Solihull MBC,Adult Care Support,Adult Social Care,Age UK Solihull,04/11/2022,,66090.42,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Solihull MBC,Adult Care Support,Adult Social Care,Age UK Solihull,04/11/2022,,15820.75,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,08/11/2022,,920.00,PURCHASE OF EQUIPMENT/MACHINERY,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,08/11/2022,,450.00,PURCHASE OF EQUIPMENT/MACHINERY,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,08/11/2022,,304.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,08/11/2022,,300.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,08/11/2022,,200.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,08/11/2022,,680.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,08/11/2022,,130.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,08/11/2022,,1518.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,14/11/2022,,1953.75,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Non Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,14/11/2022,,815.50,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Non Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,13/11/2022,,5065.25,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Non Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/11/2022,,1176.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Non Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,04/11/2022,,1175.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/11/2022,,2000.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,24/11/2022,,726.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Non Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,24/11/2022,,605.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Non Fitted Equipment
Solihull MBC,Economy and Infrastructure,Planning & Development Services,Alan Baxter Ltd,24/11/2022,,2240.00,PROFESSIONAL FEES,Consultancy - Business
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2583.56,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2583.56,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2583.56,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,10/11/2022,,-1107.24,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,388.60,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2331.60,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2720.20,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,388.60,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,1660.86,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,-1199.51,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,-2583.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,02/11/2022,,2534.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,29/11/2022,,2534.56,ASC RESIDENTIAL CARE PERMANENT,Not classified
