Body,Body name,Date,Transaction number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Registration Number,Expense Area,Expense Type,Expense Code,BVACOP,ProClass,ProClass Description,Extended Description,Profit Centre
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618304,927365,"16,587.84",Progress Adult Services Ltd,127529,GB626524835,LEARN DIS 18-64 LT,EXT RES CARE FEES,230842,,321000,SOCIAL CARE SERVICES : Adult,Redacted,157003
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,01/12/2023,5100453785,6017151889,"33,250.00",Capita Property & Infrastr Ltd,127648,GB618184140,PB:Planning Control,CONSULTANCY FEES,330015,,391200,CONSTRUCTION : Engineering,Redacted,560000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,5100455336,6017151987,"1,295.00",Capita Property & Infrastr Ltd,127648,GB618184140,Future Trafford Park,CONSULTANTS,220428,,391200,CONSTRUCTION : Engineering,Updates & additions,525216
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618294,927361,"2,012.00",BUPA CARE SERVICES,127676,GB239731641,MEM SUPP 65-74 LT,EXT NURS CARE FEES,230844,,,,Redacted,157012
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618294,927361,"2,788.00",BUPA CARE SERVICES,127676,GB239731641,MEM SUPP 65-74 LT,EXT NURS CARE FEES,230844,,,,Redacted,157012
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,073.24",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 65-74 LT,EXT RES CARE FEES,230842,,,,Redacted,157010
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,631.60",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 65-74 LT,EXT RES CARE FEES,230842,,,,Redacted,157010
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,740.88",BUPA CARE SERVICES,127676,GB239731641,MENT HLT 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157034
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,631.60",BUPA CARE SERVICES,127676,GB239731641,MENT HLT 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157034
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,112.03,BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,Social Care-3rd Prty,230805,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,219.79,BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,Social Care-3rd Prty,230805,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,400.36",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,Social Care-3rd Prty,230805,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,568.40",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,Social Care-3rd Prty,230805,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,051.40",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,Social Care-3rd Prty,230805,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,187.97,BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,631.60",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,631.60",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,631.60",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,051.16",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,631.60",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,599.68,BUPA CARE SERVICES,127676,GB239731641,LEARN DIS 75-84 LT,EXT NURS CARE FEES,230844,,,,Redacted,157023
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,941.72",BUPA CARE SERVICES,127676,GB239731641,LEARN DIS 75-84 LT,EXT NURS CARE FEES,230844,,,,Redacted,157023
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"1,362.80",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157030
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618363,927411,"2,631.60",BUPA CARE SERVICES,127676,GB239731641,PHYS SUPP 85+ LT,EXT RES CARE FEES,230842,,,,Redacted,157030
