Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
Head of IT Delivery,31601,Mobile Phones,5546,Vodafone Limited,7045022,45266,9922.43
Tendered Bus Services,32425,Subsidised Services,5550,Walsall Community Transport,40593,45279,12297.48
Tendered Bus Services,32425,Subsidised Services,5550,Walsall Community Transport,40594,45279,37194.84
Sprint,60002,Local Authority Staff Costs,5551,Walsall MBC,7044715,45261,20000
Head of Operational Assets - Bus Infrastructure,60638,CCTV Supply and Installation,5551,Walsall MBC,7045612,45281,2586.13
CRSTS - Capital,60563,Local Authority CRSTS Costs,5572,Wolverhampton City Council,3004105,45274,96784.71
CRSTS - Capital,60563,Local Authority CRSTS Costs,5572,Wolverhampton City Council,3004106,45274,15776.8
CRSTS - Capital,60563,Local Authority CRSTS Costs,5572,Wolverhampton City Council,3004107,45274,160982.64
Rail Devolution,31571,External Advice,5600,Sundry Creditors,3004080,45265,1500
Director of Midlands Connect,31767,Events / Exhibitions,5600,Sundry Creditors,3004077,45261,950
Metro Programme Director,60630,Land Acquisition,5603,Birmingham City Council,7044880,45281,47216.22
Director of Strategic Partnerships and Integration,31571,External Advice,5695,Mott MacDonald,7044898,45261,15085
Director of Midlands Connect,31571,External Advice,5695,Mott MacDonald,7044968,45261,17939.95
Director of Midlands Connect,31571,External Advice,5695,Mott MacDonald,7045324,45274,1500
Metro Programme Director,60001,Project Support Costs,5695,Mott MacDonald,7045530,45278,22299.5
Metro Programme Director,60191,Design Works,5695,Mott MacDonald,7044934,45261,46220.25
Metro Programme Director,60633,Tram Purchase Payments,5695,Mott MacDonald,7045671,45281,8800.65
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),5858,Chiltern Railways,3004085,45266,3714.26
16 Summer Lane FM,30883,Cleaning,5923,Complete Access,7045486,45274,1496
Director of Network Resilience,30008,Agency Staff ( Established Posts),6316,AECOM Limited,7044709,45274,10541.3
Metro Programme Director,60001,Project Support Costs,6316,AECOM Limited,7044665,45271,38200.57
Delivery Director - Sustainable Transport,60191,Design Works,6316,AECOM Limited,7045328,45281,26063.62
Delivery Director - Sustainable Transport,60191,Design Works,6316,AECOM Limited,7045329,45281,5452.1
Delivery Director - Sustainable Transport,60191,Design Works,6316,AECOM Limited,7045330,45281,16660.63
Transport Assets,31571,External Advice,6355,Bruton Knowles (Mgt Fees),7044988,45266,5195.55
Transport Assets,31571,External Advice,6355,Bruton Knowles (Mgt Fees),7044989,45266,3000
Metro Programme Director,60111,Land Advice,6355,Bruton Knowles (Mgt Fees),7045311,45281,1730.3
Metro Programme Director,60141,Legal Advice,6355,Bruton Knowles (Mgt Fees),7045308,45278,4197.3
Tendered Bus Services,32425,Subsidised Services,6434,Landflight Travel Services Ltd,40593,45279,23453.98
Tendered Bus Services,32425,Subsidised Services,6434,Landflight Travel Services Ltd,40594,45279,70686.08
Concessions Schemes,32430,Child Travel Pass Concession,6434,Landflight Travel Services Ltd,40595,45279,910.77
Metro Programme Director,60394,Traffic Management,6453,Wolverhampton City Council,3004073,45261,1038
Head of IT Delivery,31608,Software Maintenance,6562,Ivanti,7045609,45281,12644.14
Director of Midlands Connect,31571,External Advice,6821,Network Rail,7045102,45266,12464.53
Director of Development & Delivery,60560,Network Rail Costs,6821,Network Rail,7041195,45266,2325.33
Director of Development & Delivery,60560,Network Rail Costs,6821,Network Rail,7044748,45266,1538.33
Investment Programme Financing,60560,Network Rail Costs,6821,Network Rail,7045079,45278,71563.74
Investment Programme Financing,60560,Network Rail Costs,6821,Network Rail,7045103,45278,36745.93
Head of IT Delivery,31609,IT Consumables,6867,Probrand Limited,7045135,45271,2024
16 Summer Lane FM,30883,Cleaning,6933,PHS Group,7045815,45281,5116.65
"Tourism, Trade and Investment Programme",31671,Revenue Contributions to Third Parties,6973,West Midlands Growth Company Limited,3004120,45278,25795.26
Transport Assets,30851,Management Agents Costs,6976,Lambert Smith Hampton,7045818,45281,765.67
Transport Assets,30851,Management Agents Costs,6976,Lambert Smith Hampton,7045819,45281,535.85
Transport Assets,30851,Management Agents Costs,6976,Lambert Smith Hampton,7045820,45281,535.85
Transport Assets,30851,Management Agents Costs,6976,Lambert Smith Hampton,7045826,45281,765.73
Transport Assets,30851,Management Agents Costs,6976,Lambert Smith Hampton,7045828,45281,810.9
Transport Assets,30851,Management Agents Costs,6976,Lambert Smith Hampton,7045830,45281,535.85
Transport Assets,30851,Management Agents Costs,6976,Lambert Smith Hampton,7045831,45281,928.3
Transport Assets,30851,Management Agents Costs,6976,Lambert Smith Hampton,7045832,45281,1085.11
Adult Education,32751,Provider Delivery Fees - Grant,7007,City of Wolverhampton College,8014326,45280,1208459.16
Adult Education,32751,Provider Delivery Fees - Grant,7007,City of Wolverhampton College,8014327,45280,29127.16
Director of Housing & Regeneration,30601,Electricity,7068,EDF Energy Customers Limited,7045185,45274,2302.77
Safety and Security Manager,30754,CCTV,7127,Total Integrated Solutions Ltd,7045006,45281,1000
Safety and Security Manager,30754,CCTV,7127,Total Integrated Solutions Ltd,7045007,45278,2238.78
Safety and Security Manager,30754,CCTV,7127,Total Integrated Solutions Ltd,7045118,45281,107917.67
Safety and Security Manager,30754,CCTV,7127,Total Integrated Solutions Ltd,7045727,45281,7499.92
Safety and Security Manager,30754,CCTV,7127,Total Integrated Solutions Ltd,7045728,45281,1805.57
Director of Network Resilience,31571,External Advice,7127,Total Integrated Solutions Ltd,7045008,45278,2088.44
Metro Programme Director,60393,Early Contractor Involvement,7127,Total Integrated Solutions Ltd,7045005,45266,1000
Head of Operational Assets - Rail Car Parks,60632,Infrastructure Enhancements,7127,Total Integrated Solutions Ltd,7045720,45281,2000
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7041519,45278,2535
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7044580,45278,2405
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7044779,45274,1380.07
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7045122,45278,1625
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7045124,45274,1587.19
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7045354,45274,2590
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7045355,45274,2380
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7045356,45274,2345
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7045363,45274,1614.88
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7045553,45281,1625
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7045661,45281,1495
Head of Governance,30008,Agency Staff ( Established Posts),7129,Venn Group,7045662,45281,1384.5
Sprint,60141,Legal Advice,7129,Venn Group,7044780,45274,561
16 Summer Lane FM,30931,Internal Planter Maintenance,7137,Office Landscapes Midlands Ltd,7045533,45278,718
Head of Governance,30113,Staff Professional Fees,7148,The Law Society,7045205,45271,4044
Head of Finance & Business Planning,31571,External Advice,7156,Integra Associates,7040467,45278,2153.5
Head of Finance & Business Planning,31571,External Advice,7156,Integra Associates,7045318,45278,1000
16 Summer Lane FM,31605,Postage,7157,Pitney Bowes Limited,7045522,45278,2081.31
Head of IT Delivery,31603,IT Hardware,7163,Central IT,7042455,45261,9581.46
Information Delivery Team,30509,Replaced Stop Flags,7176,Mallatite,7044982,45266,16628.28
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,7176,Mallatite,7044981,45266,30293.33
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,7176,Mallatite,7045264,45271,82072.66
Managing Director for TfWM,31572,Consultants,7297,Steve Bramall,7045500,45274,1000
Head of Operational Assets - Bus Infrastructure,30760,Passenger Information Display,7350,21st Century Passenger Systems Limited,7045176,45266,3520
Head of Operational Assets - Bus Infrastructure,60640,RTI Supply and Installation,7350,21st Century Passenger Systems Limited,7045177,45266,1500
Head of Operational Assets - Bus Infrastructure,30755,EPI Maintenance,7368,Mobius Networks Ltd,7045000,45266,1585
Tendered Bus Services,32425,Subsidised Services,7385,Travel Express Ltd,40593,45279,7083.96
Tendered Bus Services,32425,Subsidised Services,7385,Travel Express Ltd,40594,45279,21251.88
Concessions Schemes,32430,Child Travel Pass Concession,7385,Travel Express Ltd,40595,45279,816.22
Tendered Bus Services,32425,Subsidised Services,7395,Banga Buses,40593,45279,4962.29
Tendered Bus Services,32425,Subsidised Services,7395,Banga Buses,40594,45279,14886.87
Concessions Schemes,32430,Child Travel Pass Concession,7395,Banga Buses,40595,45279,863.06
Director of Midlands Connect,31571,External Advice,7462,The Greater Birmingham Chambers of Commerce,7045050,45271,2757
16 Summer Lane FM,31543,Courier Distribution,7465,City Sprint,7043886,45266,949.36
16 Summer Lane FM,31543,Courier Distribution,7465,City Sprint,7045169,45271,1162.95
Information Delivery Team,30503,Distribution of IBSS Info,7483,Mitie Cleaning and Environmental Services Ltd,7045585,45281,6270.49
Information Delivery Team,30503,Distribution of IBSS Info,7483,Mitie Cleaning and Environmental Services Ltd,7045587,45281,571.64
Head of Operational Assets - Bus Infrastructure,30758,Timetable Cases,7483,Mitie Cleaning and Environmental Services Ltd,7045586,45281,1538.07
Head of Operational Assets - Bus Infrastructure,30758,Timetable Cases,7483,Mitie Cleaning and Environmental Services Ltd,7045845,45281,968.47
Head of Operational Assets - Bus Stations,30883,Cleaning,7483,Mitie Cleaning and Environmental Services Ltd,7044811,45261,59184.31
Head of Operational Assets - Rail Car Parks,30883,Cleaning,7483,Mitie Cleaning and Environmental Services Ltd,7045147,45274,2222.24
16 Summer Lane FM,30883,Cleaning,7483,Mitie Cleaning and Environmental Services Ltd,7045701,45281,15528.54
Head of Operational Assets - Bus Infrastructure,30884,Shelter Cleaning,7483,Mitie Cleaning and Environmental Services Ltd,7045584,45281,103891.08
Head of Operational Assets - Bus Infrastructure,30884,Shelter Cleaning,7483,Mitie Cleaning and Environmental Services Ltd,7045590,45281,1040.07
Head of Operational Assets - Bus Infrastructure,30885,Cleaning & Inspection of Stop Poles,7483,Mitie Cleaning and Environmental Services Ltd,7044986,45261,6361.43
Head of Operational Assets - Bus Stations,31651,Consumables,7483,Mitie Cleaning and Environmental Services Ltd,7045723,45281,5313.26
Capital Financing,31571,External Advice,7485,Pinsent Masons LLP,7044928,45261,5000
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),7495,XC Trains Ltd,3004087,45266,12021.41
Investment Programme Financing,60562,Local Authority IP Costs,7653,Solihull MBC,3004090,45266,373722.92
Head of Governance,31577,Professional Advice,7758,Weightmans LLP,7045531,45278,1322.68
Safety and Security Manager,31576,Safety & Security,7846,British Transport Police,7045179,45271,17876.72
Metro Programme Director,60051,Quantitative Assessments/Audits,7884,Turner & Townsend,7042236,45271,12681.08
Metro Programme Director,60051,Quantitative Assessments/Audits,7884,Turner & Townsend,7043348,45271,20796.72
Integrated Data Team,31608,Software Maintenance,7952,Mentz Datenverarbeitung GmbH,7043531,45267,13600
Integrated Data Team,31608,Software Maintenance,7952,Mentz Datenverarbeitung GmbH,7043532,45267,17100
Information Delivery Team,31608,Software Maintenance,7952,Mentz Datenverarbeitung GmbH,7044416,45267,22697.92
Sprint,60615,Utilities Diversion,7965,Barhale Plc,7043918,45281,994.83
Environment,30010,Secondee Costs,7996,WSP UK,7044882,45261,7065
Environment,31571,External Advice,7996,WSP UK,7044881,45261,3800
Director of Midlands Connect,31571,External Advice,7996,WSP UK,7045524,45281,36837.6
Head of Network Transformation,60191,Design Works,7996,WSP UK,7045275,45278,7830
Head of Network Transformation,60191,Design Works,7996,WSP UK,7045276,45278,7317
Head of Network Transformation,60191,Design Works,7996,WSP UK,7045277,45278,700
Safety and Security Manager,30009,Staff Agency Services,8001,Man Commercial Protection Ltd,7045407,45274,3054.2
Safety and Security Manager,30754,CCTV,8001,Man Commercial Protection Ltd,7044992,45274,60183.5
Safety and Security Manager,31575,Security Services,8001,Man Commercial Protection Ltd,7044993,45261,24560.23
Safety and Security Manager,31575,Security Services,8001,Man Commercial Protection Ltd,7044995,45261,2637.1
16 Summer Lane FM,31575,Security Services,8001,Man Commercial Protection Ltd,7045116,45266,15917.33
Safety and Security Manager,31575,Security Services,8001,Man Commercial Protection Ltd,7045128,45266,9598.05
Bus Service Improvement Plan (BSIP),31575,Security Services,8001,Man Commercial Protection Ltd,7045129,45266,13646.62
Head of Network Transformation,60821,Public Consultation Costs,8105,Pindar Creative,7044997,45266,1148
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7044939,45274,650
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7044941,45261,1984.5
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7044942,45261,932.72
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7044943,45261,595.35
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7044944,45261,1488.38
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7044946,45261,754.11
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7044947,45261,1270.08
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7044948,45261,1607.45
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,8118,MITIE Landscapes Ltd,7045326,45274,768.85
Head of Operational Assets - Rail Car Parks,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7044321,45261,7480
Executive Director WMRE,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7044950,45261,1349.65
Head of Operational Assets - Bus Stations,30933,Landscape Maintenance,8118,MITIE Landscapes Ltd,7045081,45266,1245.6
Metro Programme Director,60613,Water Utility Costs,8121,Severn Trent Water Ltd,7045191,45271,21410.21
Metro Programme Director,60617,Waste Management,8121,Severn Trent Water Ltd,7045506,45274,250000
Metro Programme Director,60633,Tram Purchase Payments,8143,Construcciones Y Auxiliar De Ferrocarriles S.A.,7045020,45261,1813525.49
Head of IT Delivery,31608,Software Maintenance,8242,Trustmarque Solutions Ltd,7045165,45271,3425.7
Head of IT Delivery,31608,Software Maintenance,8242,Trustmarque Solutions Ltd,7045290,45271,2396.97
Head of IT Delivery,31608,Software Maintenance,8242,Trustmarque Solutions Ltd,7045391,45281,1076
Metro Director,31571,External Advice,8274,ITS Testing Services UK Ltd,7045041,45281,8336.93
Metro Programme Director,60054,Investigations and Surveys,8274,ITS Testing Services UK Ltd,7042294,45281,4280.27
Information Delivery Team,31608,Software Maintenance,8419,Traveline Information Ltd,7044990,45261,1000
Information Delivery Team,31608,Software Maintenance,8419,Traveline Information Ltd,7044991,45261,1000
Metro Programme Director,60612,Electricity Utility Costs,8448,National Grid Electricity Distribution,7045111,45278,204414.57
Metro Programme Director,60612,Electricity Utility Costs,8448,National Grid Electricity Distribution,7045160,45281,130066.57
Director of Network Resilience,60001,Project Support Costs,8512,CDC TECHNICAL SERVICES LTD,7045048,45274,2610
Transport Assets,30661,Rents,8515,Amey TPT Limited,7045144,45281,1125.75
Director of Midlands Connect,31571,External Advice,8550,BIG CAT GROUP,7045658,45281,1761
Park & Ride Development,60395,Physical Construction,8565,BOURNE PARKING LTD,7045692,45281,11928
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7044915,45261,1661.96
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7045552,45278,2077.45
Metro Programme Director,60001,Project Support Costs,8607,SF Recruitment Limited,7045577,45278,2077.45
Head of Swift,31608,Software Maintenance,8620,EUCLID LTD,7045080,45266,6916.66
Head of IT Delivery,31606,Hardware Maintenance,8674,Canon (UK) Ltd,7044985,45266,3655.36
Head of IT Delivery,31606,Hardware Maintenance,8674,Canon (UK) Ltd,7045054,45266,2832.69
Head of IT Delivery,31606,Hardware Maintenance,8674,Canon (UK) Ltd,7045280,45271,5770.88
ICT Project,31606,Hardware Maintenance,8674,Canon (UK) Ltd,7045559,45281,4300.01
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7044372,45271,14762.58
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7045255,45281,11220
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7045480,45274,5964.79
Metro Programme Director,60001,Project Support Costs,8698,Ridge and Partners LLP,7045534,45278,14308.35
Metro Programme Director,60616,Utilities Management,8698,Ridge and Partners LLP,7044347,45266,14154.58
Director of Midlands Connect,31571,External Advice,8699,Jacobs UK Limited,7045716,45281,15379.1
TfWM/WMR Rail Team,60050,Feasibility Studies,8699,Jacobs UK Limited,7045336,45274,32670.3
Delivery Director - Rail,60050,Feasibility Studies,8699,Jacobs UK Limited,7045400,45278,2048
Head of Swift,60001,Project Support Costs,8717,PA Consulting,7045505,45274,682.16
Head of Swift,60110,Financial & Commerical Advice,8717,PA Consulting,7045107,45266,24000
Metro Programme Director,60393,Early Contractor Involvement,8725,Colas Rail Limited,7045752,45281,6610138.08
Delivery Director - Sustainable Transport,60050,Feasibility Studies,8747,Pell Frischmann,7045498,45278,4995
Head of Network Transformation,60054,Investigations and Surveys,8747,Pell Frischmann,7045056,45266,8244.5
Metro Programme Director,60191,Design Works,8747,Pell Frischmann,7044746,45278,1325225.11
Head of Bus,60191,Design Works,8747,Pell Frischmann,7045055,45266,5540
Head of Network Transformation,60191,Design Works,8747,Pell Frischmann,7045057,45266,1195
Head of Network Transformation,60191,Design Works,8747,Pell Frischmann,7045058,45266,8000
Head of Network Transformation,60191,Design Works,8747,Pell Frischmann,7045114,45266,7000
Industrial Strategy,31572,Consultants,8782,University of Birmingham,7045189,45271,16666.64
Events & Stakeholder,31770,Marketing,8797,Campaign Monitor,7044751,45267,20000
Sustainable Travel,60001,Project Support Costs,8829,Phil Jones Associates Limited,7045501,45278,6364.8
ICT Project,31603,IT Hardware,8859,Vale Technical Services,7045851,45281,2050
Director of Midlands Connect,31571,External Advice,8872,Arcadis LLP,7044856,45261,5040
Director of Midlands Connect,31571,External Advice,8872,Arcadis LLP,7045026,45266,38367.76
Executive Director WMRE,60191,Design Works,8872,Arcadis LLP,7044919,45261,26715.05
Transport Assets,30691,Rates,8874,West Bromwich Town BID,7044877,45266,3762.5
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7041886,45261,4102.63
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7044488,45274,845.93
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7044493,45261,3886.66
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7044503,45266,959.9
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7045416,45281,6328.48
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7045417,45281,50464.83
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7045419,45281,3950.59
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045422,45281,5217.42
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045428,45281,2001.55
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7045431,45281,512.09
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045432,45281,2361.62
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045437,45281,582.45
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7045444,45281,736.01
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7045445,45281,970.03
Head of Operational Assets - Bus Infrastructure,30601,Electricity,8892,Total Energies Gas and Power Limited,7045454,45281,1058.54
16 Summer Lane FM,30601,Electricity,8892,Total Energies Gas and Power Limited,7045455,45281,52434.42
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045456,45281,5193.4
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045457,45281,9766.22
16 Summer Lane FM,30601,Electricity,8892,Total Energies Gas and Power Limited,7045458,45274,12539.6
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7045459,45281,687.93
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045460,45281,3523.13
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045461,45281,2869.32
Bromsgrove Rail Station,30601,Electricity,8892,Total Energies Gas and Power Limited,7045462,45274,4872.79
16 Summer Lane FM,30601,Electricity,8892,Total Energies Gas and Power Limited,7045463,45274,13018.58
Bromsgrove Rail Station,30601,Electricity,8892,Total Energies Gas and Power Limited,7045464,45278,5204.98
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045466,45281,3890.98
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7045468,45281,1002.67
Head of Operational Assets - Rail Car Parks,30601,Electricity,8892,Total Energies Gas and Power Limited,7045471,45281,523.33
Head of Operational Assets - Bus Stations,30601,Electricity,8892,Total Energies Gas and Power Limited,7045476,45281,4367.16
Head of Operational Assets - Bus Stations,30602,Gas,8892,Total Energies Gas and Power Limited,7045234,45274,812.48
Head of Operational Assets - Bus Stations,30602,Gas,8892,Total Energies Gas and Power Limited,7045235,45274,612.13
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045233,45281,1404.33
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045538,45281,1179.41
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045539,45281,1426.07
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045540,45281,3288.69
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045541,45281,1081.43
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045542,45281,1379.44
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045543,45281,1145.21
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045545,45281,1404.59
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045546,45281,1302.54
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045547,45281,1000.99
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045548,45281,637.22
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045549,45281,2075.33
Metro Programme Director,60612,Electricity Utility Costs,8892,Total Energies Gas and Power Limited,7045550,45281,1244.81
Director of Housing & Regeneration,31573,Legal Fees,8897,Trowers and Hamlins LLP,7043593,45281,7695.1
"Director of Policy, Strategy & Innovation",60141,Legal Advice,8897,Trowers and Hamlins LLP,7045084,45266,7945.33
"Director of Policy, Strategy & Innovation",60141,Legal Advice,8897,Trowers and Hamlins LLP,7045085,45266,7947
Adult Education,60141,Legal Advice,8897,Trowers and Hamlins LLP,7045489,45274,2678
Customer Intelligence Team,30008,Agency Staff ( Established Posts),8915,Hart Recruitment Ltd,7044908,45261,704.11
Customer Intelligence Team,30008,Agency Staff ( Established Posts),8915,Hart Recruitment Ltd,7045199,45271,581.26
Ticketing Services Manager,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7044909,45261,1609.08
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7044910,45261,3022.41
Ticketing Services Manager,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7045198,45274,1279.95
Accessible Transport - Customer Service,30009,Staff Agency Services,8915,Hart Recruitment Ltd,7045200,45274,2937.08
Head of Governance,30112,Learning & Development,8932,LLG Legal Training,7045504,45274,2500
Director of Midlands Connect,30661,Rents,8967,Anglo Scandinavian Estates 4 LLP,7044420,45261,12676.12
Adult Education,32751,Provider Delivery Fees - Grant,8978,City of Wolverhampton Council,8014326,45280,273603.17
Adult Education,32751,Provider Delivery Fees - Grant,8978,City of Wolverhampton Council,8014327,45280,4019.48
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044813,45281,1994.69
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044814,45281,1350
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044815,45281,639.8
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044816,45281,3101.75
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044817,45281,878
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044818,45281,4807.89
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044820,45281,2089.95
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044822,45281,572.2
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044823,45281,1975.75
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044824,45281,1129.25
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044825,45281,4567.05
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044827,45281,3526.33
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044828,45281,2468.2
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044829,45281,796.38
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044830,45281,3647.71
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044831,45281,1153.3
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044832,45281,1255.5
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044833,45281,2936.52
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044834,45281,3490.75
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044835,45281,3209
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044836,45281,634.75
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044837,45281,9571.16
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044838,45281,2422.75
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044839,45281,1225.74
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044840,45281,3151.01
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044841,45281,2189.55
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044843,45281,1434.59
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044844,45281,4949.37
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044845,45281,546.75
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044846,45281,1148.97
Transport Assets,30661,Rents,8981,West Midlands Trains Limited,7044848,45281,1980.25
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),8981,West Midlands Trains Limited,3004084,45266,139994.26
Director of Development & Delivery,60001,Project Support Costs,8981,West Midlands Trains Limited,7045525,45278,6000
Director of Development & Delivery,60001,Project Support Costs,8981,West Midlands Trains Limited,7045526,45278,6000
Investment Programme Financing,60051,Quantitative Assessments/Audits,8981,West Midlands Trains Limited,7045397,45278,6500
Investment Programme Financing,60051,Quantitative Assessments/Audits,8981,West Midlands Trains Limited,7045398,45278,7500
Investment Programme Financing,60051,Quantitative Assessments/Audits,8981,West Midlands Trains Limited,7045409,45278,6500
Investment Programme Financing,60051,Quantitative Assessments/Audits,8981,West Midlands Trains Limited,7045410,45278,6500
