Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
Commonwealth Games Legacy Fund,30010,Secondee Costs,20984,Historic England,7048564,45364,5823.89
Digital Skills,31767,Events / Exhibitions,20991,Black Country Innovative Manufacturing Organisatio,7048537,45364,810
UKSPF,31572,Consultants,20997,Oxford Innovation Services Ltd,7048384,45358,101318.68
Commonwealth Games Legacy Fund,30010,Secondee Costs,21008,The National Lottery Community Fund,7048789,45371,17265
Learning and Development,30112,Learning & Development,21019,Thinking Focus Limited,7048819,45371,4000
UKSPF,31572,Consultants,21059,London & Partners,7048936,45377,50000
Executive Director WMRE,31769,Promotional Material,21063,The Arts Society Worcester,7049097,45373,1800
Youth Combined Authority,31767,Events / Exhibitions,21064,The Exchange,7048536,45364,2750
"Director of Policy, Strategy & Innovation",60395,Physical Construction,21067,Ikon,7049127,45377,6234
Metro Programme Director,60633,Tram Purchase Payments,21076,Reid Freight Services,7048496,45371,2357.8
Metro Programme Director,60780,General Expenditure,21076,Reid Freight Services,7048218,45358,10875
Metro Programme Director,60780,General Expenditure,21076,Reid Freight Services,7048219,45362,4037.28
Metro Programme Director,60780,General Expenditure,21076,Reid Freight Services,7049084,45373,1941
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7048595,45364,3073.95
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7049154,45377,2621.03
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7049155,45377,3002.22
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7049156,45377,1517.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7049157,45377,1575.59
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7049158,45377,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7049160,45377,606.67
Head of Health & Communities,31571,External Advice,21093,Habinteg Housing Association,7048278,45358,5560
Head of Research & Intelligence,31571,External Advice,21093,Habinteg Housing Association,7048278,45358,6000
Cycling for Everyone,31571,External Advice,21095,Gateway Family Services CIC,7048452,45371,15000
Head of Health & Communities,31771,Stakeholder Engagement,21096,Ed Davie training and consultancy,7048217,45358,10000
UKSPF,31767,Events / Exhibitions,21105,Discount Displays Ltd,7048092,45358,1443.5
Head of Organisational Development,30120,Salary sacrifice savings,21110,AVC Wise Limited,3004547,45377,1025.05
Health Foundation,31571,External Advice,21118,Greater London Authority,7048921,45373,10877.1
ICT Project,31603,IT Hardware,21166,Jigsaw24,7048541,45364,12174
Investment Programme - Funding Control,31571,External Advice,21170,Allanfield Consulting,7047917,45371,19200
Delivery Director - Rail,60054,Investigations and Surveys,21175,Appraise Fire Engineering Consultancy Ltd,7048124,45352,6000
Thrive at Work,31577,Professional Advice,21176,The Wellbeing Project Limited,7048363,45358,27700
Adult Education,31772,PR Photos,21181,Brother Bear Films,7049117,45373,2388.63
Environment,31571,External Advice,21184,Paul Watkiss Associates,7048877,45373,12250
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,21186,Watmos Community Homes,3004429,45362,610886
Director of Housing & Regeneration,60630,Land Acquisition,21187,Dudley MBC Receipts General,3004305,45378,51613.82
Careers,32752,Provider Delivery Fees - Contract,21190,Primary Engineer,7048471,45362,10000
Learning and Development,30112,Learning & Development,21194,Young Programme Events Ltd,7049485,45377,1440
Industrial Strategy,60050,Feasibility Studies,21195,The Vine Trust Walsall,3004404,45358,9999
Energy Capital,31571,External Advice,21198,LEMA (Local Energy Markets Alliance),7048546,45364,7875
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,21199,Walsall Housing Group Limited,3004433,45362,970275
Head of Research & Intelligence,31572,Consultants,21201,CLES Ltd,7048812,45371,16098
Head of Finance & Business Planning,30008,Agency Staff ( Established Posts),21205,ForeTwo Group Limited,7048565,45364,1837.5
Head of Finance & Business Planning,30008,Agency Staff ( Established Posts),21205,ForeTwo Group Limited,7049403,45377,1653.75
Head of Finance & Business Planning,30008,Agency Staff ( Established Posts),21205,ForeTwo Group Limited,7049404,45377,1837.5
Accessible Transport - Customer Service,30009,Staff Agency Services,21206,Insta Staff,7048083,45379,1581.74
Accessible Transport - Customer Service,30009,Staff Agency Services,21206,Insta Staff,7048084,45379,1581.74
Accessible Transport - Customer Service,30009,Staff Agency Services,21206,Insta Staff,7048085,45379,1138.86
Accessible Transport - Customer Service,30009,Staff Agency Services,21206,Insta Staff,7048366,45379,3954.35
Accessible Transport - Customer Service,30009,Staff Agency Services,21206,Insta Staff,7049432,45379,4492.19
Accessible Transport - Customer Service,30009,Staff Agency Services,21206,Insta Staff,7049433,45379,3964.94
Commonwealth Games Legacy Fund,31572,Consultants,21210,Paperock Creative Ltd,7048120,45358,1575
Thrive at Work,31774,Promotional Literature,21212,Happiworkers Limited,7048847,45371,20000
Tendered Bus Services,32425,Subsidised Services,21217,Carolean Coaches Ltd,40633,45364,20310
Culture,31572,Consultants,21222,Keith Williams Architects,7048470,45362,10000
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,21225,Big Give,7048399,45364,85000
Industrial Strategy,31577,Professional Advice,21232,Waynestark Enterprises Limited,3004470,45371,4000
Industrial Strategy,31577,Professional Advice,21232,Waynestark Enterprises Limited,7048301,45352,4000
16 Summer Lane FM,31571,External Advice,21237,Litmus Partnership,7048296,45366,5822.08
16 Summer Lane FM,31571,External Advice,21237,Litmus Partnership,7048297,45366,5822.08
ICT Project,31608,Software Maintenance,21239,Redemptive Media Ltd,7047982,45358,2500
ICT Project,31608,Software Maintenance,21239,Redemptive Media Ltd,7048509,45373,2500
Industrial Strategy,60050,Feasibility Studies,21240,Feasibly Green Ltd,7048118,45352,9999
Head of Policy & Public Affairs,31571,External Advice,21243,Data City innovations Ltg,7049129,45373,4995
Youth Combined Authority,31571,External Advice,21244,Aspire and Succeed,7049413,45377,1200
Head of Policy & Public Affairs,31571,External Advice,21246,Big Society Capital,7049200,45373,9900
Youth Combined Authority,31571,External Advice,21248,Rights and Equality Sandwell,7048671,45366,600
Learning and Development,30112,Learning & Development,21249,Women in Transport Limited,7049120,45377,4495
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,21257,Walsall Council,3004428,45362,189259
Metro Programme Director,60395,Physical Construction,21259,The Hub Company Ltd,7049092,45377,208500
Bus Service Improvement Plan (BSIP),31770,Marketing,21260,Street PR,7049128,45377,7908.73
Director of Network Resilience,31770,Marketing,21262,Blue Market Media,7048581,45364,15685
"Director of Policy, Strategy & Innovation",60630,Land Acquisition,21274,Browne Jacobson LLP (Client Account),3004467,45369,190000
Culture,31671,Revenue Contributions to Third Parties,21277,Co-operatives UK,7049239,45377,10000
Head of Health & Communities,31572,Consultants,21282,Healthy Dialogues Ltd.,7048790,45371,5000
Head of Systems Change & Inclusion,31571,External Advice,21286,InterSct Ltd,7049461,45377,9995
Thrive at Work,31774,Promotional Literature,21288,TAS10 Ltd,7049205,45377,2000
Head of Governance,31577,Professional Advice,21290,Gowling WLG (UK) LLP,7049467,45377,5786.4
Delivery Director - Sustainable Transport,60820,Publicity and PR,21292,Promarco,7049087,45373,995
Adult Education,31772,PR Photos,21294,Stormworks Studios,7049171,45373,6209.5
Events & Stakeholder,31767,Events / Exhibitions,21306,Built Environment Networking Limited,7049289,45377,2000
Youth Combined Authority,31767,Events / Exhibitions,21307,X & Why Limited,7049286,45377,530
Head of Finance & Business Planning,31571,External Advice,5011,Unit 4 Business Software Limited,7049116,45373,2079.96
Head of Finance & Business Planning,31571,External Advice,5011,Unit 4 Business Software Limited,7049118,45373,2690.97
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8015647,45372,850194.42
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8015653,45372,30221.39
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40632,45364,165001.53
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40633,45364,495004.59
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,3004452,45364,67594.49
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,7048317,45358,15000
Concessions Schemes,32430,Child Travel Pass Concession,5055,Diamond Bus Ltd,40636,45364,4732.52
Bromsgrove Rail Station,31602,Telephone - Land Line,5070,British Telecommunications plc,3004521,45377,602.06
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7048178,45352,3071.57
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7048179,45352,3224.48
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048172,45358,4430.48
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048173,45358,4061.82
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048174,45358,5052.06
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048175,45358,5215.26
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048176,45358,4230.48
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048177,45358,4523.22
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048183,45358,4223.62
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048234,45358,4070.09
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048487,45364,4847.13
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048488,45364,5169.13
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7048937,45377,4391.81
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7049112,45377,5028.06
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7049113,45377,4583.1
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7049114,45377,3149.41
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7049115,45377,4055.81
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7049149,45377,3485.41
Head of Bus,31671,Revenue Contributions to Third Parties,5134,Community Transport Birmingham,3004400,45352,2696.4
Director of Strategic Partnerships and Integration,30010,Secondee Costs,5147,Coventry City Council,7048289,45362,4261
Thrive at Work,30010,Secondee Costs,5147,Coventry City Council,7048375,45358,13961.16
Thrive at Work,30010,Secondee Costs,5147,Coventry City Council,7048484,45362,58685.05
Transport Assets,30691,Rates,5147,Coventry City Council,7048955,45377,1239.15
Transport Assets,30691,Rates,5147,Coventry City Council,7048956,45377,8794.88
Transport Assets,30691,Rates,5147,Coventry City Council,7048957,45377,95550
Transport Assets,30691,Rates,5147,Coventry City Council,7048958,45377,2745
Transport Assets,30691,Rates,5147,Coventry City Council,7048959,45377,673.65
Environment,31571,External Advice,5147,Coventry City Council,7048533,45366,4659.15
Environment,31571,External Advice,5147,Coventry City Council,7048534,45366,4659.15
Environment,31571,External Advice,5147,Coventry City Council,7048535,45366,4659.15
DBT Growth Hub,31571,External Advice,5147,Coventry City Council,7049434,45377,40000
Careers,31671,Revenue Contributions to Third Parties,5147,Coventry City Council,7049450,45377,24882.56
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8015647,45372,440697.33
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8015653,45372,1971.8
European Structural & Investment Funding,32752,Provider Delivery Fees - Contract,5147,Coventry City Council,7048764,45366,124883.34
Careers,32752,Provider Delivery Fees - Contract,5147,Coventry City Council,7049450,45377,24046
Director of Network Resilience,60054,Investigations and Surveys,5147,Coventry City Council,3004479,45371,216485.89
Delivery Director - Sustainable Transport,60561,Contributions to 3rd Parties,5147,Coventry City Council,3004511,45373,15977.5
Delivery Director - Sustainable Transport,60561,Contributions to 3rd Parties,5147,Coventry City Council,3004512,45373,11086.82
Delivery Director - Sustainable Transport,60561,Contributions to 3rd Parties,5147,Coventry City Council,3004513,45373,159069.15
CRSTS - Capital,60563,Local Authority CRSTS Costs,5147,Coventry City Council,3004399,45352,438844
Transport Assets,30661,Rents,5168,Dudley MBC,7046421,45377,562.5
Transport Assets,30661,Rents,5168,Dudley MBC,7046422,45377,3450
Head of Governance,30008,Agency Staff ( Established Posts),5229,Hays Specialist Recruitment,3004517,45377,2267.9
Director of Communications,30008,Agency Staff ( Established Posts),5229,Hays Specialist Recruitment,3004517,45377,819.18
Head of Transport Portfolio Office,30008,Agency Staff ( Established Posts),5229,Hays Specialist Recruitment,3004520,45377,2834.9
Metro Programme Director,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,3563.6
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,867.24
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,2253.48
Head of Research & Intelligence,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,850.39
Commonwealth Games Legacy Fund,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,2901.45
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,2494.45
Technical Engagement,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,2122.12
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,10714.85
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,11781.48
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,4242.45
Programme Support and Assurance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,3056.03
Director of Communications,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004408,45358,2568.21
Head of Transport Portfolio Office,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,5669.8
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,867.24
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,1126.74
Head of Research & Intelligence,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,1190.5
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,6746.35
Technical Engagement,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,2122.12
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,6462.92
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,11781.47
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,2262.75
Programme Support and Assurance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004454,45366,3393.9
Metro Programme Director,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004517,45377,3564.2
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004517,45377,843.88
Head of Research & Intelligence,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004517,45377,634.36
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004517,45377,5102.76
Technical Engagement,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004517,45377,2124.36
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004517,45377,7654.2
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004517,45377,7081.9
Programme Support and Assurance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004517,45377,1697.15
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004518,45377,2335.32
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004519,45377,815.41
Head of Research & Intelligence,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004519,45377,2347.32
Technical Engagement,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004519,45377,2427.84
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004519,45377,2551.4
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004519,45377,9206.05
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004519,45377,2022.3
Programme Support and Assurance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004519,45377,1595.7
Director of Communications,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004519,45377,819.18
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004520,45377,2335.32
Director of Communications,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004520,45377,829.9
Head of Operational Assets - Bus Infrastructure,30758,Timetable Cases,5237,Horizon Signs Ltd,7049106,45373,16626.25
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7047449,45364,2850
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7047967,45358,2363.99
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048544,45364,662.84
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048562,45373,626.23
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048563,45373,626.23
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048567,45373,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048570,45373,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048571,45373,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048572,45373,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048645,45373,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048646,45373,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048647,45373,775
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048650,45364,8747.38
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048652,45373,775
16 Summer Lane FM,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048692,45366,624.48
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048872,45373,1003.84
16 Summer Lane FM,30502,Routine Maintenance,5331,Trios Facilities Management limited,7048929,45373,2848.65
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049221,45377,1448.24
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049254,45377,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049255,45377,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049256,45377,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049257,45377,775
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049258,45377,1182.19
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049259,45377,2363.99
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049260,45377,1182.19
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049261,45377,1771.87
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049262,45377,2363.99
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049388,45377,2363.99
16 Summer Lane FM,30502,Routine Maintenance,5331,Trios Facilities Management limited,7049420,45377,5036.88
16 Summer Lane FM,30751,Window & Door Maintenance,5331,Trios Facilities Management limited,7048845,45371,13514.26
Delivery Director - Sustainable Transport,60395,Physical Construction,5331,Trios Facilities Management limited,7048583,45373,786.6
Tendered Bus Services,32425,Subsidised Services,5337,Stagecoach,40632,45364,78035.73
Tendered Bus Services,32425,Subsidised Services,5337,Stagecoach,40633,45364,245736.99
Tendered Bus Services,32425,Subsidised Services,5337,Stagecoach,40634,45364,2750
Concessions Schemes,31963,Concessionary Sch Mgt Costs,5349,SYSTRA Ltd,7049229,45377,10000
Transport Assets,30691,Rates,5441,Sandwell MBC,7048965,45377,885.73
Transport Assets,30691,Rates,5441,Sandwell MBC,7048966,45377,1497
Transport Assets,30691,Rates,5441,Sandwell MBC,7048967,45377,1921.15
Transport Assets,30691,Rates,5441,Sandwell MBC,7048968,45377,11040.38
Transport Assets,30691,Rates,5441,Sandwell MBC,7048969,45377,35763
Transport Assets,30691,Rates,5441,Sandwell MBC,7048970,45377,698.6
Transport Assets,30691,Rates,5441,Sandwell MBC,7048971,45377,885.73
Transport Assets,30691,Rates,5441,Sandwell MBC,7048972,45377,3992
Transport Assets,30691,Rates,5441,Sandwell MBC,7048974,45377,3368.25
Transport Assets,30691,Rates,5441,Sandwell MBC,7048975,45377,4241.5
Transport Assets,30691,Rates,5441,Sandwell MBC,7048976,45377,22386
Transport Assets,30691,Rates,5441,Sandwell MBC,7048977,45377,4740.5
Transport Assets,30691,Rates,5441,Sandwell MBC,7048978,45377,57057
Transport Assets,30691,Rates,5441,Sandwell MBC,7048979,45377,2744.5
Transport Assets,30691,Rates,5441,Sandwell MBC,7048982,45377,1746.5
Director of Housing & Regeneration,30691,Rates,5441,Sandwell MBC,7049059,45373,9605.75
Careers,31671,Revenue Contributions to Third Parties,5441,Sandwell MBC,7049162,45373,9796.4
Adult Education,32751,Provider Delivery Fees - Grant,5441,Sandwell MBC,8015647,45372,110833.33
CRSTS - Capital,60563,Local Authority CRSTS Costs,5441,Sandwell MBC,3004482,45371,509184
Director of Housing & Regeneration,30721,Water Charges,5453,Water Plus,7048096,45352,547.02
Head of Operational Assets - Bus Stations,30721,Water Charges,5453,Water Plus,7048159,45364,1290.32
16 Summer Lane FM,30721,Water Charges,5453,Water Plus,7048261,45358,547.02
Head of Operational Assets - Bus Stations,30721,Water Charges,5453,Water Plus,7048333,45362,527.39
16 Summer Lane FM,30721,Water Charges,5453,Water Plus,7049354,45377,508.52
Director of Housing & Regeneration,30722,Sewerage,5453,Water Plus,7048096,45352,749.15
Head of Operational Assets - Bus Stations,30722,Sewerage,5453,Water Plus,7048127,45352,1557.12
16 Summer Lane FM,30722,Sewerage,5453,Water Plus,7048261,45358,749.15
16 Summer Lane FM,30722,Sewerage,5453,Water Plus,7049354,45377,698.66
Transport Assets,30691,Rates,5466,Solihull MBC,7048983,45377,3555.38
Transport Assets,30691,Rates,5466,Solihull MBC,7048984,45377,2557.38
Transport Assets,30691,Rates,5466,Solihull MBC,7048985,45377,7547.38
Transport Assets,30691,Rates,5466,Solihull MBC,7048986,45377,1097.8
Director of Midlands Connect,31571,External Advice,5476,Steer,7047361,45358,9875
"Director of Policy, Strategy & Innovation",31571,External Advice,5476,Steer,7048428,45362,19996.5
"Director of Policy, Strategy & Innovation",31571,External Advice,5476,Steer,7048506,45364,7780
"Director of Policy, Strategy & Innovation",31571,External Advice,5476,Steer,7048527,45364,5000
Director of Midlands Connect,31571,External Advice,5476,Steer,7049298,45377,9875
Director of Strategic Partnerships and Integration,60194,Transport Planning,5476,Steer,7048695,45366,12072.18
Head of IT Delivery,31602,Telephone - Land Line,5493,Virgin Media Business,7048046,45352,582.1
Tendered Bus Services,32425,Subsidised Services,5533,Travel West Midlands,40632,45364,99269.01
Tendered Bus Services,32425,Subsidised Services,5533,Travel West Midlands,40633,45364,302093.02
Tendered Bus Services,32425,Subsidised Services,5533,Travel West Midlands,40634,45364,1500
Concessions Schemes,32430,Child Travel Pass Concession,5533,Travel West Midlands,40636,45364,154555.5
Head of IT Delivery,31601,Mobile Phones,5546,Vodafone Limited,7048591,45366,10058.1
Tendered Bus Services,32425,Subsidised Services,5550,Walsall Community Transport,40632,45364,12440.89
Tendered Bus Services,32425,Subsidised Services,5550,Walsall Community Transport,40633,45364,37322.67
Tendered Bus Services,32425,Subsidised Services,5550,Walsall Community Transport,3004543,45377,999.35
Transport Assets,30691,Rates,5551,Walsall MBC,7048987,45377,40677
Transport Assets,30691,Rates,5551,Walsall MBC,7048988,45377,2931.63
Transport Assets,30691,Rates,5551,Walsall MBC,7048989,45377,6112.75
Transport Assets,30691,Rates,5551,Walsall MBC,7048990,45377,4241.5
Thrive at Work,31571,External Advice,5551,Walsall MBC,7049093,45373,44520
Delivery Director - Sustainable Transport,60561,Contributions to 3rd Parties,5551,Walsall MBC,3004436,45364,114878.77
CRSTS - Capital,60563,Local Authority CRSTS Costs,5551,Walsall MBC,3004460,45366,383245
Head of Bus,30757,Shelter Repairs,5553,Warwickshire County Council,7046417,45358,2000
Director of Network Resilience,60632,Infrastructure Enhancements,5556,West Midlands Police,7048184,45352,8020
Tendered Bus Services,32425,Subsidised Services,5558,West Midlands Travel Ltd,3004448,45364,1272484.37
Transport Assets,30691,Rates,5572,Wolverhampton City Council,7048991,45377,28392
Transport Assets,30691,Rates,5572,Wolverhampton City Council,7048992,45377,89407.5
Transport Assets,30691,Rates,5572,Wolverhampton City Council,7048993,45377,2869.25
Director of Housing & Regeneration,30691,Rates,5572,Wolverhampton City Council,7049060,45377,2507.1
Director of Housing & Regeneration,30691,Rates,5572,Wolverhampton City Council,7049061,45377,2478.29
Director of Housing & Regeneration,30691,Rates,5572,Wolverhampton City Council,7049062,45377,2363.02
Director of Housing & Regeneration,30691,Rates,5572,Wolverhampton City Council,7049068,45377,41496
Director of Housing & Regeneration,30691,Rates,5572,Wolverhampton City Council,7049069,45377,3929.63
Director of Housing & Regeneration,30691,Rates,5572,Wolverhampton City Council,7049070,45377,17465.46
Metro Programme Director,60394,Traffic Management,5572,Wolverhampton City Council,7048422,45364,1102.8
Delivery Director - Sustainable Transport,60561,Contributions to 3rd Parties,5572,Wolverhampton City Council,3004437,45364,36802.23
CRSTS - Capital,60563,Local Authority CRSTS Costs,5572,Wolverhampton City Council,3003825,45358,1012.1
"Director of Policy, Strategy & Innovation",31604,IT Software Licenses and Applications,5592,Experian Ltd,7048185,45352,18433
Head of Operational Assets - Bus Infrastructure,30961,Insurance,5600,Sundry Creditors,3004290,45369,3265
Head of Governance,31573,Legal Fees,5600,Sundry Creditors,3004402,45352,12867
Adult Education,31577,Professional Advice,5600,Sundry Creditors,3004456,45369,1233
Youth Combined Authority,31767,Events / Exhibitions,5600,Sundry Creditors,3004457,45366,1600
Youth Combined Authority,31771,Stakeholder Engagement,5600,Sundry Creditors,3004484,45371,1600
Inclusion,31774,Promotional Literature,5600,Sundry Creditors,3004215,45358,2000
Director of Midlands Connect,30691,Rates,5603,Birmingham City Council,7048938,45377,20583.75
Transport Assets,30691,Rates,5603,Birmingham City Council,7048939,45377,11227.5
Transport Assets,30691,Rates,5603,Birmingham City Council,7048940,45377,1946.1
Transport Assets,30691,Rates,5603,Birmingham City Council,7048941,45377,2682.13
Transport Assets,30691,Rates,5603,Birmingham City Council,7048942,45377,2931.63
