Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,21/06/2024,EXP - PURCHASE OF GOODS/SERVICES - WATER,PROPERTY TECHNICAL SERVICES,CASTLE WATER LTD,TECB00009846,69006.79,"To Castle Water for supply of waste and water  to Defra, ALB's and DGP (FM) sites. Period 01/04/2024 to 31/03/2025.",PH10 7BH,SUPPLIER(1),C15941/C15924,00000000,Expense,"189775040	"
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERV -ICT OUTSOURC & MAINT/SUPP -NETWORK SERV INC ASSETS,IT SERVICE OPERATIONS,VODAFONE  LAND,UK10/062024/8025,237119.10,Connectivity contract - WAN R&M costs 24/25,M22 5RR,Company,C15514,DEVODWAN,Expense,"569 9532 77	"
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERV -ICT OUTSOURC & MAINT/SUPP -NETWORK SERV INC ASSETS,IT SERVICE OPERATIONS,VODAFONE  LAND,397245,149826.37,Connectivity contract - Internet Gateway R&M costs 24/25,M22 5RR,Company,C15514,DEVODCIR,Expense,"569 9532 77	"
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERV -ICT OUTSOURC & MAINT/SUPP -NETWORK SERV INC ASSETS,IT SERVICE OPERATIONS,VODAFONE  LAND,397246,110801.99,Connectivity contract - RAS R&M costs 24/25,M22 5RR,Company,C15514,DEVODRAS,Expense,"569 9532 77	"
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERV -ICT OUTSOURC & MAINT/SUPP -NETWORK SERV INC ASSETS,IT SERVICE OPERATIONS,VODAFONE  LAND,397331,202199.12,Connectivity contract - LAN R&M costs 24/25,M22 5RR,Company,C15514,DEVODLAN,Expense,"569 9532 77	"
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERV -ICT OUTSOURC & MAINT/SUPP -NETWORK SERV INC ASSETS,IT SERVICE OPERATIONS,VODAFONE  LAND,397247,202743.48,Connectivity contract - LAN R&M costs 24/25,M22 5RR,Company,C15514,DEVODLAN,Expense,"569 9532 77	"
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT - ARCHITECTURE & STANDARDS,CIVICA UK LTD,C/GN305580,163624.91,Data Architecture as a Service CCS GCloud ref 6219 9199 8315 506 . Contract reference C21146 2.10.2023 to 1.10.2024,GU227UY,SUPPLIER,C21164,DEP00597,Expense,"GB391171065					"
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,IT SERVICE OPERATIONS,COMPUTACENTER (UK) LTD,3884556692,65120.00,"Renewal - Chocolatey licences - 29,600 Chocolatey licenses - 12 months - from 31/07/2024 –to 30/07/2025",AL10 9TW,SUPPLIER,19878,DEP01195,Expense,490334648
DEFRA,DEFRA,24/06/2024,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,LANDSCAPES,NATIONAL TRAILS UK,070624-01,171500.00,First payment in FY24/25 of the GRANT: Protected Landscapes Partnership FY23-25 – National Trails UK C21198,PL1 3RP,SUPPLIER,C21198,00000000,Expense,
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,SCIENCE PROJECTS - MASTERPLAN / SCAH,THE NICHOLS GROUP LIMITED,TNG15539,75426.30,THE NICHOLS GROUP LTD C20973 SCAH Specialist Advisory Consultancy Services 01/04/24 to 30/09/24. Project Ref 89050 (UPLIFT),W1C 1AY,SUPPLIER,C20973,DE089050,Expense,GB649224034
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,IT SERVICE OPERATIONS,GOVFORMS LTD,0223,25423.16,Renewal - C17645 Defra Dead Birds Service Form - 01/06/2024 to 31/05/2025.,BN1 1YR,SUPPLIER,17645,DEP01250,Expense,312 8937 94
DEFRA,DEFRA,24/06/2024,IA - POA & AUC - COST - ADDITIONS,NORTHERN IRELAND DELIVERY AND SERVICE DESIGN,CAPGEMINI UK PLC,2600110427228,91898.08,"SOW_CAPWN_0001 WINDSOR	Northern Ireland Directive – Data & Reporting Services",GU21 6DB,THIRD PARTY,C24008,DENI0001,Asset,GB232441107
DEFRA,DEFRA,24/06/2024,IA - POA & AUC - COST - ADDITIONS,NORTHERN IRELAND DELIVERY AND SERVICE DESIGN,CAPGEMINI UK PLC,2600110427226,30818.46,"SOW_CAPWN_0003	Northern Ireland Directive - Pet Travel Scheme",GU21 6DB,THIRD PARTY,c24008,DENI0007,Asset,GB232441107
DEFRA,DEFRA,24/06/2024,IA - POA & AUC - COST - ADDITIONS,NORTHERN IRELAND DELIVERY AND SERVICE DESIGN,CAPGEMINI UK PLC,2600110427215,196383.34,"SOW_CAPWN_0004	 WINDSOR  Northern Ireland Directive - Retail Movement Scheme (NIRMS)",GU21 6DB,THIRD PARTY,C24008,DENI0001,Asset,GB232441107
DEFRA,DEFRA,24/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,CAPGEMINI UK PLC,2600110427131,31411.85,"SOW_CAP_0123 -FCP DP3, DP7 and DP8 Project delivery",GU21 6DB,THIRD PARTY,C5502iv,DEP01153,Expense,GB232441107
DEFRA,DEFRA,24/06/2024,IA - POA & AUC - COST - ADDITIONS,DDTS - FISH,CAPGEMINI UK PLC,2600110427236,175816.57,"SOW_CAPWT_0004	 - Fish Export Service Phase 3 (DAERA API, case management improvements, reporting and data enhancements)",GU21 6DB,THIRD PARTY,C24009,DEAFS001,Asset,GB232441107
DEFRA,DEFRA,24/06/2024,IA - POA & AUC - COST - ADDITIONS,DDTS - FISH,CAPGEMINI UK PLC,2600110427227,178774.20,"SOW_CAPWT_0004	 - Fish Export Service Phase 3 (DAERA API, case management improvements, reporting and data enhancements)",GU21 6DB,THIRD PARTY,C24009,DEAFS001,Asset,GB232441107
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,IBM UNITED KINGDOM LTD,5806240443,149583.21,Legacy Application Programme for the Defra Application Estate call-off PO,GU1 2LD,SUPPLIER,C20082,DEP00320,Expense,GB1073 28000
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF G&S - ACCOM & BLDNG MGMT - ESTATES PROFESSIONAL FEES & SERVS,PROPERTY STRATEGY - CORPORATE PROPERTY,GOVERNMENT PROPERTY AGENCY PROFESSIONAL SERVICES,00000001/33430,293017.00,"FRN0778 - Multiple Sites - GPA Re-charge of BNP Paribas Core Property Management Services Fee for 2024-25, as per Property Management Services agreement between GPA & BNP Paribas.",B2 4BH,SUPPLIER,65639,00000000,Expense,888 8508 47
DEFRA,DEFRA,25/06/2024,IA - POA & AUC - COST - ADDITIONS,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,CAPGEMINI UK PLC,2600110427145,105326.37,"SOW CAP 121	FCP DP1.0 Daisy DC Exit Support",GU21 6DB,THIRD PARTY,C5502iv,DEP01137,Asset,GB232441107
DEFRA,DEFRA,25/06/2024,IA - POA & AUC - COST - ADDITIONS,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,CAPGEMINI UK PLC,2600110427196,82521.26,SOW_CAP_0125 - FCP AHWR Vet Visits Public Beta,GU21 6DB,THIRD PARTY,C5502iv,DEP00580,Asset,GB232441107
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,CAPGEMINI UK PLC,2600110427213,138784.50,SOW_CAP_0126 - FCP Find Team,GU21 6DB,THIRD PARTY,C5502iv,DEP00571,Expense,GB232441107
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,CAPGEMINI UK PLC,2600110427133,170212.50,SOW_CAP_0126 - FCP Find Team,GU21 6DB,THIRD PARTY,C5502iv,DEP00571,Expense,GB232441107
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,CAPGEMINI UK PLC,2600110423418,147874.00,SOW_CAP_0127 - FCP Sustainable Farming Incentive 24 Expanded Offer Private & Public Beta,GU21 6DB,THIRD PARTY,C5502iv,DEP00577,Expense,GB232441107
DEFRA,DEFRA,25/06/2024,IA - POA & AUC - COST - ADDITIONS,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,CAPGEMINI UK PLC,2600110427183,31552.00,SOW_CAP_0134 - FCP Data Team Strategic Direction Support,GU21 6DB,THIRD PARTY,C5502iv,DEP01146,Asset,GB232441107
DEFRA,DEFRA,25/06/2024,IA - POA & AUC - COST - ADDITIONS,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,CAPGEMINI UK PLC,2600110427195,35544.00,SOW_CAP_0134 - FCP Data Team Strategic Direction Support,GU21 6DB,THIRD PARTY,C5502iv,DEP01146,Asset,GB232441107
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,SPS BORDERS AND BOUNDARIES,CAPGEMINI UK PLC,2600110427181,25890.00,SOW_CAP_0129 -Programme Management Target Operating Model,GU21 6DB,THIRD PARTY,C5502iv,DESPS012,Expense,GB232441107
DEFRA,DEFRA,25/06/2024,IA - POA & AUC - COST - ADDITIONS,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,CAPGEMINI UK PLC,2600110427210,53984.25,"SOW CAP 122	FCP DP2.9 Reporting Service Private Beta",GU21 6DB,THIRD PARTY,C5502iv,DEP01145,Asset,GB232441107
DEFRA,DEFRA,25/06/2024,PPE - POA & AUC (OWNED) - COST - ADDITIONS,NORTHERN IRELAND INFRASTRUCTURE,CTS PROJECTS LTD,42369,108117.86,CTS Infrastructure builds in Warrenpoint for Project Habitat (DAERA/Defra) CDEL,BT34 3PN,CIS SUPPLIER,19839,DEA15340,Asset,
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - GAS,PROPERTY TECHNICAL SERVICES,TOTAL ENERGIES G & P COLLECTIONS,DEFRA180624,48502.03,"VPO for Total Energies to supply gas to Defra, ALB's and DGP. Period 01/04/2024 - 31/03/2025.",RH1 1RX,SUPPLIER,C24567,00000000,Expense,GB689638949
DEFRA,DEFRA,25/06/2024,IA - POA & AUC - COST - ADDITIONS,DDTS - NCEA PROGRAMME,COGNIZANT WORLDWIDE LTD,CW101-0001705844,26347.50,SOW COG 30 NCEA Lars Beta,W2 6BD,SUPPLIER,C15696iii,DEP01141,Asset,GB 123382928
DEFRA,DEFRA,25/06/2024,IA - POA & AUC - COST - ADDITIONS,DDTS - NCEA PROGRAMME,COGNIZANT WORLDWIDE LTD,CW101-0001706093,41418.25,SOW COG 30 NCEA Lars Beta,W2 6BD,SUPPLIER,C15696iii,DEP01141,Asset,GB 123382928
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,FFCP EVIDENCE & ANALYSIS,UK CENTRE FOR ECOLOGY & HYDROLOGY,CUSINV-004501,160000.00,EVAST2 Milestone 1 (LEEP data improvements),OX10 8BB,SUPPLIER,C13328,DEA10487,Expense,336 940192
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,AIR QUALITY & INDUSTRIAL EMISSIONS,RICARDO AEA LTD,6206912,60576.11,Project to Measure Emissions Factors for Domestic Solid Fuels. CCN02 FY 24/25. AQIE017.,OX11 0QR,CIS SUPPLIER,ATAMIS C13305,DEA15251,Expense,GB 212 836524
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,AIR QUALITY & INDUSTRIAL EMISSIONS,RICARDO AEA LTD,6206835,123486.00,Modelling of Ambient Air Quality (MAAQ) Core for FY24/25.    AQIE032.,OX11 0QR,CIS SUPPLIER,ATAMIS C23914,DEA15251,Expense,GB 212 836524
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS,GROUP INFRASTRUCTURE & OPERATIONS,BRITISH TELECOMMUNICATIONS PLC.,VP90506770M055SB,74560.27,BT EA telemetry onebills,DH95 1BT,SUPPLIER(1),TELECOMS,DEP00518,Expense,245 7193 48
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,ATOS IT SERVICES UK LTD,5584445616,90658.68,Services under the Hosting and Application Support contract during 1st April 2023  - 30th June 2024,WV10 6UH,SUPPLIER,ecm_51982,DEP00314,Expense,232327983
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,ATOS IT SERVICES UK LTD,5584445709,106545.60,Services under the Hosting and Application Support contract during 1st April 2023  - 30th June 2024,WV10 6UH,SUPPLIER,ecm_51982,DEP00314,Expense,232327983
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,SHARED SERVICES CONTRACT MANAGEMENT,SHARED SERVICES CONNECTED LTD,100046161,176692.34,Provision of Defra monthly contract by SSCL - Monthly Volumetric charge including Standard Conditions and CPIs for JUN 24 (including APR 24 Reconciliation /TrueUp). ecm_4524. Now including whole Defra Group (excl. EA).,HP2 7AH,SUPPLIER,ecm_4524,00000000,Expense,171798078
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,SHARED SERVICES CONTRACT MANAGEMENT,SHARED SERVICES CONNECTED LTD,100046148,582337.40,Provision of Defra monthly contract by SSCL - Monthly Volumetric charge including Standard Conditions and CPIs for JUN 24 (including APR 24 Reconciliation /TrueUp). ecm_4524. Now including whole Defra Group (excl. EA).,HP2 7AH,SUPPLIER,ecm_4524,00000000,Expense,171798078
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,CONSISTENT WASTE COLLECTION,EUNOMIA RESEARCH & CONSULTING LTD,INV-UK-005304,60310.11,Waste Management Tonnage Costs (CHANGE TO CHARGE ACCOUNT),BS1 4QS,SUPPLIER,C19700,DEA15322,Expense,771922024
DEFRA,DEFRA,25/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,EU EXIT CHEMICALS (REACH),ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD,2391,42027.00,Emissions of intentionally added microplastics,EC1Y 2AA,SUPPLIER,C21867,00000000,Expense,"564421547	"
DEFRA,DEFRA,26/06/2024,EXP - CAPITAL GRANTS TO PRIVATE SECTOR - COMPANIES,ADAPTATION AND RURAL COMMUNITIES,ACRE.,7796,258181.25,F/Y 24/25 - Rural Housing Enablers Programme,GL7 6JJ,SUPPLIER(1),FDP,00000000,Expense,477763003
DEFRA,DEFRA,26/06/2024,IA - POA & AUC - COST - ADDITIONS,NORTHERN IRELAND DELIVERY AND SERVICE DESIGN,CAPGEMINI UK PLC,2600110427230,69978.39,"SOW_CAPWN_0001 WINDSOR	Northern Ireland Directive – Data & Reporting Services",GU21 6DB,THIRD PARTY,C24008,DENI0001,Asset,GB232441107
DEFRA,DEFRA,26/06/2024,IA - POA & AUC - COST - ADDITIONS,PARTNER RECHARGE: OTHER,CAPGEMINI UK PLC,2600110423792,93934.63,SOW_CAP_0133 - CNTS Digital Transformation Strategy Mobilisation,GU21 6DB,THIRD PARTY,C5502iv,DEP01297,Asset,GB232441107
DEFRA,DEFRA,26/06/2024,IA - POA & AUC - COST - ADDITIONS,PARTNER RECHARGE: OTHER,CAPGEMINI UK PLC,2600110427126,127757.59,SOW_CAP_0133 - CNTS Digital Transformation Strategy Mobilisation,GU21 6DB,THIRD PARTY,C5502iv,DEP01297,Asset,GB232441107
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF G&S - ICT OUTSOURCING & MAINT/SUPPORT - COMPUTER & IT SERVICES,DATA EXPLOITATION AND CAPABILITY,ESRI UK LIMITED,UK-PIN104539,48854.40,Defra ESRI Rest Services Professional Services Provision,HP21 7QG,SUPPLIER,P-30949,DEP01385,Expense,GB787430791
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF G&S - ICT OUTSOURCING & MAINT/SUPPORT - COMPUTER & IT SERVICES,DATA EXPLOITATION AND CAPABILITY,ESRI UK LIMITED,UK-PIN104627,55715.00,Defra ESRI Rest Services Professional Services Provision,HP21 7QG,SUPPLIER,P-30949,DEP01385,Expense,GB787430791
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,BUSINESS ANALYSIS,I3WORKS LTD,I3W-DFR-MAY-SOW1-2,181597.40,"SOW_ITW_0001	Service Delivery - Business Analysis",BS1 4JZ,SUPPLIER,C22464iv,00000000,Expense,GB200113204
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,DIGITAL TRANSFORMATION,I3WORKS LTD,I3W-DFR-MAY-SOW2-2,149575.00,"SOW_ITW_0002	Service Delivery - Product & Delivery Management",BS1 4JZ,SUPPLIER,C22464iv,00000000,Expense,GB200113204
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,DIGITAL TRANSFORMATION,I3WORKS LTD,I3W-DFR-MAY-SOW5,31375.00,"SOW_ITW_0005, Digital Delivery Capability Services Product & Delivery iii,  C21 i3Works Capability Services Product & Deliveryv, 
 03 April 2024 - , 30 September 2024",BS1 4JZ,SUPPLIER,C22464iv,00000000,Expense,GB200113204
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,PARTNER RECHARGE: OTHER,I3WORKS LTD,I3W-DFR-MAY-SOW6,46125.00,"SOW_ITW_0006, Digital Delivery Capability Services Product & Delivery iii, C21 i3Works Capability Services Product & Deliveryv
02 April 2024 - 30 September 2024",BS1 4JZ,SUPPLIER,C22464iv,00000000,Expense,GB200113204
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,BUSINESS ANALYSIS,I3WORKS LTD,I3W-DFR-MAY-SOW4-2,105000.00,SOW_ITW_0004 - Service Delivery - Business Analysis NEW demand - April -Sep 2024,BS1 4JZ,SUPPLIER,C22464iv,00000000,Expense,GB200113204
DEFRA,DEFRA,26/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,WARRINGTON BOROUGH COUNCIL,811769528,26807.00,FY 23/24 – S31/6804 - Biodiversity Net Gain Grant for Local Planning Authorities -Warrington Borough Council,WA1 1XL,SUPPLIER,GIA,00000000,Expense,152847160
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,HITACHI SOLUTIONS EUROPE LTD,I009013P-GB01,50833.33,MS DAX application support and maintenance - Core Support,EC2N 1HQ,SUPPLIER,C15747,DEUKNSUP,Expense,GB830529539
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,FUTURE FARMING AND COUNTRYSIDE INITIATIVE,HITACHI SOLUTIONS EUROPE LTD,I009172P-GB01,50833.33,MS DAX application support and maintenance - Core Support,EC2N 1HQ,SUPPLIER,C15747,DEUKNSUP,Expense,GB830529539
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER - EVIDENCE R&D,ELM TRIALS AND TESTS,FWAG SOUTH WEST,2324951,44100.00,"ECM_65212 Claim 7 MS9,10,13,15 FWAG South West will trial an integrated delivery model, to support the development of baseline data sets and blended finance opportunities. trial will investigate outputs and analysis of a combined assessment",TA21 8YA,SUPPLIER,65212,DEA10485,Expense,
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS,GROUP INFRASTRUCTURE & OPERATIONS,VODAFONE LTD,105866445,54733.55,DEFRA/ RPA Data Sharer FY 2024-25,RG14 2FN,SUPPLIER,C15540,DEAMOBSS,Expense,GB 569 9532 77
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,"FOOD AND FARMING STRATEGY, INNOVATION, SYSTEMS",UNIVERSITY OF YORK,138292,30000.00,CH0110 - Oilseed Rape Genetic Improvement Network (OREGIN) - Ecm_51619 – University of York – CCN07 – M116 - Properties of nutritionally enhanced oil assessed – 31/3/24,YO10 5NH,CUSTOMER,51619,DEA15230,Expense,647205541
DEFRA,DEFRA,26/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,WARWICKSHIRE COUNTY COUNCIL,10386344,111044.00,FY24/25 LNRS preparation grants (31/7340) Local Authority – Warwickshire County Council,CV34 4RH,SUPPLIER,GIA,00000000,Expense,GB 272426659
DEFRA,DEFRA,26/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,EAST SUSSEX COUNTY COUNCIL,8005069425,140317.00,FY24/25 LNRS preparation grants (31/7340) Local Authority – East Sussex County Council,BN7 1UE,SUPPLIER,GIA,00000000,Expense,191803754
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT - ARCHITECTURE & STANDARDS,LA INTERNATIONAL COMP CONS LTD,LAMAY24DEF2-1,54165.00,Data Architecture as a service. Non-recoverable VAT,ST1 5UB,SUPPLIER(1),C12997,DEP01440,Expense,
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - RESEARCH & DEVELOPMENT - OTHER OUTSOURCED,ANIMAL AND PLANT HEALTH EVIDENCE ANALYSIS,IPSOS MORI,24001398,60658.80,Consumer research on method of production labelling - TFAHW Labelling consultation.,E1W 1YW,SUPPLIER,C24125,DEA15253,Expense,
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,FLS-ODA MARINE,KPMG LLP,5502850748,31220.00,KPMG LLP: Delivery Partner Review carried out on the Global Fishing Watch.,WD17 1DE,SUPPLIER,C24655,DEA10556,Expense,791788859
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,ATOS IT SERVICES UK LTD,5584445698,30780.08,Services under the Hosting and Application Support contract during 1st April 2023  - 30th June 2024,WV10 6UH,SUPPLIER,ecm_51982,DEP00314,Expense,232327983
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,ATOS IT SERVICES UK LTD,5584445664,47447.11,Services under the Hosting and Application Support contract during 1st April 2023  - 30th June 2024,WV10 6UH,SUPPLIER,ecm_51982,DEP00314,Expense,232327983
DEFRA,DEFRA,26/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,IBM UNITED KINGDOM LTD,5806240527,339465.05,Project Related Charges for work commissioned between February 2023 - March 2024,GU1 2LD,SUPPLIER,C5495,DEP00320,Expense,GB1073 28000
DEFRA,DEFRA,27/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,DEVON COUNTY COUNCIL,55451045,181029.00,FY24/25 LNRS preparation grants (31/7340) - Local Authority – Devon County Council,EX2 4QD,Access to Work,GIA,00000000,Expense,142208113
DEFRA,DEFRA,27/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,HAMPSHIRE COUNTY COUNCIL,3611816254,181029.00,FY24/25 LNRS preparation grants (31/7340) Local Authority – Hampshire County Council,SO23 8UD,LOCAL AUTHORITIES,GIA,00000000,Expense,"189406822	"
DEFRA,DEFRA,27/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,SUFFOLK COUNTY COUNCIL,9546203,131623.00,FY24/25 LNRS preparation grants (31/7340) Local Authority –Suffolk County Council,IP1 2BX,Access to Work,GIA,00000000,Expense,GB 1041 78791
DEFRA,DEFRA,27/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,FORESTRY,CHESHIRE WEST CHESTER COUNCIL,12700196309,2348335.00,S.31 Grant agreement between Defra and Cheshire West Chester Council for delivery of Community Forest,CH1 2NP,LOCAL AUTHORITIES,GIA,00000000,Expense,945 1011 54
DEFRA,DEFRA,27/06/2024,EXP - CAPITAL GRANTS TO LOCAL GOVERNMENT,FORESTRY,CHESHIRE WEST CHESTER COUNCIL,12700196321,19160000.00,S.31 Grant agreement between Defra and Cheshire West Chester Council for delivery of Community Forest.,CH1 2NP,LOCAL AUTHORITIES,GIA,00000000,Expense,945 1011 54
DEFRA,DEFRA,27/06/2024,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LAND USE AND PLANNING,NORTH NORTHAMPTONSHIRE COUNCIL,422001796416,111044.00,FY24/25 LNRS preparation grants (31/7340) Local Authority – North Northamptonshire,NN168TL,SUPPLIER,GIA,00000000,Expense,370 1512 34
DEFRA,DEFRA,27/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,IBM UNITED KINGDOM LTD,5806240617,59745.35,Legacy Application Programme for the Defra Application Estate call-off PO,GU1 2LD,SUPPLIER,C20082,DEP00320,Expense,GB1073 28000
DEFRA,DEFRA,27/06/2024,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IT SERVICE OPERATIONS,CAPGEMINI UK PLC,2600110427615,110274.10,Capgemini Service Desk BAU service charges,GU21 6DB,THIRD PARTY,,DEHD0000,Expense,GB232441107
DEFRA,DEFRA,27/06/2024,IA - POA & AUC - COST - ADDITIONS,DIGITAL TRANSFORMATION,CAPGEMINI UK PLC,2600110427758,68824.70,"SOW CAP 137	CITES PEGASUS ITERATION",GU21 6DB,THIRD PARTY,C5502,DEP00787,Asset,GB232441107
DEFRA,DEFRA,27/06/2024,IA - POA & AUC - COST - ADDITIONS,DIGITAL TRANSFORMATION,CAPGEMINI UK PLC,2600110427752,70538.77,"SOW CAP 137	CITES PEGASUS ITERATION",GU21 6DB,THIRD PARTY,C5502,DEP00787,Asset,GB232441107
