Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BIRMINGHAM CITY CNCL,3700288382,Grant payable by the Exchequer,B3 3AB,"£52,419.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLABY DC,3700287907,Grant payable by the Exchequer,LE9 5EP,"£243,538.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKBURN WITH DARWEN BC,3700287402,Grant payable by the Exchequer,BB1 7DY,"£695,757.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKBURN WITH DARWEN BC,3700287407,Grant payable by the Exchequer,BB1 7DY,"£278,693.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKBURN WITH DARWEN BC,3700287528,Grant payable by the Exchequer,BB1 7DY,"£1,520,907.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKBURN WITH DARWEN BC,3700287534,Grant payable by the Exchequer,BB1 7DY,"£162,574.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKBURN WITH DARWEN BC,3700288103,Grant payable by the Exchequer,BB1 7DY,"£1,228,217.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKPOOL BC,3700287221,Grant payable by the Exchequer,FY1 1NA,"£1,819,967.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKPOOL BC,3700287269,Grant payable by the Exchequer,FY1 1NA,"£329,468.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BLACKPOOL BC,3700287600,Grant payable by the Exchequer,FY1 1NA,"£211,764.00",Yes,Local Government & Public Services,Nico Heslop
