Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST SUSSEX CC,3700288554,Grant payable by the Exchequer,PO19 1RG,"£46,114.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WEST YORKSHIRE FIRE & RESCUE AUTH,3700289015,Grant payable by the Exchequer,BD11 2DY,"£114,144.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WESTMINSTER CITY CNCL,3700288776,Grant payable by the Exchequer,SW1E 6QP,"£52,586.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIGAN MBC,3700288666,Grant payable by the Exchequer,WN1 1AZ,"£41,073.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WILTSHIRE COUNCIL,3700288687,Grant payable by the Exchequer,BA14 4DS,"£33,681.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WILTSHIRE COUNCIL,3700288947,Grant payable by the Exchequer,BA14 4DS,"£107,384.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WINCHESTER CITY CNCL,3700288827,Grant payable by the Exchequer,SO23 9LJ,"£99,419.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WINDSOR & MAIDENHEAD,3700288816,Grant payable by the Exchequer,SL6 1RF,"£52,277.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WIRRAL MBC,3700288619,Grant payable by the Exchequer,CH27 9FQ,"£47,395.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOKING BC,3700288909,Grant payable by the Exchequer,GU21 1YL,"£134,754.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOKINGHAM DC,3700288841,Grant payable by the Exchequer,RG11 1WJ,"£217,276.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WOLVERHAMPTON MBC,3700288694,Grant payable by the Exchequer,WV1 1RL,"£46,356.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORCESTER CITY CNCL,3700288842,Grant payable by the Exchequer,WR1 2EZ,"£108,720.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORCESTERSHIRE COUNTY COUNCIL,3700288573,Grant payable by the Exchequer,WR5 2NP,"£36,939.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WORTHING BC,3700288943,Grant payable by the Exchequer,BN11 1HB,"£61,784.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WYCHAVON DISTRICT COUNCIL,3700288957,Grant payable by the Exchequer,WR10 1PT,"£269,038.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WYRE BC,3700288964,Grant payable by the Exchequer,FY6 7PU,"£91,527.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,WYRE FOREST DISTRICT COUNCIL,3700288976,Grant payable by the Exchequer,DY11 7WF,"£57,261.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,York&North Yorkshire Combined Autho,3700288989,Grant payable by the Exchequer,DL7 8AD,"£55,791.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,20/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",Clyne Heritage Society,2100345590,COF23 198 CLYNE HERITAGE SOCIETY,KW9 6NH,"£25,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,20/09/2024,IT - Service Contracts,CFO and Corporate,DELOITTE  LLP,5106315486,Selective Transformation S/4Hana BW/4Han,MK9 1FD,"£376,158.60",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,20/09/2024,Management Consultancy,"Local Growth, Communities and Devolution",PA CONSULTING SERVICES LIMITED,5106315463,2024/25 budget Freeport Hub,SW1E 5DN,"£226,134.32",,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,20/09/2024,Professional services,Safer and Greener Buildings,ATKINSRÉALIS PPS LIMITED,5106314940,Project Consultancy,KT18 5BW,"£356,235.78",,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,20/09/2024,Steady State Service Provision,Regeneration Housing and Planning,LOCALITY,5106315467, 2024/25 Neighbourhood Planning Technical Support,N1 6DR,"£235,764.41",,Regeneration Housing and Planning,William Burgon
"Housing, Communities & Local Government",MHCLG,20/09/2024,Steady State Service Provision,Regeneration Housing and Planning,LOCALITY,5106315468, 2024/25 Neighbourhood Planning Technical Support,N1 6DR,"£37,789.58",,Regeneration Housing and Planning,William Burgon
"Housing, Communities & Local Government",MHCLG,23/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,EBBSFLEET DEVELOPMENT CORPORATION,2100345176,Ebbsfleet Development Corporation,DA11 8DB,"£1,500,000.00",Yes,Regeneration Housing and Planning,Cathy Francis
"Housing, Communities & Local Government",MHCLG,23/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Clyne Heritage Society,2100345591,COF23 198 CLYNE HERITAGE SOCIETY,KW9 6NH,"£271,554.24",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,23/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,EBBSFLEET DEVELOPMENT CORPORATION,2100345177,Ebbsfleet Development Corporation,DA11 8DB,"£500,000.00",Yes,Regeneration Housing and Planning,Cathy Francis
"Housing, Communities & Local Government",MHCLG,24/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Take a Bow Development Trust,2100345841,COF24 031 TAKE A BOW DEVELOPMENT TRUST,KA3 7PH,"£400,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,24/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",Systra Limited,5106315546,LUF Process Evaluation,EC2V 8AE,"£46,141.00",,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,24/09/2024,IT Consultancy,CFO and Corporate,EBSCO INFORMATION SERVICES,5106315549,EBSCO Online Information Service subscri,EN5 1NZ,"£35,169.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,25/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,GTR MANCHESTER COMBINED AUTHORITY,2100345782,"2024/25 Brownfield, Infrastructure and Land fund",M27 8US,"£57,500,000.00",Yes,Regeneration Housing and Planning,Cathy Francis
"Housing, Communities & Local Government",MHCLG,25/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",HAMARA HEALTHY LIVING CENTRE,2100345954,COF23 105 Hamara Healthy Living Centre - Capital G,LS11 6RD,"£126,759.20",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,25/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",ISLE OF GIGHA HERITAGE TRUST,2100345920,COF23 139 ISLE OF GIGHA HERITAGE TRUST,PA41 7AA,"£210,471.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,25/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Macaulay College C.I.C,2100345922,COF24 039 Macaulay College CIC Ltd - Capital Grant,HS2 9JN,"£250,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,25/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",ISLE OF GIGHA HERITAGE TRUST,2100345921,COF23 139 ISLE OF GIGHA HERITAGE TRUST,PA41 7AA,"£37,026.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,25/09/2024,Current Grants to Non Profit Bodies,Regeneration Housing and Planning,CONVENTION OF SCOTTISH LOCAL AUTH,2100345925,Grant Funding for Hong Kong British Nationals Welcome Hubs,EH12 5BH,"£138,228.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,25/09/2024,Current Grants to Non Profit Bodies,Regeneration Housing and Planning,IMPROVEMENT & DEVELOPMENT AGENCY,2100345926,Grant Payment to Planning Advisory Service,SW1P 3HZ,"£321,740.14",Yes,Regeneration Housing and Planning,William Burgon
"Housing, Communities & Local Government",MHCLG,25/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",OVE ARUP & PARTNERS,5106315607,UK Freeports M&E contract extension (24/,W1T 4BJ,"£102,542.26",,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,25/09/2024,Recruitment,CFO and Corporate,CABINET OFFICE HR SHARED SERVICES,5106315584, PD Fast Streamers Aligned to MHCL,NP10 8FZ,"£339,134.00",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,25/09/2024,Software Licences,"Local Growth, Communities and Devolution",PHOENIX SOFTWARE LTD,5106315624,Cintra Capture Expenses (1 year),YO42 1NS,"£48,841.12",,"Local Growth, Communities and Devolution",Stuart Ison
"Housing, Communities & Local Government",MHCLG,26/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",Aberdeen Cncl,2100345658,LUF0005 Aberdeen City Centre Master Plan,AB10 1AB,"£4,353,950.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,26/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",Carmarthenshire County Council,2100345657,LUF0029- Carmarthen and Pembroke HWB,SA31 1JP,"£7,227,515.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,26/09/2024,Cap Grants to Private Sector Companies,"Local Growth, Communities and Devolution",Irish Rugby Football Union,2100345459,LUF20319 Ulster Rugby Levelling Up Fund,BT6 0FT,"£559,633.72",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,26/09/2024,Cap Grants to Private Sector Companies,"Local Growth, Communities and Devolution",OMAGH ENTERPRISE CO LTD,2100345460,LUF0252 Omagh Health Centre Ent & Inn Digi-Hub,BT78 5LU,"£849,609.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,26/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,CFO and Corporate,LSE ENTERPRISE LTD,5106315658,Temporary Accommodation Research,WC2A 2AE,"£59,463.00",,CFO and Corporate,Stephen Aldridge
"Housing, Communities & Local Government",MHCLG,26/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,CFO and Corporate,NATIONAL CENTRE FOR SOCIAL RESEARCH,5106315628,English Housing Survey Research,EC1V 0AX,"£128,232.44",,CFO and Corporate,Stephen Aldridge
"Housing, Communities & Local Government",MHCLG,26/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,CFO and Corporate,NATIONAL CENTRE FOR SOCIAL RESEARCH,5106315629,English Housing Survey Research,EC1V 0AX,"£54,171.59",,CFO and Corporate,Stephen Aldridge
"Housing, Communities & Local Government",MHCLG,26/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,CFO and Corporate,NATIONAL CENTRE FOR SOCIAL RESEARCH,5106315630,English Housing Survey Research,EC1V 0AX,"£564,133.80",,CFO and Corporate,Stephen Aldridge
"Housing, Communities & Local Government",MHCLG,26/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,"Local Growth, Communities and Devolution",FRONTIER ECONOMICS LTD,5106315660,Towns Fund evaluation,WC1V 6DA,"£373,981.20",,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,26/09/2024,Legal Fees,CFO and Corporate,GOVERNMENT LEGAL DEPARTMENT,5106315647,Variable fee inc. VAT (VJ),SW1H 9GL,"£183,839.83",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,27/09/2024,BRR Central List Income,Local Government & Public Services,OFFICE OF THE PAYMASTER GENERAL (NN,2100346112,NNDR /Sept 2024 ,RH10 1UH,"£174,100,434.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,27/09/2024,BRR Central Share Income,Local Government & Public Services,OFFICE OF THE PAYMASTER GENERAL (NN,2100346112,NNDR /Sept 2024 ,RH10 1UH,"£807,397,493.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,27/09/2024,BRR Estimated Collection Fund Surplus PY,Local Government & Public Services,OFFICE OF THE PAYMASTER GENERAL (NN,2100346112,NNDR /Sept 2024 ,RH10 1UH,"£18,931,836.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,27/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",DUDLEY MBC,3700289028,Grant payable by the Exchequer,DY1 1HF,"£2,573,289.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,27/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",Somerset Council (UA),3700289027,Grant payable by the Exchequer,TA1 4DY,"£1,562,981.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,27/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",SOUTH KESTEVEN DC,3700289025,Grant payable by the Exchequer,NG31 6PZ,"£3,823,097.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,27/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",STAFFORD BC,3700289026,Grant payable by the Exchequer,ST16 3AQ,"£3,077,723.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,27/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",WALSALL MBC,3700289024,Grant payable by the Exchequer,WS1 1TW,"£1,711,497.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,27/09/2024,CL - BRR Additional Receipts,Local Government & Public Services,OFFICE OF THE PAYMASTER GENERAL (NN,2100346112,NNDR /Sept 2024 ,RH10 1UH,"£63,629,843.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,27/09/2024,Current (non AEF) Grants to Local Authorities,"Local Growth, Communities and Devolution",THURROCK DC,2100345843,Thames Estuary Core Funding,RM17 6LT,"£625,000.00",Yes,"Local Growth, Communities and Devolution",Ed Whiting
"Housing, Communities & Local Government",MHCLG,27/09/2024,Final NNDR3 Surplus on Collection Fund,Local Government & Public Services,OFFICE OF THE PAYMASTER GENERAL (NN,2100346112,NNDR /Sept 2024 ,RH10 1UH,"£19,310,787.00",,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,27/09/2024,Grant in Aid to NDPBs (non budget),Regeneration Housing and Planning,Office For Place Limited,2100345956,Grant in Aid Payment to Office for Place - Q2,ST4 1HP,"£1,193,980.49",Yes,Regeneration Housing and Planning,Cathy Francis
"Housing, Communities & Local Government",MHCLG,27/09/2024,Grant in Aid to NDPBs (non budget),Regeneration Housing and Planning,Office For Place Limited,2100345957,Grant in Aid Payment to Office for Place - Q3,ST4 1HP,"£90,000.00",Yes,Regeneration Housing and Planning,Cathy Francis
"Housing, Communities & Local Government",MHCLG,30/09/2024,Cap Grants to Local Authorities (DEL),"Local Growth, Communities and Devolution",Belfast City Council,2100345924,UKSPF NI Enterprise Support Service,BT1 5GS,"£250,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,"Local Growth, Communities and Devolution",Belfast City Council,2100345923,UKSPF NI Enterprise Support Service,BT1 5GS,"£4,750,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,CITY OF YORK COUNCIL,2100345765,LA funding to support integration of  Hong Kong British Nationals,YO1 7ET,"£27,200.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,COVENTRY CITY COUNCIL,2100345736,LA funding to support integration of  Hong Kong British Nationals,CV1 5RR,"£25,850.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,DERBY CITY COUNCIL,2100345737,LA funding to support integration of  Hong Kong British Nationals,DE1 2FS,"£61,200.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,KENT COUNTY COUNCIL,2100345752,LA funding to support integration of  Hong Kong British Nationals,ME14 1XX,"£53,077.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,LB WANDSWORTH,2100345770,LA funding to support integration of  Hong Kong British Nationals,SW18 2PU,"£34,000.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,LEEDS CITY COUNCIL,2100345759,LA funding to support integration of  Hong Kong British Nationals,LS1 1UR,"£61,737.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,LONDON BOROUGH OF BARNET,2100345743,LA funding to support integration of  Hong Kong British Nationals,NW4 4BG,"£56,950.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,MANCHESTER CITY COUNCIL,2100345774,LA funding to support integration of  Hong Kong British Nationals,M60 2JR,"£63,032.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,MILTON KEYNES BC,2100345762,LA funding to support integration of  Hong Kong British Nationals,MK9 3EE,"£43,500.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,NOTTINGHAMSHIRE CC,2100345773,LA funding to support integration of  Hong Kong British Nationals,NG2 7QZ,"£69,720.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,READING BC,2100345769,LA funding to support integration of  Hong Kong British Nationals,RG1 7TD,"£27,200.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,SALFORD CITY COUNCIL,2100345742,LA funding to support integration of  Hong Kong British Nationals,M27 5AW,"£267,750.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,SOLIHULL MBC,2100345771,LA funding to support integration of  Hong Kong British Nationals,B91 3QR,"£31,927.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,SOUTHAMPTON CITY COUNCIL,2100345775,LA funding to support integration of  Hong Kong British Nationals,SO14 7LY,"£34,030.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,STOCKPORT MBC,2100345755,LA funding to support integration of  Hong Kong British Nationals,SK1 3XE,"£78,200.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,TRAFFORD MBC,2100345760,LA funding to support integration of  Hong Kong British Nationals,M32 0TH,"£126,650.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,Westmorland & Furness Council,2100346164,Grant to Local Authority,LA9 4UF,"£179,175.00",Yes,Regeneration Housing and Planning,Charlotte Spencer
"Housing, Communities & Local Government",MHCLG,30/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,WIRRAL MBC,2100345764,LA funding to support integration of  Hong Kong British Nationals,CH41 5FN,"£34,850.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,AMBER VALLEY BC,3700289423,Grant payable by the Exchequer,DE5 3BT,"£315,022.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,AVON & SOMERSET POLICE AUTHORITY,3700289430,Grant payable by the Exchequer,TA1 4DY,"£1,880,679.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BARNET LB,3700289509,Grant payable by the Exchequer,NN1 1NP,"£558,667.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BARNSLEY MBC,3700289399,Grant payable by the Exchequer,S70 2AQ,"£83,917.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BARNSLEY MBC,3700289496,Grant payable by the Exchequer,S70 2AQ,"£94,208.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BARNSLEY MBC,3700289554,Grant payable by the Exchequer,S70 2AQ,"£57,049.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BCP Council,3700289395,Grant payable by the Exchequer,BH2 6DY,"£313,546.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BIRMINGHAM CITY CNCL,3700289416,Grant payable by the Exchequer,B2 2AJ,"£12,577,825.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BLACKPOOL BC,3700289468,Grant payable by the Exchequer,FY1 1NA,"£656,685.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BOLTON MBC,3700289420,Grant payable by the Exchequer,BL1 1RU,"£253,499.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BRECKLAND DC,3700289541,Grant payable by the Exchequer,NR19 1EE,"£175,216.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BRENT LB,3700289488,Grant payable by the Exchequer,HA9 0FJ,"£310,492.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BRIGHTON & HOVE CITY COUNCIL,3700289545,Grant payable by the Exchequer,BN1 3JE,"£374,554.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BRIGHTON & HOVE CITY COUNCIL,3700289549,Grant payable by the Exchequer,BN1 3JE,"£376,229.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,BRISTOL CITY CNCL,3700289525,Grant payable by the Exchequer,BS3 9FS,"£696,391.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,CAMBRIDGESHIRE COUNTY CNCL,3700289389,Grant payable by the Exchequer,CB3 0AP,"£985,939.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,CAMBRIDGESHIRE COUNTY CNCL,3700289419,Grant payable by the Exchequer,CB3 0AP,"£642,596.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,CITY OF SUNDERLAND,3700289392,Grant payable by the Exchequer,SR2 7DN,"£546,304.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,CITY OF SUNDERLAND,3700289514,Grant payable by the Exchequer,SR2 7DN,"£700,910.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,30/09/2024,LA PFI special grant payable,Local Government & Public Services,CORNWALL UNITARY AUTHORITY,3700289414,Grant payable by the Exchequer,TR1 3AY,"£267,815.00",Yes,Local Government & Public Services,Nico Heslop
