Auth,Proclass,Supplier,Date,Dept,Invoiced
Bury Metropolitan Borough Council,Consultancy,NIJI Services Ltd,45084,Health and Adult Care (formerly OCO),875
Bury Metropolitan Borough Council,Consultancy,NIJI Services Ltd,45098,Health and Adult Care (formerly OCO),875
Bury Metropolitan Borough Council,Consultancy,Valtech Ltd,45107,Health and Adult Care (formerly OCO),505.08
Bury Metropolitan Borough Council,Consultancy,Valtech Ltd,45084,Health and Adult Care (formerly OCO),552
Bury Metropolitan Borough Council,Domestic Goods,P C & T D Barnes,45107,Children & Young People,1654
Bury Metropolitan Borough Council,Domestic Goods,P C & T D Barnes,45089,Children & Young People,2014
Bury Metropolitan Borough Council,Domestic Goods,Away Services Group Ltd T/A Blast Away,45084,Department of Operations,6958.5
Bury Metropolitan Borough Council,Domestic Goods,Chicken Joes Ltd T/A Love Joes,45082,Department of Operations,865.87
Bury Metropolitan Borough Council,Domestic Goods,Fuel Storage Solutions Ltd,45089,Department of Operations,600
Bury Metropolitan Borough Council,Domestic Goods,Killgerm Chemicals Ltd,45079,Department of Operations,843.86
Bury Metropolitan Borough Council,Domestic Goods,Killgerm Chemicals Ltd,45079,Department of Operations,1615.37
Bury Metropolitan Borough Council,Domestic Goods,AC Packaging Co Ltd,45099,Health and Adult Care (formerly OCO),563
Bury Metropolitan Borough Council,Education,The Talent Foundry,45106,"Business, Growth & Infrastructure",1000
Bury Metropolitan Borough Council,Education,AC Education Limited,45082,Children & Young People,500
Bury Metropolitan Borough Council,Education,Acorn Care & Education Ltd,45103,Children & Young People,21400.98
Bury Metropolitan Borough Council,Education,Advance Occupational Therapy Ltd,45096,Children & Young People,626.4
Bury Metropolitan Borough Council,Education,Advance Occupational Therapy Ltd,45082,Children & Young People,906.4
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45083,Children & Young People,590
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,1079.93
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,1079.93
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,1112.17
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,1709.4
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45083,Children & Young People,2275
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,13984
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,13984
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,13984
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,13984
Bury Metropolitan Borough Council,Education,Beechkeys Ltd,45079,Children & Young People,15063.93
