Authority,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Sports / Playground Equipment and Maintenance,TRUTURF,45320,Department of Operations,Grounds Maintenance,541.67
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45295,Department of Operations,Catering High,501.81
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45295,Department of Operations,Catering High,845.02
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45315,Department of Operations,Catering High,526.79
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45315,Department of Operations,Catering High,566
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45315,Department of Operations,Catering High,773.24
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45315,Department of Operations,Catering High,555
Bury Metropolitan Borough Council,Catering,Tugo Food Systems Ltd,45316,Department of Operations,Catering High,1193.24
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,UK Fostering Ltd,45310,Children & Young People,Independent Foster Agency,4089.83
Bury Metropolitan Borough Council,Education,UKMM Project R&R Limited,45302,Children & Young People,LAC Education - Virtual School,519.75
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,4700.82
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1339.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,6203.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,1650.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2504.88
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,7236.32
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3013.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,13359.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,6203.68
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3154.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,8429.12
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,5566.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3021.76
