Auth,Proclass,Supplier,Date,Dept,Cost,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - North INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - North INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Bury East INT,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2530.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3350.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,1293.63
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3018.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3200
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,2651.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45210,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2651.4
