Auth,Proclass,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Holly Bank Orchard Mews,45182,Health and Adult Care (formerly OCO),Community Care - North INT,3120
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Care4us Health Care Limited,45189,Health and Adult Care (formerly OCO),Community Care - Bury West INT,3120.92
Bury Metropolitan Borough Council,Human Resources,Allen Lane Limited,45198,Corporate Core Finance,Business Partners,3129.05
Bury Metropolitan Borough Council,Human Resources,Allen Lane Limited,45198,Corporate Core Finance,Business Partners,3129.05
Bury Metropolitan Borough Council,Human Resources,Allen Lane Limited,45198,Corporate Core Finance,Business Partners,3129.05
Bury Metropolitan Borough Council,Human Resources,Allen Lane Limited,45198,Corporate Core Finance,Business Partners,3129.05
Bury Metropolitan Borough Council,Human Resources,Allen Lane Limited,45183,Corporate Core Finance,Deputy Director of Finance,3129.05
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Revelation Social Care Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,3129.79
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Caretech Community Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3137.48
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Olive Branch Fostering Ltd,45173,Children & Young People,Independent Foster Agency,3142.61
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Premier Care Limited,45189,Health and Adult Care (formerly OCO),Community Care - Bury East INT,3143.46
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Clarity Homecare (Bury) Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,3147.83
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3148.84
Bury Metropolitan Borough Council,ICT,Konica Minolta Business Solutions (UK) Ltd,45197,Corporate Core Services,ICT - Infrastucture Support,3150
Bury Metropolitan Borough Council,Education,Targeted Provision Ltd,45187,Children & Young People,DFE Individual Grants,3152.5
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3154.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,United Response Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3154.36
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Alcedo Orange Ltd T/A Alcedo Care Bury,45177,Children & Young People,Short Breaks Service,3158.4
Bury Metropolitan Borough Council,Utilities,NPower Ltd,45191,Corporate Core Services,LSC Main Grants,3160.63
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Mediline Supported Living Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3166.8
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Healey Care Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3180
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3181.38
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Outreach Community & Residential Services,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3185.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Outreach Community & Residential Services,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3185.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Oakbridge Retirement Villages LLP,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3192
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Advinia Care Homes Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,3200
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Ultimate Care Ltd T/A Barton Brook Care Home,45182,Health and Adult Care (formerly OCO),Community Care - Prestwich INT,3200
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,National Fostering Agency Ltd,45176,Children & Young People,Independent Foster Agency,3202.69
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Engage Care Services,45189,Health and Adult Care (formerly OCO),Community Care - Choices for Living Well,3211.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Fern Bank Care Home Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3213.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Fern Bank Care Home Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3213.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Fern Bank Care Home Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3213.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Fern Bank Care Home Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3213.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Fern Bank Care Home Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3213.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Fern Bank Care Home Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3213.16
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Heightside House Nursing Home,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3220.48
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,3241.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,3241.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,3241.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Hospital Social Work Team,3241.04
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45189,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Creative Support Ltd,45182,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,3257.76
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Build - Bury Independent Living Development,45182,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3260.91
