Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Economic Regeneration Group,Purchase of Stock Items,Cleaning Service,01/08/2023,1139.64,£0.00,Greenham Trading Limited,224400,Revenue,STC181055
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1198.00,£0.00,Redacted - personal info,213800,Revenue,STC181106
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1198.00,£0.00,Redacted - personal info,213800,Revenue,STC181107
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,01/08/2023,1224.32,£0.00,Redacted - personal info,710020,Revenue,STC181136
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Monies Received,Housing Rents Suspense Account,01/08/2023,1229.47,£0.00,Debt Management (FCM),710010,Revenue,STC181139
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1275.00,£0.00,Redacted - personal info,213800,Revenue,STC181185
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,01/08/2023,1282.09,£0.00,Northumbrian Roads Limited,227630,Revenue,STC181191
South Tyneside Council,00CL,Childrens Adults and Health,Furniture & Equipment - General,Locality 1 - Jarrow/Primrose/Hebburn,01/08/2023,1310.00,£0.00,CDS Security and Fire Ltd (formerly CDS Security Ltd),215411,Revenue,STC181209
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1323.00,£0.00,Redacted - personal info,213800,Revenue,STC181216
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1325.00,£0.00,Redacted - personal info,213800,Revenue,STC181217
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1376.71,£0.00,Redacted - personal info,213800,Revenue,STC181257
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1396.00,£0.00,Redacted - personal info,213800,Revenue,STC181264
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Children & Families,01/08/2023,1420.00,£0.00,YCS Construction Limited,232840,Revenue,STC181286
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1475.00,£0.00,Redacted - personal info,213800,Revenue,STC181322
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1475.00,£0.00,Redacted - personal info,213800,Revenue,STC181323
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,01/08/2023,1567.08,£0.00,Redacted - personal info,710020,Revenue,STC181402
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181413
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181414
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181415
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181416
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181417
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181418
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181419
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181420
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181421
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1596.00,£0.00,Redacted - personal info,213800,Revenue,STC181422
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1632.00,£0.00,Redacted - personal info,213800,Revenue,STC181451
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1632.00,£0.00,Redacted - personal info,213800,Revenue,STC181452
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1632.00,£0.00,Redacted - personal info,213800,Revenue,STC181453
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1666.00,£0.00,Redacted - personal info,213800,Revenue,STC181475
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1792.00,£0.00,Redacted - personal info,213800,Revenue,STC181566
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,01/08/2023,1800.00,£0.00,Lotus Travel NE Ltd,218930,Revenue,STC181567
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1828.00,£0.00,Redacted - personal info,213800,Revenue,STC181584
