Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3631.34,£0.00,Fostering People Ltd,213500,Revenue,STC175973
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3826.33,£0.00,Fostering People Ltd,213500,Revenue,STC176015
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3840.00,£0.00,Foster Care Associates - North East,213500,Revenue,STC176019
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,3901.35,£0.00,Fostering People Ltd,213500,Revenue,STC176030
South Tyneside Council,00CL,Business & Resources Group,Coroners Services,Coroners Service,01/06/23,4000.00,£0.00,Redacted - personal info,237020,Revenue,STC176048
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,4044.88,£0.00,Fostering People Ltd,213500,Revenue,STC176053
South Tyneside Council,00CL,Childrens Adults and Health,Software,Connexions Service,01/06/23,4410.00,£0.00,CogniSoft Ltd,219480,Revenue,STC176093
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Commissioned Fostering,01/06/23,4500.00,£0.00,Foster Care Associates - North East,213500,Revenue,STC176101
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Haven Point,01/06/23,4531.20,£0.00,Rentokil - Hygiene Division,222950,Revenue,STC176107
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/06/23,4693.00,£0.00,North East Supported Tenancies Ltd,213300,Revenue,STC176130
South Tyneside Council,00CL,Business and Resources Capital,Capital Construction Costs,Road Resurfacing,01/06/23,4990.47,£0.00,Northumbrian Roads Limited,850000,Capital,STC176156
South Tyneside Council,00CL,Economic Regeneration Group,Subscriptions,Planning,01/06/23,5000.00,£0.00,Haymarket Media Group Ltd,236340,Revenue,STC176157
South Tyneside Council,00CL,Regeneration & Environment,Grant Payments - General,Multiply Adult Numeracy Programme,01/06/23,5600.00,£0.00,Northern Learning Trust,215954,Revenue,STC176207
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,01/06/23,8113.20,£0.00,Redacted - personal info,819000,Capital,STC176368
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,01/06/23,8230.00,£0.00,Readypay Limited (t/a Phoenix Taxis & Coach Centre),218930,Revenue,STC176373
South Tyneside Council,00CL,Economic Regeneration Group,Electricity Charges,Utilities - Corporate Landlord,01/06/23,10875.72,£0.00,Tyne Coast Academy Trust,232330,Revenue,STC176448
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Block Gross Accommodation Costs,Young Peoples Services Consortium,01/06/23,13707.75,£0.00,Places for People Living+ Limited,222120,Revenue,STC176506
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,01/06/23,14814.00,£0.00,Readypay Limited (t/a Phoenix Taxis & Coach Centre),218930,Revenue,STC176518
South Tyneside Council,00CL,Housing Revenue Account,Grant Payments - General,Support Services,01/06/23,16382.40,£0.00,Mencap,700200,Revenue,STC176545
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/06/23,16768.00,£0.00,North East Supported Tenancies Ltd,213300,Revenue,STC176550
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Accommodation Costs,Supporting People Grants Paid,01/06/23,17032.33,£0.00,Places for People Living+ Limited,222110,Revenue,STC176556
South Tyneside Council,00CL,Regeneration & Environment,Grant Payments - General,Multiply Adult Numeracy Programme,01/06/23,17136.00,£0.00,Training in Childcare Ltd t/a Training in Care Ltd,215954,Revenue,STC176560
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,01/06/23,18000.00,£0.00,ROC Family Support Ltd,213700,Revenue,STC176569
South Tyneside Council,00CL,Regeneration & Environment,Grant Payments - General,Multiply Adult Numeracy Programme,01/06/23,18144.00,£0.00,Training in Childcare Ltd t/a Training in Care Ltd,215954,Revenue,STC176573
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,01/06/23,19200.00,£0.00,ROC Family Support Ltd,213700,Revenue,STC176595
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Block Gross Accommodation Costs,Young Peoples Services Consortium,01/06/23,19914.42,£0.00,Places for People Living+ Limited,222120,Revenue,STC176600
South Tyneside Council,00CL,Economic Regeneration Group,Water & Sewerage Charges,Energy Recharges,01/06/23,36086.02,£0.00,Northumbrian Water Ltd,238500,Revenue,STC176709
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Academies,Secondary Special Needs Top Up,01/06/23,52447.50,£0.00,Harton Academy (part of the Illuminare Multi Academy Trust),210083,Revenue,STC176746
South Tyneside Council,00CL,Business & Resources Group,Maintenance of Computer Equipment,ICT & Digital Services,01/06/23,81804.80,£0.00,Prodec Networks Limited,230440,Revenue,STC176776
South Tyneside Council,00CL,Business & Resources Group,LGPS Pension Increase Act Deficit Payments,Central Pension Costs,01/06/23,85612.30,£0.00,Tyne and Wear Pension Fund,238070,Revenue,STC176780
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Extra Care Sheltered Accommodation,Physical Support,01/06/23,90564.18,£0.00,Springfield Home Care Services Limited (Positive Life Choices part of Springfield H/Care),221001,Revenue,STC176786
South Tyneside Council,00CL,Business & Resources,Software,Cyber Security Resilience,01/06/23,93632.45,£0.00,Softcat PLC,230315,Revenue,STC176789
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Epinay Kitchen,Catering Provisions,01/06/23,-6.42,£0.00,Hopwells Ltd,217490,Revenue,10916605791
South Tyneside Council,00CL,Housing Revenue Account,"Rents, Rates and Taxes",Court Fees,01/06/23,355.00,£0.00,Possessionclaim.Go,701000,Revenue,10916605527
South Tyneside Council,00CL,Business and Resources,The Word Cafe,Catering Provisions,01/06/23,-5.66,£0.00,Bestway Wholesale,222853,Revenue,10916605833
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Keelmans Way School Kitchen,Catering Provisions,01/06/23,12.64,£0.00,Hopwells Ltd,217552,Revenue,10916605795
South Tyneside Council,00CL,Business and Resources,Haven Point - Catering,Catering Provisions,01/06/23,287.80,£0.00,Hopwells Ltd,222865,Revenue,10916605817
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Bedewell Jnr Kitchen,Catering Provisions,01/06/23,101.22,£0.00,Jr Holland Foodservice,217285,Revenue,10916605805
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Bedewell Jnr Kitchen,Catering Provisions,01/06/23,73.50,£0.00,Hopwells Ltd,217285,Revenue,10916605801
South Tyneside Council,00CL,Business and Resources,Haven Point - Catering,Catering Provisions,01/06/23,-14.27,£0.00,Hopwells Ltd,222865,Revenue,10916605821
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Epinay Kitchen,Catering Provisions,01/06/23,211.60,£0.00,Hopwells Ltd,217490,Revenue,10916605783
South Tyneside Council,00CL,Business and Resources,The Word Cafe,Catering Provisions,01/06/23,197.99,£0.00,Hopwells Ltd,222853,Revenue,10916605827
