Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186073
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186074
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186075
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186076
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186077
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186078
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186079
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186080
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186081
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186082
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186083
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186084
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186085
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186086
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,642.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186087
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,648.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186121
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,648.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186122
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Oct-2023,648.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC186123
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Enhancement Costs,Fire Reform Act Portfolio Works,03-Oct-2023,670.00,£0.00,YCS Construction Limited,820004,Capital,STC186158
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,676.50,£0.00,Redacted - personal info,220800,Revenue,STC186179
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Carers,Shared Lives - Carer Payments,03-Oct-2023,684.00,£0.00,Redacted - personal info,220800,Revenue,STC186196
