Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Entertainers Services,Special Events,04/07/2023,500.00,£0.00,Redacted - personal info,223950,Revenue,STC176840
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Allowances,ILAC General,04/07/2023,500.00,£0.00,Redacted - personal info,213300,Revenue,STC176841
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Allowances,ILAC General,04/07/2023,500.00,£0.00,Redacted - personal info,213300,Revenue,STC176842
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,04/07/2023,508.90,£0.00,Northumbrian Roads Limited,227630,Revenue,STC176903
South Tyneside Council,00CL,Business & Resources Group,Catering Provisions,Temple Park Centre,04/07/2023,519.57,£0.00,Bestway Wholesale Ltd t/a Batleys Foodservice,222920,Revenue,STC176922
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,04/07/2023,523.60,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC176938
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,Rentals - Non Factory Units,04/07/2023,528.00,£0.00,Clean It UK,232450,Revenue,STC176951
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Middlefields / Waste Services / Car Parks,04/07/2023,532.80,£0.00,Birch Tree Northern Limited,232832,Revenue,STC176966
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,04/07/2023,535.00,£0.00,Peart Access Ramps Ltd,819002,Capital,STC176968
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,04/07/2023,541.30,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC176977
South Tyneside Council,00CL,Business & Resources Group,Vehicle Running Costs,Fleet Management - Transport Operations,04/07/2023,547.10,£0.00,Allstar Business Solutions Ltd,227000,Revenue,STC176984
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,04/07/2023,564.40,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC177026
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Assistive Technologies,04/07/2023,574.60,£0.00,Tunstall Healthcare (UK) Ltd,221520,Revenue,STC177046
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Grant Payments - General,Adult Skills,04/07/2023,579.00,£0.00,Key Subject Tuition Ltd,216191,Revenue,STC177053
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,04/07/2023,598.00,£0.00,Redacted - personal info,213800,Revenue,STC177084
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,04/07/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC177088
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,04/07/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC177089
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,04/07/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC177090
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,04/07/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC177091
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,04/07/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC177092
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,04/07/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC177093
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,04/07/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC177094
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,04/07/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC177095
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,04/07/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC177096
South Tyneside Council,00CL,Regeneration & Environment Capital,Capital Enhancement Costs,Community Improvements,04/07/2023,600.29,£0.00,Orbis Protect Limited (formerly Sitex Orbis Ltd),854965,Capital,STC177120
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,04/07/2023,613.77,£0.00,Northumbrian Roads Limited,227630,Revenue,STC177142
