query agr_getbrowser 'Monthly Spend Report (SE)',,,,,,,,,
sort,,,,,,,,,
columns,text apar_id,text xapar_id,amount,text account,text xaccount,text pay_date__1,text voucher_no,text xstr20dim_1,text xdim_1
,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
"subtotal,outline ",,,,,,,,,
INSERTED DETAIL,701547,Apetito Limited,"2,740.24",R4102,Provisions (Resale),30/05/2023,130389884,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"1,773.56",R4102,Provisions (Resale),23/05/2023,130388279,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"2,175.09",R4102,Provisions (Resale),23/05/2023,130387862,Catering,Meals on Wheels
INSERTED DETAIL,701547,Apetito Limited,"2,358.73",R4102,Provisions (Resale),23/05/2023,130388449,Catering,Meals on Wheels
INSERTED DETAIL,701603,Arnold Clark Finance Limited,55.88,R3200,Hire of Vehicles,30/05/2023,191149943,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,84.33,R3200,Hire of Vehicles,15/05/2023,191143789,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,041.88",R3200,Hire of Vehicles,23/05/2023,191146863,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,84.70,R3200,Hire of Vehicles,15/05/2023,191143800,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,68.18,R3200,Hire of Vehicles,30/05/2023,191149934,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,"1,041.88",R3200,Hire of Vehicles,30/05/2023,191149940,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,346.36,R3200,Hire of Vehicles,23/05/2023,191146857,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,29.59,R3200,Hire of Vehicles,30/05/2023,191149935,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,53.35,R3200,Hire of Vehicles,30/05/2023,191149932,Fleet Services,Fleet Management
INSERTED DETAIL,701603,Arnold Clark Finance Limited,538.44,R3200,Hire of Vehicles,23/05/2023,191146860,Fleet Services,Fleet Management
