Transparency Report October 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988484,Aggregate Industries UK Limited,1372.81
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988486,Aggregate Industries UK Limited,1594.83
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988487,Aggregate Industries UK Limited,1493.57
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988489,Aggregate Industries UK Limited,780.57
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988490,Aggregate Industries UK Limited,1536.92
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988492,Aggregate Industries UK Limited,1877.66
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988497,Aggregate Industries UK Limited,582.33
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988501,Aggregate Industries UK Limited,773.13
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45201,SOT0988505,Aggregate Industries UK Limited,607.11
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45203,SOT0988419,Aggregate Industries UK Limited,1500.21
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45205,SOT0988508,Aggregate Industries UK Limited,2023.57
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45205,SOT0988510,Aggregate Industries UK Limited,703.75
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0992306,Aggregate Industries UK Limited,1780.51
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999068,Aggregate Industries UK Limited,1607.08
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999071,Aggregate Industries UK Limited,1211.22
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999075,Aggregate Industries UK Limited,713.94
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999076,Aggregate Industries UK Limited,1328.22
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999077,Aggregate Industries UK Limited,691.36
Stoke City Council,4HDG,"Housing, Development & Growth",DA205,Equipment  furniture and mater,45226,SOT0999080,Aggregate Industries UK Limited,1118.22
