Transparency Report September 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Total
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45193.999444444446,SOT0930714,Ansa Environmental Services Ltd ,3530.5
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45197.999444444446,SOT0988303,Ansa Environmental Services Ltd ,870
Stoke City Council,4CAF,Children and Family Services,DA100,Equipment  furniture and mater,45188.999444444446,000010922881933,ARGOS  ,506.95
Stoke City Council,4CAF,Children and Family Services,DA100,Equipment  furniture and mater,45196.999444444446,000011002026021,ARGOS  ,603.29
Stoke City Council,4CAF,Children and Family Services,EA144,Independent units within CC,45188.999444444446,000008931592868,ARGOS  ,579.96
Stoke City Council,4CAF,Children and Family Services,EA144,Independent units within CC,45188.999444444446,000008948610326,ARGOS  ,579.96
Stoke City Council,4CAF,Children and Family Services,EG162,Other establishments,45196.999444444446,000010985429355,ARGOS  ,532.5
Stoke City Council,4CAF,Children and Family Services,EG224,Other establishments,45188.999444444446,000008963149412,ARGOS  ,705.79
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978893,Ash House Care Ltd,37842.01
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45172.999444444446,SOT0976677,Ash House Care Ltd,1227.6
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45172.999444444446,SOT0976678,Ash House Care Ltd,1364
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978858,Ashwood Children Care Homes,24357.14
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45188.999444444446,SOT0983822,AspireOne Care Ltd,16753.29
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45188.999444444446,SOT0983823,AspireOne Care Ltd,17050
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45188.999444444446,SOT0983824,AspireOne Care Ltd,17457.43
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45197.999444444446,SOT0988535,Aspris Children`s Services,19406
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45176.999444444446,SOT0978902,Avonlea Care Services Ltd,4342.86
Stoke City Council,4CAF,Children and Family Services,DA144,Equipment  furniture and mater,45181.999444444446,SOT0979292,Avt Communication Systems Ltd,2663.97
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45176.999444444446,SOT0978899,Belmont Residential Care,21390
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45190.999444444446,SOT0984518,Bespoke Transitions,18766.6
Stoke City Council,4CAF,Children and Family Services,ea147,Independent units within CC,45190.999444444446,SOT0984518,Bespoke Transitions,16542.03
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978903,Big Fostering Partnership,4080
Stoke City Council,4CAF,Children and Family Services,DF126,Communications and computing,45176.999444444446,SOT0978107,BKSB Ltd,866.78
Stoke City Council,4CAF,Children and Family Services,EG219,Other establishments,45174.999444444446,SOT0976999,Blackhat Globalinvestment,775.2
Stoke City Council,4CAF,Children and Family Services,EG218,Other establishments,45190.999444444446,SOT0984098,Blinded Faith,900
Stoke City Council,4CAF,Children and Family Services,EG218,Other establishments,45190.999444444446,SOT0984123,Blinded Faith,2359.04
