,Transparency Report November 2023,,,,,,,
Stoke City Council,4CAF,Children and Family Services,de113,Services,45240,SOT1003490,Cygnet (NW) Limited,1629
Stoke City Council,4CAF,Children and Family Services,de113,Services,45240,SOT1003492,Cygnet (NW) Limited,2896
Stoke City Council,4CAF,Children and Family Services,de113,Services,45240,SOT1003494,Cygnet (NW) Limited,1267
Stoke City Council,4CAF,Children and Family Services,de113,Services,45240,SOT1003496,Cygnet (NW) Limited,3620
Stoke City Council,4CAF,Children and Family Services,de113,Services,45240,SOT1003497,Cygnet (NW) Limited,2353
Stoke City Council,4CAF,Children and Family Services,de113,Services,45240,SOT1003498,Cygnet (NW) Limited,855
Stoke City Council,4CAF,Children and Family Services,de113,Services,45247,SOT1007813,Cygnet (NW) Limited,3465
Stoke City Council,4CAF,Children and Family Services,de113,Services,45247,SOT1007814,Cygnet (NW) Limited,2907
Stoke City Council,4CAF,Children and Family Services,de113,Services,45247,SOT1007815,Cygnet (NW) Limited,2052
Stoke City Council,4HDG,"Housing, Development & Growth",DA139,Equipment  furniture and mater,45247,SOT1008439,D & G Coach and Bus Limited,121105
Stoke City Council,4HDG,"Housing, Development & Growth",DA139,Equipment  furniture and mater,45252,SOT1009474,D & G Coach and Bus Limited,105878
Stoke City Council,4HLCITY,Holding Acc City Renewal ,DE250,Services,45231,SOT1001245,D & G Coach and Bus Limited,63421
Stoke City Council,4HLCITY,Holding Acc City Renewal ,DE250,Services,45240,SOT1003584,D & G Coach and Bus Limited,9949.75
Stoke City Council,4HLCITY,Holding Acc City Renewal ,DE250,Services,45247,SOT1008533,D & G Coach and Bus Limited,108098.32
Stoke City Council,4HLCITY,Holding Acc City Renewal ,DE250,Services,45250,SOT1009049,D & G Coach and Bus Limited,9871.67
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG185,Other establishments,45243,SOT1004506,D Beverstock & M Beverstock (Shared Lives),889.1
Stoke City Council,4SCHL,Schools,BI100,Grounds maintenance costs,45240,SOT1003335,Daniel James Tree Services and Maintenance,1500
Stoke City Council,4HRAHT,Housing Transformation,IC516,Property Based Charges,45238,SOT1002475,REDACTED - Personal Data,2543.85
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC398,Fees and Charges,45247,SOT1008557,REDACTED - Personal Data,18817.75
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003189,Davlyn House Care Home,11715.33
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011098,Davlyn House Care Home,6701.039999999999
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG206,Other establishments,45239,SOT1003189,Davlyn House Care Home,1338.58
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG206,Other establishments,45253,SOT1011098,Davlyn House Care Home,1338.58
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003189,Davlyn House Care Home,2454
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011098,Davlyn House Care Home,2454
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003189,Davlyn House Care Home,2700.98
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011098,Davlyn House Care Home,2700.98
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003189,Davlyn House Care Home,-1641.04
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011098,Davlyn House Care Home,-1641.04
Stoke City Council,4CAF,Children and Family Services,de113,Services,45259,SOT1012156,REDACTED - Personal Data,3060
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003158,Daycare Services Ltd,8641.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011065,Daycare Services Ltd,3275.2000000000003
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003158,Daycare Services Ltd,4900
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011065,Daycare Services Ltd,4900
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003158,Daycare Services Ltd,1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011065,Daycare Services Ltd,1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003158,Daycare Services Ltd,-1727.52
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011065,Daycare Services Ltd,-1727.52
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45257,SOT1007586,Days Rental,770.04
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45257,SOT1007591,Days Rental,770.04
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45257,SOT1007592,Days Rental,770.04
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45257,SOT1007593,Days Rental,622.79
Stoke City Council,4HDG,"Housing, Development & Growth",DG105,Expenses,45233,SOT1001814,Deans Court Chambers,550
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001453,Deans Court Chambers,1500
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001454,Deans Court Chambers,1000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45239,SOT1003087,Delam Care Limited,1532.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45239,SOT1003109,Delam Care Limited,3355.72
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45239,SOT1003132,Delam Care Limited,6342.42
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45239,SOT1003149,Delam Care Limited,3748.58
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45253,SOT1010992,Delam Care Limited,1532.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45253,SOT1011013,Delam Care Limited,3355.72
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45253,SOT1011038,Delam Care Limited,6342.42
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG104,Other establishments,45253,SOT1011055,Delam Care Limited,3748.58
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003087,Delam Care Limited,4359.139999999999
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003109,Delam Care Limited,1761.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003132,Delam Care Limited,12917.539999999999
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003161,Delam Care Limited,11955.96
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003162,Delam Care Limited,1680.96
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1010992,Delam Care Limited,4359.139999999999
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011013,Delam Care Limited,1761.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011038,Delam Care Limited,12917.539999999999
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011068,Delam Care Limited,11955.96
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011069,Delam Care Limited,1680.96
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003087,Delam Care Limited,4134.36
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003109,Delam Care Limited,2072
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003132,Delam Care Limited,8206.4
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003162,Delam Care Limited,3979.8599999999997
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1010992,Delam Care Limited,4134.36
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011013,Delam Care Limited,2072
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011038,Delam Care Limited,6822.62
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011069,Delam Care Limited,3979.8599999999997
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC659,Fees and Charges,45239,SOT1003132,Delam Care Limited,-2638.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC659,Fees and Charges,45253,SOT1011038,Delam Care Limited,-2638.24
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45245,SOT1007575,Delicata Coachbuilders Ltd,2945
Stoke City Council,4SCHL,Schools,DF129,Communications and computing,45257,000011215281659,DELL COMPUTER CORPORATION LTD,787.86
Stoke City Council,4CAF,Children and Family Services,de113,Services,45259,SOT1012128,Demetae Academy Group Ltd,28833.33
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45232,SOT1000007,Dennis Eagle Ltd,507.24
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45243,SOT1001674,Dennis Eagle Ltd,702.02
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45250,SOT1004583,Dennis Eagle Ltd,1042.53
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003146,Derwent House,10992.92
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011052,Derwent House,10992.92
Stoke City Council,4CAF,Children and Family Services,de113,Services,45243,SOT1003015,Diamond Families,1300
Stoke City Council,4CAF,Children and Family Services,de113,Services,45245,SOT1003960,Diamond Families,910
Stoke City Council,4CAF,Children and Family Services,de113,Services,45257,SOT1011820,Diamond Families,600
Stoke City Council,4CAF,Children and Family Services,de113,Services,45257,SOT1011823,Diamond Families,640
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,ab300,Training,45231,SOT0992216,DIAMOND RESUSCITATION SERVICE,550
Stoke City Council,4CAF,Children and Family Services,de113,Services,45231,SOT0991943,REDACTED - Personal Data,1350
Stoke City Council,4CAF,Children and Family Services,de113,Services,45231,SOT0992769,REDACTED - Personal Data,1755
Stoke City Council,4CAF,Children and Family Services,de113,Services,45231,SOT0998842,REDACTED - Personal Data,-2070
Stoke City Council,4CAF,Children and Family Services,de113,Services,45238,SOT0993401,REDACTED - Personal Data,900
Stoke City Council,4CAF,Children and Family Services,de113,Services,45245,SOT1000262,REDACTED - Personal Data,1530
Stoke City Council,4CAF,Children and Family Services,de113,Services,45252,SOT1001938,REDACTED - Personal Data,1485
Stoke City Council,4CAF,Children and Family Services,de113,Services,45259,SOT1002903,REDACTED - Personal Data,1350
Stoke City Council,4SCHL,Schools,dh102,Grants and subscriptions,45245,SOT1003551,Different Class Solutions,750
Stoke City Council,4HDG,"Housing, Development & Growth",DA100,Equipment  furniture and mater,45250,SOT0936204,Digital ID Limited ,-571.5
Stoke City Council,4HDG,"Housing, Development & Growth",DF100,Communications and computing,45250,SOT1000238,Digital ID Limited ,530
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003265,Dignus Healthcare LTD,11250
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011177,Dignus Healthcare LTD,11250
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45231,SOT0999491,Dimensions (UK) Ltd,961.52
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45231,SOT0999492,Dimensions (UK) Ltd,1099
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45231,SOT0999493,Dimensions (UK) Ltd,1854.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45252,SOT1003303,Dimensions (UK) Ltd,1099
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45252,SOT1007941,Dimensions (UK) Ltd,1854.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45252,SOT1010100,Dimensions (UK) Ltd,961.52
Stoke City Council,4CITD,City Director,DA100,Equipment  furniture and mater,45250,SOT1009026,Direct Online Services LTD T/A Worktop Express,995.83
Stoke City Council,4CITD,City Director,DG100,Expenses,45233,SOT1001439,Disclosure & Barring Service,34812
Stoke City Council,4CITD,City Director,DG100,Expenses,45259,SOT1012124,Disclosure & Barring Service,32464
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002317,Diverse Fostering Ltd,71629.04000000001
Stoke City Council,4CAF,Children and Family Services,EG218,Other establishments,45252,SOT1005534,Dizzy Heights Staffs CIC,1533.3
Stoke City Council,4CAF,Children and Family Services,EG221,Other establishments,45247,SOT1002970,Dizzy Heights Staffs CIC,1074.2
Stoke City Council,4STAR,Strategy & Resources,df126,Communications and computing,45247,SOT1008519,DocuSign Inc,13294
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45252,SOT1010823,Domus Personnel Ltd,1314.45
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1010977,Domus Personnel Ltd,1475.95
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1010978,Domus Personnel Ltd,577.2
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1011573,Domus Personnel Ltd,1461
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1011574,Domus Personnel Ltd,1538
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1011575,Domus Personnel Ltd,1497.15
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1011576,Domus Personnel Ltd,1456.5
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1011577,Domus Personnel Ltd,1426.25
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1011578,Domus Personnel Ltd,1448.2
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1011584,Domus Personnel Ltd,1456.05
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45254,SOT1011585,Domus Personnel Ltd,1456.5
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45257,SOT1011808,Domus Personnel Ltd,1140
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45257,SOT1011812,Domus Personnel Ltd,1151.25
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45257,SOT1011813,Domus Personnel Ltd,1614
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45257,SOT1011814,Domus Personnel Ltd,1149
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45257,SOT1011815,Domus Personnel Ltd,1419.5
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45257,SOT1011816,Domus Personnel Ltd,1433
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45259,SOT1012081,Domus Personnel Ltd,1426.2
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45259,SOT1012459,Domus Personnel Ltd,1437.5
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45259,SOT1012460,Domus Personnel Ltd,1443
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45259,SOT1012461,Domus Personnel Ltd,1454.25
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC398,Fees and Charges,45233,SOT1001899,REDACTED - Personal Data,1504.2
Stoke City Council,4CAF,Children and Family Services,de113,Services,45231,SOT1001085,REDACTED - Personal Data,4157
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45247,SOT1007838,REDACTED - Personal Data,815
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45247,SOT1008095,REDACTED - Personal Data,1220
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45247,SOT1007845,REDACTED - Personal Data,1410
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45254,SOT1011321,REDACTED - Personal Data,1020
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45259,SOT1012467,REDACTED - Personal Data,1300
Stoke City Council,4STAR,Strategy & Resources,DE147,Services,45233,SOT1001384,REDACTED - Personal Data,650.6
Stoke City Council,4STAR,Strategy & Resources,DE147,Services,45233,SOT1001386,REDACTED - Personal Data,595.9
Stoke City Council,4STAR,Strategy & Resources,DE147,Services,45240,SOT1003008,REDACTED - Personal Data,595.9
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45252,SOT1009320,REDACTED - Personal Data,600
Stoke City Council,4STAR,Strategy & Resources,DE147,Services,45247,SOT1003003,REDACTED - Personal Data,5121.3
Stoke City Council,4STAR,Strategy & Resources,DE147,Services,45250,SOT1009046,REDACTED - Personal Data,3570.4
Stoke City Council,4STAR,Strategy & Resources,DE147,Services,45254,SOT1010896,REDACTED - Personal Data,3570.4
Stoke City Council,4STAR,Strategy & Resources,bb102,Energy costs,45254,SOT1011239,Drax Energy Solutions Limited,675.41
Stoke City Council,4STAR,Strategy & Resources,bb102,Energy costs,45254,SOT1011260,Drax Energy Solutions Limited,653.63
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003097,Dresden House Ltd,8794.7
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011001,Dresden House Ltd,11023.27
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003097,Dresden House Ltd,9000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011001,Dresden House Ltd,9000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003097,Dresden House Ltd,2500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011001,Dresden House Ltd,2500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003097,Dresden House Ltd,-1288.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011001,Dresden House Ltd,-1288.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003097,Dresden House Ltd,-1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011001,Dresden House Ltd,-1300
Stoke City Council,4STAR,Strategy & Resources,de113,Services,45236,SOT0979916,REDACTED - Personal Data,991.76
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45245,SOT1007557,Eagle Travel Express Ltd,915
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001531,Early Days Nursery & Out of School Club ,900
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001533,Early Days Nursery & Out of School Club ,1800
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001883,Early Days Nursery & Out of School Club ,900
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001917,Early Days Nursery & Out of School Club ,600
Stoke City Council,4SCHL,Schools,DA100,Equipment  furniture and mater,45257,000011235550353,EARLY YEARS DIRECT LIM,765
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWBD,Works,45250,SOT1004985,East Midlands Demolition Ltd,4037
Stoke City Council,4HRADRC,Housing Development and Regen Capital,QXWBD,Works,45254,SOT1003810,East Midlands Demolition Ltd,20125.33
Stoke City Council,4HDG,"Housing, Development & Growth",DA114,Equipment  furniture and mater,45231,SOT1000247,East Staffordshire Borough Council,3500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003219,EASTGATE RESIDENTIAL HOME,7407.1
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011130,EASTGATE RESIDENTIAL HOME,7407.1
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001884,Eastwood Neighbourhood Nursery,729.4
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001888,Eastwood Neighbourhood Nursery,1667.2
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001889,Eastwood Neighbourhood Nursery,900
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45240,SOT1002361,Easy Peasy,65500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DK134,Miscellaneous expenses,45231,SOT0999578,Eclipse Access Solutions Ltd ,1075
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DK134,Miscellaneous expenses,45238,SOT1002632,Eclipse Access Solutions Ltd ,-1075
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DK134,Miscellaneous expenses,45238,SOT1002633,Eclipse Access Solutions Ltd ,655
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45233,SOT1001301,Eco Travel Private Hire Ltd,1187.4
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45252,SOT1010079,Econ Engineering Ltd,3604.68
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45252,SOT1010081,Econ Engineering Ltd,3604.68
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45231,SOT1001193,Econ Engineering Ltd,560.32
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45231,SOT1001208,Econ Engineering Ltd,839.11
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,ab300,Training,45245,SOT1001812,EDGE TRAINING AND CONSULTANCY LTD,1160
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003140,Eldon House,7736.93
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011046,Eldon House,10864.06
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003140,Eldon House,6500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011046,Eldon House,6500
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003140,Eldon House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011046,Eldon House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003140,Eldon House,-719.1300000000001
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011046,Eldon House,-1740.1799999999998
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003140,Eldon House,-1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011046,Eldon House,-1300
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002312,Elite Fostering,6642.24
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012321,Elite Fostering,2609.46
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003137,Elizabeth House Rest Home Ltd,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011043,Elizabeth House Rest Home Ltd,1300
Stoke City Council,4HRAHT,Housing Transformation,EG170,Other establishments,45238,SOT1002374,REDACTED - Personal Data,1600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003212,Elysium Healthcare/Adderley Green CC,28601.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011122,Elysium Healthcare/Adderley Green CC,28601.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003212,Elysium Healthcare/Adderley Green CC,21988.28
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011122,Elysium Healthcare/Adderley Green CC,17250.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003212,Elysium Healthcare/Adderley Green CC,30756.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011122,Elysium Healthcare/Adderley Green CC,30756.5
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45233,SOT1001801,Emerge Care and Therapeutic Solutions Limited,579.2
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001758,Emerge Care and Therapeutic Solutions Limited,4500
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001759,Emerge Care and Therapeutic Solutions Limited,4500
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001760,Emerge Care and Therapeutic Solutions Limited,4500
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001761,Emerge Care and Therapeutic Solutions Limited,4500
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001762,Emerge Care and Therapeutic Solutions Limited,4500
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001763,Emerge Care and Therapeutic Solutions Limited,4500
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001764,Emerge Care and Therapeutic Solutions Limited,4500
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001765,Emerge Care and Therapeutic Solutions Limited,4500
Stoke City Council,4CAF,Children and Family Services,de113,Services,45233,SOT1001766,Emerge Care and Therapeutic Solutions Limited,4500
Stoke City Council,4HDG,"Housing, Development & Growth",DA100,Equipment  furniture and mater,45236,SOT1000128,Emmaus Staffordshire,2247.5
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45247,SOT1007854,Endon High School,9999
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45252,SOT1010824,Endon High School,16927.33
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45245,SOT1007594,Enterprise Flex E Rent ,523.59
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45247,SOT1007789,Entrust Support Services Limited,7811.68
Stoke City Council,4SCHL,Schools,DE176,Services,45238,SOT1000011,Entrust Support Services Limited,1209.83
Stoke City Council,4SCHL,Schools,DK193,Miscellaneous expenses,45252,SOT1009205,Entrust Support Services Limited,1270.2
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWLE,External Fees,45233,SOT0999376,Environmental Essentials Limited,525
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWLE,External Fees,45233,SOT1001562,Environmental Essentials Limited,524.99
Stoke City Council,4HRAHT,Housing Transformation,bb100,Energy costs,45233,SOT0998788,E-ON Next Energy Limited,-789.22
Stoke City Council,4STAR,Strategy & Resources,bb102,Energy costs,45245,SOT1003949,E-ON Next Energy Limited,655.14
Stoke City Council,4STAR,Strategy & Resources,BB103,Energy costs,45245,SOT1003948,E-ON Next Energy Limited,652.32
Stoke City Council,4STAR,Strategy & Resources,BA100,Repairs alterations mtce of bu,45245,SOT1007661,Epic,19401
