Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Fylde & Wyre Society For The Blind,1000445,30836,02/06/2023,"1,270.50",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Diamond Care Home Langdales Ltd,1003189,30837,02/06/2023,762.36,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Hollybank Care Home,1003360,30838,02/06/2023,919.8,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Annacliffe Residential Home,1000488,30839,02/06/2023,881,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Federation Of Jewish Services,1001992,30840,02/06/2023,"21,448.00",0,Nursing Placements,20455,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Burlington Care Ltd - Maple Lodge,1004389,30841,02/06/2023,"1,088.80",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Barchester Healthcare,1000278,30842,02/06/2023,895.86,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Susash Blackpool Ltd - Carlin Lodge,1003846,30844,02/06/2023,"1,270.50",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,30845,02/06/2023,924.9,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Annacliffe Residential Home,1000488,30847,02/06/2023,"1,854.26",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Annacliffe Residential Home,1000488,30849,02/06/2023,"1,854.26",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Fylde Care 2004 Ltd,1000388,30850,02/06/2023,804.92,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Barchester Healthcare,1000278,30851,02/06/2023,"1,017.84",0,Residential Placements,20418,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Napier Lodge Care Home,1000300,30852,02/06/2023,924.9,0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Lancashire Property Investment Find Ltd,1000186,30854,02/06/2023,"1,150.52",0,Residential Placements,20196,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Parade Rest Home Ltd,1004039,30855,02/06/2023,818.16,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Fylde Care 2004 Ltd,1000388,30857,02/06/2023,940.24,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Fylde & Wyre Society For The Blind,1000445,30859,02/06/2023,"1,270.50",0,Residential Placements,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Annacliffe Residential Home,1000488,30860,02/06/2023,924.9,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Headroomgate Nursing Home,1000324,30861,02/06/2023,923.86,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Alistre Lodge Nursing Home,1000659,30862,02/06/2023,"1,531.44",0,Nursing Placements,20219,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Glenthorne No2 Care Home Ltd,1003290,30863,02/06/2023,623.96,0,Residential Placements,20435,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Parade Rest Home Ltd,1004039,30865,02/06/2023,889.34,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
G Rose Care Ltd - Lavender Lodge,1003549,30866,02/06/2023,861.24,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Lancashire Property Investment Find Ltd,1000186,30868,02/06/2023,"1,270.50",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Homes Together Ltd,1004769,30869,02/06/2023,"3,359.10",0,Residential Placements,20251,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Belgravia Care Home Ltd - Clarence House C.H.,1004166,30870,02/06/2023,"1,173.08",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Barchester Healthcare,1000278,30871,02/06/2023,779.36,0,Residential Placements,20181,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Ashbourne Lodge Jm Ltd,1000288,30872,02/06/2023,"1,270.50",0,Residential Placements,20502,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Parkview Care Home,1003955,30873,02/06/2023,"1,704.26",0,Residential Placements,20135,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Susash Blackpool Ltd - Carlin Lodge,1003846,30875,02/06/2023,835.6,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - The Sylvester,1007933,30877,02/06/2023,"1,270.50",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Red Oak Rest Home,1000152,30878,02/06/2023,878.54,0,Residential Placements,20135,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Acorn Nursing Home,1000494,30879,02/06/2023,"5,949.63",0,Short Term Care,20227,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - The Sylvester,1007933,30880,02/06/2023,921.7,0,Residential Placements,20168,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Blackpool) Ltd - Acorn Lodge,1007931,30881,02/06/2023,"1,270.50",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - The Sylvester,1007933,30882,02/06/2023,856.82,0,Residential Placements,20196,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - The Sylvester,1007933,30883,02/06/2023,918.52,0,Residential Placements,20168,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - The Sylvester,1007933,30884,02/06/2023,854.34,0,Residential Placements,20135,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - The Sylvester,1007933,30885,02/06/2023,924.9,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,30886,02/06/2023,869.94,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Hollins Lodge Care Home,1005781,30887,02/06/2023,671.5,0,Short Term Care,20370,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Blackpool) Ltd - Acorn Lodge,1007931,30890,02/06/2023,"1,104.10",0,Residential Placements,20168,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Wheeler&Pitman Care Ltd T/A King Edward Care,1000849,30892,02/06/2023,"1,347.98",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Cpm Care Ltd - Breck Lodge,1000443,30894,02/06/2023,"1,624.86",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Lancashire Property Investment Find Ltd,1000186,30896,02/06/2023,"1,270.50",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - Bronswick House,1007932,30897,02/06/2023,789.48,0,Residential Placements,20168,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Lancashire Property Investment Find Ltd,1000186,30898,02/06/2023,"1,909.96",0,Short Term Care,20241,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Prory Court Developments,1000166,30899,02/06/2023,657.64,0,Nursing Placements,20167,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Golden Years Rest Home,1000227,30901,02/06/2023,"1,391.28",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
The Chimes Residential Care Home,1000972,30902,02/06/2023,"1,022.26",0,Residential Placements,20435,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Amber Court Care Home,1001492,30903,02/06/2023,"2,858.59",0,Nursing Placements,20455,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Highgrove Rest Home (Blackpool) Ltd,1007930,30906,02/06/2023,"1,270.50",0,Residential Placements,20208,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - The Sylvester,1007933,30907,02/06/2023,"1,150.52",0,Residential Placements,20418,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Lancashire Property Investment Find Ltd,1000186,30908,02/06/2023,528.76,0,Short Term Care,20411,47583,Ola-Stc With Carers-Resident,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Ashbourne Lodge Jm Ltd,1000288,30909,02/06/2023,617.57,0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
North Fylde Care Ltd - Fairhaven Care Home,1000106,30910,02/06/2023,"3,887.44",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Balmoral Care Home,1000469,30911,02/06/2023,930.32,0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Balmoral Care Home,1000469,30912,02/06/2023,"1,723.04",0,Short Term Care,20467,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - Bronswick House,1007932,30913,02/06/2023,"5,579.96",0,Short Term Care,20288,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Lancashire Property Investment Find Ltd,1000186,30915,02/06/2023,"2,087.25",0,Short Term Care,20384,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Haddon Court Rest Home,1000489,30916,02/06/2023,804.92,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Hollins Lodge Care Home,1005781,30918,02/06/2023,876.32,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,30920,02/06/2023,804.92,0,Residential Placements,20168,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Majestic Care Home Ltd - Waterside,1000071,30921,02/06/2023,924.9,0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Highcroft Care Blackpool Ltd,1000184,30922,02/06/2023,532.6,0,Short Term Care,20370,47583,Ola-Stc With Carers-Resident,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Prory Court Developments,1000166,30923,02/06/2023,924.9,0,Nursing Placements,20390,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Napier Lodge Care Home,1000300,30924,02/06/2023,"1,745.43",0,Short Term Care,20429,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
North Fylde Care Ltd - Fairhaven Care Home,1000106,30925,02/06/2023,"1,067.14",0,Residential Placements,20361,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Annacliffe Residential Home,1000488,30926,02/06/2023,462.45,0,Short Term Care,20356,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Acorn Nursing Home,1000494,30927,02/06/2023,"1,121.08",0,Short Term Care,20448,47582,Indep Sect Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Fairhaven Lodge Care Home,1001424,30928,16/06/2023,"1,766.86",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Sheridan Care Ltd T/A Elmsdene N/Home,1000051,30929,02/06/2023,804.92,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Haddon Court Rest Home,1000489,30930,02/06/2023,924.9,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Diamond Care Home Langdales Ltd,1003189,30932,02/06/2023,"2,541.00",0,Short Term Care,20467,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Westlive Ltd,1000035,30934,02/06/2023,319.36,0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Majestic Care Home Ltd - Waterside,1000071,30936,02/06/2023,"8,530.50",0,Short Term Care,20391,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Westlive Ltd,1000035,30937,02/06/2023,924.9,0,Nursing Placements,20473,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Haddon Court Rest Home,1000489,30938,02/06/2023,264.26,0,Short Term Care,20190,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Barchester Healthcare,1000278,30939,02/06/2023,"1,069.50",0,Nursing Placements,20455,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Merwood Residential Care Home,1000215,30940,02/06/2023,"1,028.90",0,Residential Placements,20418,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Blackpool) Ltd - Moor Villa,1007934,30941,02/06/2023,"1,536.87",0,Short Term Care,20340,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Berwick House Rest Home,1000470,30942,02/06/2023,594.58,0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Autumn Leaves Uk Ltd,1000476,30944,02/06/2023,"1,570.90",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
G Rose Care Ltd - Lavender Lodge,1003549,30945,02/06/2023,"1,458.02",0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Annacliffe Residential Home,1000488,30946,02/06/2023,594.58,0,Short Term Care,20126,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Parade Rest Home Ltd,1004039,30947,02/06/2023,"1,120.14",0,Short Term Care,20370,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Parkview Care Home,1003955,30948,02/06/2023,"2,113.56",0,Short Term Care,20162,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Manor Homes (Poulton) Ltd,1000242,30950,02/06/2023,"2,699.70",0,Short Term Care,20382,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Haddon Court Rest Home,1000489,30952,02/06/2023,"2,813.25",0,Short Term Care,20467,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Glenthorne No2 Care Home Ltd,1003290,30953,02/06/2023,"1,173.08",0,Short Term Care,20227,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Pro Care Homes (Bpool) Ltd - The Sylvester,1007933,30954,02/06/2023,"2,840.77",0,Short Term Care,20288,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Fylde & Wyre Society For The Blind,1000445,30955,02/06/2023,"3,306.00",0,Short Term Care,20429,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Nightingales Care Limited,1000201,30956,02/06/2023,"4,359.60",0,Nursing Placements,20390,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
New Care Project Lytham (Opco) Ltd,1003407,30957,02/06/2023,"3,145.84",0,Short Term Care,20467,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
ALSTON VIEW NURSING HOME LTD,1139750,30958,02/06/2023,"10,497.77",0,Residential Placements,20418,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Autumn Leaves Uk Ltd,1000476,30959,02/06/2023,501.55,0,Respite Care,20226,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Qualia Care Ltd T/A Gilwood Lodge,1002847,30960,02/06/2023,"2,541.00",0,Nursing Placements,20231,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Lillibet Healthcare 2 Ltd - Belgravia,1004881,30961,02/06/2023,"7,993.68",0,Short Term Care,20411,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Athena Healthcare Group,1004911,30962,02/06/2023,483.77,0,Respite Care,20449,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Arc Community Care Ltd - Rosehaven,1002967,30963,02/06/2023,"1,609.84",0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Aegis Residential Care Homes Ltd,1000276,30964,02/06/2023,380.75,0,Short Term Care,20429,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Parkview Care Home,1003955,30965,02/06/2023,"2,212.00",0,Short Term Care,20213,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Ashbourne Lodge Jm Ltd,1000288,30966,02/06/2023,"4,458.54",0,Residential Placements,20375,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Glenholme Healthcare Ltd - Bispham Gardens,1003867,30968,02/06/2023,"2,613.25",0,Nursing Placements,20345,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Conifers Nursing Home,1000483,30969,02/06/2023,"2,825.48",0,Short Term Care,20450,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Highcroft Care Blackpool Ltd,1000184,30970,02/06/2023,"2,541.00",0,Short Term Care,20215,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Littlewood Manor Care Home,1006230,30971,02/06/2023,"1,251.28",0,Short Term Care,20429,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Arc Community Care Ltd - Rosehaven,1002967,30972,02/06/2023,"1,649.47",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Amber Court Care Home,1001492,30973,02/06/2023,"2,477.45",0,Nursing Placements,20374,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Olivia Josephine Care Ltd - Willows Care Home,1001720,30975,02/06/2023,"1,703.16",0,Respite Care,20466,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Fylde Care 2004 Ltd,1000388,30976,02/06/2023,809.48,0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Susash Blackpool Ltd - Carlin Lodge,1003846,30977,02/06/2023,924.9,0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Arrowsmith Rest Home Ltd -Westfield Rest Home,1000301,30978,02/06/2023,"1,270.50",0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Haddon Court Rest Home,1000489,30979,02/06/2023,"1,270.50",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Lytham Court Nursing Home,1000491,30980,02/06/2023,"1,884.90",0,Nursing Placements,20473,64506,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Qualia Care Ltd T/A Gilwood Lodge,1002847,30981,02/06/2023,"1,082.90",0,Nursing Placements,20219,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Glenholme Healthcare Ltd - Bispham Gardens,1003867,30982,02/06/2023,"1,468.02",0,Nursing Placements,20455,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Townfield And Coach House Care Ltd,1005357,30983,02/06/2023,"1,026.74",0,Residential Placements,20220,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
