Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,Valtech Limited,1003725,89016,02/10/2023,438.84,73.14,Blue Badge Reform,40098,63401,General Services,Resources,,TRSTOT,Resources,FCAD,Customer First,FCAD2,Customer First
Blackpool Council,Lifeline Language Services Ltd,1001286,89080,03/10/2023,468,78,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Lifeline Language Services Ltd,1001286,89081,02/10/2023,316.8,52.8,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,COMMUNITY ACCORD LTD,1139751,89104,03/10/2023,"1,704.00",0,Sen Central Team,10430,63408,Services to Clients,Children's Services,,CHISER,Children's Services,JCAA,Cwan - Management & Admin,JCAA2,Cwan - Management & Admin
Blackpool Council,Fox Fire Security Limited,1002168,89401,09/10/2023,530.4,88.4,Municipal Buildings,40060,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,DUP,Dual Use Propeties,BDMB,Buildings -Municipal Buildings
Blackpool Council,Primary Play Uk Limited,1003714,89412,09/10/2023,"6,600.00","1,100.00",R&M Recharge Acct - Park Primary,40025,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDEC,Buildings - External Clients
Blackpool Council,DHCH14 LTD - HOPE HOUSE,1140389,89459,20/10/2023,"1,425.48",0,Nursing Placements,20207,64506,Nursing Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Fairhaven Lodge Care Home,1001424,89680,20/10/2023,"1,518.68",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,North Fylde Care Ltd - Fairhaven Care Home,1000106,89738,06/10/2023,"1,284.72",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,North Fylde Care Ltd - Fairhaven Care Home,1000106,90071,06/10/2023,"1,412.74",0,Residential Placements,20474,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,North Fylde Care Ltd - Fairhaven Care Home,1000106,90081,06/10/2023,"1,067.14",0,Residential Placements,20361,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Fairhaven Lodge Care Home,1001424,90082,20/10/2023,"1,766.86",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Glenthorne No2 Care Home Ltd,1003290,90380,06/10/2023,"1,518.68",0,Residential Placements,20232,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Glenthorne No2 Care Home Ltd,1003290,90490,06/10/2023,"1,066.48",0,Residential Placements,20456,64505,Residential Homes,Adult Services,,ADULTS,Adult Services,COMPLA1,Adult Commissioning Placements,COMPLA3,Adult Commissioning Placements
Blackpool Council,Apollo Home Healthcare Limited,1006625,90566,03/10/2023,"3,600.00",0,Sct17,10545,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,North Liverpool Construction Ltd (Fac067),1003477,90589,03/10/2023,"1,430.76",238.46,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet,,ZCONBS,Consolidated Balance Sheet,ZCASUM1,capital,ZCASUM3,Capital
Blackpool Council,Nonstop Consulting Ltd,1002770,90664,02/10/2023,"2,114.33",352.39,Supporting Our Children,10510,60791,Agency Staff,Children's Services,,CHISER,Children's Services,JBT,Looked After Children,JBT2,Looked After Children
Blackpool Council,Browne Jacobson Llp,1002330,90748,02/10/2023,"12,267.60","2,044.60",Pfi Management Costs,30107,64501,Private Contractors,Community & Env Services,,BPLSER,Community & Env Services,STRLGT,Street Lighting,STRLGT2,Street Lighting
Blackpool Council,Browns Ctp Limited,1001956,90751,03/10/2023,"2,330.00",0,Printing & Distribution,50152,63301,Printing,Communication & Regeneration,,AMCPI,Communication & Regeneration,VB,Visit Blackpool/Marketing Co,PRG1,Tourism General
Blackpool Council,Chartered Trading Standards Institute,1140416,90753,03/10/2023,"3,078.00",513,Trading Standards Enforcement,30221,47310,Training Courses - No Orders,Community & Env Services,,BPLSER,Community & Env Services,PUBPRO,Public Protection,PYTA1,Trading Standar
