Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/05/2024,2200395974,"2,112.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,28/05/2024,2200395994,644,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,24/06/2024,2200401562,824,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,24/06/2024,2200401563,584,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,25/06/2024,2200401986,"1,442.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,26/06/2024,2200402265,"1,082.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,C J Jordan & Son Ltd ,1233031,,,,26/06/2024,2200402273,644,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Redacted,D000000023,,,,16/04/2024,3110641950,633.75,,Income: General Fees and Charges,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Idverde Ltd ,1231380,,,,03/04/2024,2200384829,"50,537.39",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Idverde Ltd ,1231380,,,,16/04/2024,2200387997,"50,537.39",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Idverde Ltd ,1231380,,,,20/05/2024,2200394512,"50,537.39",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,"Cleaner, Greener and Cultural Services",Leisure and Parks,,Idverde Ltd ,1231380,,,,21/06/2024,2200401408,"50,537.39",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,24 Seven Companies Ltd,1260952,,,,10/06/2024,2200398879,550,,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,05/06/2024,2200397831,"3,527.70",,Surveyors,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,10/06/2024,2200398792,"6,275.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Bm Ltd,1232075,,,,10/06/2024,2200398793,768.16,,Surveyors,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,3Sixtymeasurement Limited,1305837,,,,03/04/2024,2200384826,"6,750.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A J Oakes And Partners,1232092,,,,31/05/2024,2200396842,"6,400.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,03/04/2024,2200384966,"3,550.00",,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,16/04/2024,2200387869,944,,Site Works,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,A N Contract Service Ltd,1232095,,,,17/04/2024,2200388346,"3,385.00",,Site Works,,,,,,No
