Body_Code,Body_Name,Supplier Name,Document Number,GL Code,GL Code Description,Service,Posting Date,Doc Net Amount
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111845736,OCC/5696,Extra Care Housing,Support at Home 65+ Physical Support,29/01/2025,789.48
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,EDF Energy Customers Ltd,2201304502,OCC/3951,Electricity,LEWP-SCHOOL GENERAL,01/01/2025,789.54
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,TRINITY FIRE AND SECURITY SYSTEMS L,2201312153,OCC/4122,Other prem relat,NWHP-SCHOOL GEN,30/01/2025,790
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,West Oxfordshire District Council,3500111112,OCC/4001,Uniform Business Rat,LANDLORD & TENANT,25/01/2025,790
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Completely Care Ltd,2201307776,OCC/2040,Agency Staff,NTS Foyers,20/01/2025,790.2
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Turn IT On! Ltd,2201304009,OCC/5039,IT Services,BROP-ICT,08/01/2025,790.74
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Turn IT On! Ltd,2201305225,OCC/5039,IT Services,MLAP-ICT CURRICULUM,06/01/2025,790.74
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Response Organisation,3111831977,OCC/5691,Home Sup Non ContrOC,Support at Home U65 MH OBC Contract,08/01/2025,790.8
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,PEAC Solutions,2201308933,OCC/5666,Hire of Admin Equipe,TRNP-SCHOOL GENERAL,17/01/2025,790.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,TURN IT ON LTD,2201305282,OCC/5039,IT Services,HAIP-SCHOOL GENERAL,13/01/2025,791.5
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Webbs of Wantage Ltd,3111841411,OCC/5227,Other Transport Arra,Support at Home 65+ Physical Support,23/01/2025,791.88
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Emma Wagstaffe,2201305454,OCC/4540,Educational Supplies,CCC-INCL INTERGRATION & ALT PROVISION,01/01/2025,792
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Stonewater Ltd,3111845557,OCC/5785,Client Lodgings and,PLACEMENTS- RELEVANT,29/01/2025,792
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Home Helpers Care Ltd,3111844091,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,792.16
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,EUCLID LTD,2201302602,OCC/4705,Printing,MAINSTREAM-SECONDARY,03/01/2025,792.39
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Oxford Safety Supplies,2201307650,OCC/4685,Clothing & Uniforms,PROCUREMENT,20/01/2025,792.6
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Prominency Ltd,3111832023,OCC/4330,Transport to School,SEN TRANSPORT,08/01/2025,793.14
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Herts For Learning Ltd,2201305239,OCC/4861,Hired and Contracted,FRWS-BOUGHT PROF SER,01/01/2025,793.75
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Redacted Data,3111845184,OCC/5554,Childrens' Social Ca,ContrO ASC Payments Control Account,28/01/2025,793.76
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842863,OCC/5699,Home Support – Home,Support at Home 65+ Mental Health,28/01/2025,794.58
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Jigsaw PSHE Ltd,2201310831,OCC/5190,Subscriptions,CLHP-SCHOOL GENERAL,27/01/2025,795
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Step Teachers Limited,2201306715,OCC/2640,Supply Teachers - Ag,BHLP-ADMINISTRATION,14/01/2025,795
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,TUTORCARE LTD,2201309527,OCC/3103,Other Training Cours,LAUP-SCHOOL GENERAL,20/01/2025,795
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Orders of St John Care Trust,3111831044,OCC/5696,Extra Care Housing,Support at Home 65+ Physical Support,06/01/2025,795.27
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Orders of St John Care Trust,3111831052,OCC/5696,Extra Care Housing,Support at Home U65 Learning Disability,06/01/2025,795.27
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Orders of St John Care Trust,3111831084,OCC/5696,Extra Care Housing,Support at Home U65 Physical Support,06/01/2025,795.27
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Orders of St John Care Trust,3111831085,OCC/5696,Extra Care Housing,Support at Home 65+ Physical Support,06/01/2025,795.27
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Cable Damages South,3111830596,OCC/1531,Cash Allocation Cont,9020/Not assigned,03/01/2025,795.81
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Brandon Trust,3111842288,OCC/5682,Respite - LD Block C,Support at Home U65 Physical Support,28/01/2025,796.45
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Total Gas & Power Ltd,2201312149,OCC/3950,Gas,THRP-PREMISES,16/01/2025,796.66
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Chubb Fire And Security Ltd,2201311610,OCC/3740,General Maintenance,RADP-SITE MAINTENANC,22/01/2025,797.47
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,PURPLE ZEST LIMITED,3111837977,OCC/5899,Direct Payments ASC,Support at Home U65 Learning Disability,14/01/2025,797.6
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Guideposts Trust,3111832876,OCC/5690,Other Supp-Community,Support at Home U65 Learning Disability,10/01/2025,798.82
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Total Gas & Power Ltd,2201311617,OCC/3950,Gas,SSWP-SCHOOL GENERAL,29/01/2025,798.99
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Wood Green School,3111840064,OCC/5537,Payments to Other Es,LAC PUPIL PREMIUM,20/01/2025,799
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842859,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,BUCKINGHAM HOME CARE LIMITED,3111843134,OCC/5699,Home Support – Home,Support at Home 65+ Memory & Cognition,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Calvary Care Ltd,3111843234,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Outlook Ltd,3111843320,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Outlook Ltd,3111843372,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Caremark (West Oxfordshire & Cherwe,3111843559,OCC/5699,Home Support – Home,Support at Home 65+ Memory & Cognition,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CaringPlus Healthcare Services Ltd,3111843629,OCC/5699,Home Support – Home,Support at Home U65 MH OBC Contract,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Direct Link Care Ltd,3111843897,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Mega Resources Ltd,3111844219,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Professional Healthcare Services Lt,3111844441,OCC/5699,Home Support – Home,Support at Home 65+ Memory & Cognition,28/01/2025,799.43
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Caremark (West Oxfordshire & Cherwe,3111843054,OCC/5689,Home Support,Support at Home 65+ Physical Support,28/01/2025,799.74
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,PACKEXE,2201306012,OCC/1362,Creditors GR/IR -,Stores stock,14/01/2025,799.8
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Oxfordshire Taxi Company Ltd T/,3111841664,OCC/4330,Transport to School,POST 16 SEN,23/01/2025,799.97
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Style Acre,3111833016,OCC/5690,Other Supp-Community,Support at Home U65 Learning Disability,10/01/2025,799.98
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Style Acre,3111833045,OCC/5690,Other Supp-Community,Support at Home U65 Learning Disability,10/01/2025,799.98
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Oxfordshire Taxi Company Ltd T/,3111841664,OCC/4330,Transport to School,Support at Home U65 Learning Disability,23/01/2025,799.98
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Milestone Infrastructure Limited,2201308276,OCC/8102,Pymnts to main cont.,9020/Not assigned,21/01/2025,799.99
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,A2B Castle Cars Ltd,3111841871,OCC/5227,Other Transport Arra,SEN TRANSPORT,24/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Folly View Primary School,3111840089,OCC/5537,Payments to Other Es,LAC PUPIL PREMIUM,20/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Go Green Taxis,3111832316,OCC/4330,Transport to School,MAINSTREAM-PRIMARY,09/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Go Green Taxis,3111832324,OCC/4330,Transport to School,MAINSTREAM-PRIMARY,09/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Heads & Hearts Ltd,2201308000,OCC/4861,Hired and Contracted,RBWM Adoption Support Fund,21/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Oxon Transport Services Ltd,3111845902,OCC/4330,Transport to School,SEN TRANSPORT,30/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Oxon Transport Services Ltd,3111845937,OCC/4330,Transport to School,SEN TRANSPORT,30/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,PGL Travel Ltd,2201309212,OCC/5460,Entertainment Expens,APPLETON CE SCHOOL,09/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Process Black,2201303200,OCC/1362,Creditors GR/IR -,OSCB,07/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Step Teachers Limited,2201305903,OCC/2640,Supply Teachers - Ag,SPJP-SCHOOL GENERAL,14/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Step Teachers Limited,2201306529,OCC/2640,Supply Teachers - Ag,LWOP-SCHOOL GENERAL,01/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Step Teachers Limited,2201308505,OCC/2640,Supply Teachers - Ag,LWOP-SCHOOL GENERAL,01/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Step Teachers Limited,2201310201,OCC/2640,Supply Teachers - Ag,SEMP-SCHOOL GENERAL,21/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Cherwell School,3111840058,OCC/5537,Payments to Other Es,LAC PUPIL PREMIUM,20/01/2025,800
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Catherine's Childminding Services,3111838790,OCC/5537,Payments to Other Es,NURSERY ED FUND,17/01/2025,801.36
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Cleverbox UK Ltd,2201304420,OCC/4494,Purchase of IT Equip,BLTP-SCHOOL GENERAL,10/01/2025,802
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Our Bus Bartons Ltd,2201306346,OCC/5781,Payts to Trans Ops,CONCESSIONARY FARES,15/01/2025,802.25
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Turnstyle,3111832990,OCC/5690,Other Supp-Community,Support at Home U65 Learning Disability,10/01/2025,803.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842829,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,804.27
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,BPHA Limited,3111832940,OCC/5696,Extra Care Housing,ECH Central Costs,10/01/2025,804.49
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Waste2Taste CIC,2201302875,OCC/1362,Creditors GR/IR -,SIP MANAGEMENT,06/01/2025,804.6
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Poppy Elliott,3111839761,OCC/5537,Payments to Other Es,9-MONTHS-2YRS WORKING PARENT,17/01/2025,804.75
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Sunrise Nursery,3111839739,OCC/5537,Payments to Other Es,9-MONTHS-2YRS WORKING PARENT,17/01/2025,804.75
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Redacted Data,3111838165,OCC/5899,Direct Payments ASC,Support at Home 65+ Memory & Cognition,14/01/2025,806.76
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Camden Society,3111833166,OCC/5690,Other Supp-Community,Support at Home U65 Learning Disability,10/01/2025,807.44
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SANCTUARY CARE LTD,3111833806,OCC/5685,FNC -  OCC Placement,Care Homes - Over 65 Physical Sypport,10/01/2025,808.73
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842831,OCC/5699,Home Support – Home,Support at Home U65 Sensory Support,28/01/2025,809.11
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Home Helpers Care Ltd,3111844089,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,809.11
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,24/7 LTD,3111845973,OCC/5227,Other Transport Arra,SEN TRANSPORT,30/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Albion Computers PLC,2201311486,OCC/5186,Licences,WHTP-SCHOOL GENERAL,14/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,BM WINDOW CLEANING,2201303724,OCC/4070,Cleaning Services,SEGP-SCHOOL GENERAL,08/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Deborah Hunt,2201309076,OCC/4861,Hired and Contracted,Wokingham Adoption Support Fund,23/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Deborah Hunt,2201309075,OCC/4861,Hired and Contracted,Reading Adoption Support Fund,23/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,DIAMOND CARS OXFORD LTD,3111839963,OCC/5227,Other Transport Arra,SEN TRANSPORT,20/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,IODA LIMITED,2201309545,OCC/1362,Creditors GR/IR -,"Communications, Strategy & Insight",24/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,IODA LIMITED,2201307867,OCC/1362,Creditors GR/IR -,Commissioning Leadership Team,20/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Oxford Premier Cars Services Limite,3111829944,OCC/5227,Other Transport Arra,SEN TRANSPORT,02/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Oxford Security Services Ltd,2201303574,OCC/4111,Security Costs,CORPORATE SECURITY,08/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Oxfordlinks,3111839950,OCC/5227,Other Transport Arra,SEN TRANSPORT,20/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Oxfordlinks,3111840026,OCC/5227,Other Transport Arra,Support at Home U65 Learning Disability,20/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Primary Travel Ltd,3111832655,OCC/5227,Other Transport Arra,POST 16 SEN,10/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Suzanne Farwell Ammonite Psychother,2201306640,OCC/4861,Hired and Contracted,West Berkshire Adoption Support Fund,16/01/2025,810
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,TRINITY FIRE AND SECURITY SYSTEMS L,2201308383,OCC/3787,Premises Repairs,SPJP-SCHOOL GENERAL,21/01/2025,810.02
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,PURPLE ZEST LIMITED,3111837478,OCC/5899,Direct Payments ASC,Support at Home U65 Learning Disability,14/01/2025,810.12
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,OCC Fringford CE PS Bank,9300065651,OCC/3740,General Maintenance,FNGP-SCHOOL GENERAL,22/01/2025,811
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Brandon Trust,3111836101,OCC/5688,Supported Living,Support at Home 65+ Learning Disability,10/01/2025,811.67
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Orders of St John Care Trust,3111831060,OCC/5696,Extra Care Housing,Support at Home 65+ Learning Disability,06/01/2025,812.31
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SBM Financial Services Ltd,2201304417,OCC/4835,Management Consultan,BLTP-SCHOOL GENERAL,10/01/2025,812.5
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,24/7 LTD,3111846780,OCC/5227,Other Transport Arra,SEN TRANSPORT,31/01/2025,812.7
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842504,OCC/5696,Extra Care Housing,Support at Home 65+ Physical Support,28/01/2025,812.7
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842529,OCC/5696,Extra Care Housing,Support at Home 65+ Memory & Cognition,28/01/2025,812.7
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842536,OCC/5696,Extra Care Housing,Support at Home 65+ Memory & Cognition,28/01/2025,812.7
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111845752,OCC/5696,Extra Care Housing,Support at Home 65+ Memory & Cognition,29/01/2025,812.7
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Radis Community Care,3111842605,OCC/5696,Extra Care Housing,Support at Home 65+ Physical Support,28/01/2025,812.7
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Cable Damages South,2201302589,OCC/1362,Creditors GR/IR -,ELEC NPR ST LTG,03/01/2025,813.02
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,ADVANCE HOUSING & SUPPORT LTD,3111833090,OCC/5690,Other Supp-Community,Support at Home U65 Learning Disability,10/01/2025,813.09
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,The Camden Society,3111836226,OCC/5688,Supported Living,Support at Home U65 Learning Disability,10/01/2025,813.09
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,PEAC UK Ltd,2201305841,OCC/4540,Educational Supplies,SPJP-SCHOOL GENERAL,14/01/2025,813.28
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CPOMS Systems Ltd,2201311790,OCC/5190,Subscriptions,WDCP-SCHOOL GENERAL,01/01/2025,813.75
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Clean Genie,2201303000,OCC/4070,Cleaning Services,SHNP-SCHOOL GENERAL,03/01/2025,813.9
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Agincare UK Ltd,3111842780,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Agincare UK Ltd,3111842787,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Agincare UK Ltd,3111842789,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Agincare UK Ltd,3111845839,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,30/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Agincare UK Ltd,3111845847,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,30/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842815,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842817,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842824,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,All Care GB Ltd,3111842832,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,BETTER LIFE CARE LTD,3111841989,OCC/5693,Home Supp Invoiced,Support at Home 65+ Physical Support,27/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,BETTER LIFE CARE LTD,3111841990,OCC/5693,Home Supp Invoiced,Support at Home 65+ Physical Support,27/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Bridges Home Care Ltd,3111843019,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Bridges Home Care Ltd,3111843056,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Calvary Care Ltd,3111843170,OCC/5699,Home Support – Home,Support at Home U65 Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Calvary Care Ltd,3111843188,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Outlook Ltd,3111842874,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Outlook Ltd,3111842886,OCC/5699,Home Support – Home,Support at Home U65 Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Outlook Ltd,3111843295,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Outlook Ltd,3111843297,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Outlook Ltd,3111843317,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Outlook Ltd,3111843349,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Time UK Ltd,3111843451,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Time UK Ltd,3111843453,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Caremark (West Oxfordshire & Cherwe,3111843575,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CaringPlus Healthcare Services Ltd,3111843632,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CaringPlus Healthcare Services Ltd,3111843637,OCC/5699,Home Support – Home,Support at Home 65+ Memory & Cognition,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CaringPlus Healthcare Services Ltd,3111843642,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CaringPlus Healthcare Services Ltd,3111843671,OCC/5699,Home Support – Home,Support at Home 65+ Memory & Cognition,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CaringPlus Healthcare Services Ltd,3111843678,OCC/5699,Home Support – Home,Support at Home U65 Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CaringPlus Healthcare Services Ltd,3111843686,OCC/5699,Home Support – Home,Support at Home U65 HFA,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CaringPlus Healthcare Services Ltd,3111843689,OCC/5699,Home Support – Home,Support at Home 65+ Memory & Cognition,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,CaringPlus Healthcare Services Ltd,3111843698,OCC/5699,Home Support – Home,Support at Home U65 Learning Disability,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Ceeda Ltd,3111843727,OCC/5699,Home Support – Home,Support at Home U65 MH OBC Contract,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Ceeda Ltd,3111843730,OCC/5699,Home Support – Home,Support at Home 65+ Mental Health,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Ceeda Ltd,3111843738,OCC/5699,Home Support – Home,Support at Home 65+ Learning Disability,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Clarissa’s Home Healthcare Services,3111843748,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Day & Night Care Assistance,3111843088,OCC/5698,Home Supp - HTLAH,Support at Home U65 Mental Health,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Day and Nightcare Assistance,3111843820,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Day and Nightcare Assistance,3111843824,OCC/5699,Home Support – Home,Support at Home U65 Physical Support,28/01/2025,813.96
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Direct Link Care Ltd,3111843852,OCC/5699,Home Support – Home,Support at Home 65+ Physical Support,28/01/2025,813.96
