Body_Code,Body_Name,Service,Posting Date,GL Code,GL Code Desc,Doc Number,Doc Net Amount,Supplier Name
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111733472,"4,175.30",Mon Choisy
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,08/08/2024,5227,Other Transport Arrangements,3111730524,"4,176.00",LINK SHIRES LTD
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,01/08/2024,5227,Other Transport Arrangements,3111728286,"4,182.00",Her Ride Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Learning Disability,12/08/2024,5688,Supported Living,3111731550,"4,182.48",The Brandon Trust
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,12/08/2024,5688,Supported Living,3111731576,"4,182.48",The Brandon Trust
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,12/08/2024,5688,Supported Living,3111731580,"4,182.48",The Brandon Trust
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Mental Health,12/08/2024,5686,Residential Home Bed,3111732646,"4,184.11",Orders of St John
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,01/08/2024,5227,Other Transport Arrangements,3111728182,"4,185.00",Bicester Cars UK Ltd
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Physical Support,19/08/2024,5696,Extra Care Housing,3111738783,"4,185.42",Orders of St John Care Trust
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home 65+ Physical Support,13/08/2024,5699,Home Support – Home First,3111737475,"4,186.08",The Care Workshop Limited
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Direct payments,28/08/2024,5554,Childrens' Social Care - Direct Payments,3111742592,"4,187.53",Purple Conversation Com In Co (DP)
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5685,Funded Nursing Care - OCC Placements,3111731814,"4,193.46",Beech Haven Care Home
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5686,Residential Home Bed,3111732714,"4,193.46",Enstone House
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5686,Residential Home Bed,3111732726,"4,193.46",Enstone House
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Memory & Cognition,12/08/2024,5686,Residential Home Bed,3111732729,"4,193.46",Enstone House
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Care Homes - Over 65 Physical Sypport,12/08/2024,5686,Residential Home Bed,3111732763,"4,193.46",Enstone House
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Learning Disability,27/08/2024,5899,Adult Social Care - Direct Payments,3111741201,"4,194.12",Purple Conversation Com In Co (DP)
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Support at Home U65 Physical Support,27/08/2024,5899,Adult Social Care - Direct Payments,3111741971,"4,197.04",Personal Redacted Data
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,Independent Foster,07/08/2024,5559,Children's Placements Off-Contract,3111730278,"4,197.09",Capstone Foster Care(South West) Lt
http://statistics.data.gov.uk/id/local-authority/38,Oxfordshire County Council,SEN TRANSPORT,12/08/2024,5227,Other Transport Arrangements,3111730872,"4,200.00",A2B Castle Cars Ltd
