Body,Organisation Name,Date,Internal Ref Number,Net Amount,Irrecoverable VAT,Supplier(Beneficiary) Name,Supplier Registered Company Number,Supplier Registered Charity Number,Supplier ID,VAT Registration Number,Expense Area,Procurement Classification: Council's Procurement Category Name,Expense Code,BVACOP,Proclass,Extended Description,Source,Subsource,Definition,Purpose of Spend (Summary),Voluntary Community and Social Enterprise Supplier
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,16/12/2024,33648018,13000,N/A,Green Valley Arborists Ltd,,,S345104,,Regeneration & Strategy-Strategic Infrastructure,Private Contractors,56H35508,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,11/12/2024,33627085,575,N/A,Guardian News & Media Ltd,,,S94863,,Children and Young People's Services-Children and Young People's Serv - Central Depts.,Expenses,60001610,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,11/12/2024,33626918,2154,N/A,Guvna Properties Ltd,,,S433600,,Regeneration & Strategy-Housing & Green Economy,Miscellaneous Expenses,52074852,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,09/12/2024,33623095,1120,N/A,H T Direct Event Services Ltd,,,S411415,,Public Services-Museums & Arts,Equipment Furniture And Materials,12144025,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,20/12/2024,33660206,1278.68,N/A,HB Clark & Co (Successors) Ltd,,,S860,,Public Services-Museums & Arts,Catering Clothing And Uniforms,12414219,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,03/12/2024,33602667,3301.6,N/A,HC-One Oval  Ltd re Dove Court,,,S344656,,Adult Services and Wellbeing-Adult Health & Social Care,Private Contractors,88735599,,,,CQ,RC,Residential Care,Payments to homes for people assessed as needing residential/nursing care,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,23/12/2024,33663658,3301.6,N/A,HC-One Oval  Ltd re Dove Court,,,S344656,,Adult Services and Wellbeing-Adult Health & Social Care,Private Contractors,88735599,,,,CQ,RC,Residential Care,Payments to homes for people assessed as needing residential/nursing care,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,06/12/2024,33619859,1250,N/A,HDC Contractors Ltd,7688584,,S345461,,Regeneration & Strategy-Regeneration - Capital,Fixtures and Fittings,17OA0640,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,06/12/2024,33619864,1080,N/A,HDC Contractors Ltd,7688584,,S345461,,Regeneration & Strategy-Regeneration - Capital,Fixtures and Fittings,17OA0640,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,10/12/2024,33625057,1250,N/A,HDC Contractors Ltd,7688584,,S345461,,Regeneration & Strategy-Housing & Green Economy,Equipment Furniture And Materials,52054042,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,11/12/2024,33626699,900,N/A,HDC Contractors Ltd,7688584,,S345461,,Regeneration & Strategy-Housing & Green Economy,Repairs Alterations And Maintenance Of Buildings Fixed Plant And Grounds,52052020,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
http://statistics.data.gov.uk/doc/local-authority-district/00CY,The Borough of Calderdale,13/12/2024,33644099,2490,N/A,HDC Contractors Ltd,7688584,,S345461,,Public Services-Museums & Arts,Repairs Alterations And Maintenance Of Buildings Fixed Plant And Grounds,125220P0,,,,IV,AP,Accounts Payable Invoices,Payment of accounts payable invoices,
