Directorate,Service,Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Children and Adults Services,ADULT SOCIAL CARE,RIVERSIDE VIEW DARLINGTON,57740107,31/03/2025,01/04/2025,"9,444.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,RIVERSIDE VIEW DARLINGTON,57740107,31/03/2025,01/04/2025,"47,621.43",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,RIVERSIDE VIEW DARLINGTON,57736763,03/03/2025,04/03/2025,"56,132.86",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,RIVERSIDE VIEW DARLINGTON,57736763,03/03/2025,04/03/2025,"23,892.86",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,RIVERSIDE VIEW DARLINGTON,57736763,03/03/2025,04/03/2025,"6,320.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,RIVERSIDE VIEW DARLINGTON,57736763,03/03/2025,04/03/2025,"15,521.42",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,RIVERSIDE VIEW DARLINGTON,57736763,03/03/2025,04/03/2025,"11,220.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,RIVERSIDE VIEW DARLINGTON,57736763,03/03/2025,04/03/2025,"3,385.71",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ROTHERWOOD HEALTHCARE LTD,57736752,03/03/2025,04/03/2025,"6,276.16",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ROTHERWOOD HEALTHCARE LTD,57740095,31/03/2025,01/04/2025,"4,707.12",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SALUTEM SHARED SERVICES - HARMONY HOUSE,57736744,03/03/2025,04/03/2025,"1,217.42",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SALUTEM SHARED SERVICES - HARMONY HOUSE,57736720,03/03/2025,04/03/2025,"7,293.92",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SALUTEM SHARED SERVICES - HARMONY HOUSE,57736720,03/03/2025,04/03/2025,911.74,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SALUTEM SHARED SERVICES - HARMONY HOUSE,57740061,31/03/2025,01/04/2025,"7,293.92",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SALUTEM SHARED SERVICES - HARMONY HOUSE,57740086,31/03/2025,01/04/2025,"1,217.42",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SANCTUARY SUPPORTED LIVING,57738232,17/03/2025,18/03/2025,"17,048.64",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SANCTUARY SUPPORTED LIVING,57738232,17/03/2025,18/03/2025,"19,618.48",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SEAVIEW HAVEN,57736765,03/03/2025,04/03/2025,"4,054.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SEAVIEW HAVEN,57740110,31/03/2025,01/04/2025,"4,054.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SEVEN SPRINGS CARE HOME,57736766,03/03/2025,04/03/2025,"5,837.08",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SEVEN SPRINGS CARE HOME,57740111,31/03/2025,01/04/2025,"5,837.08",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SPRINGFIELD CARE HOME LIMITED,57740112,31/03/2025,01/04/2025,"65,758.57",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SPRINGFIELD CARE HOME LIMITED,57736767,03/03/2025,04/03/2025,"69,400.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SPRINGFIELD CARE HOME LIMITED,57736767,03/03/2025,04/03/2025,"2,214.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SPRINGFIELD CARE HOME LIMITED,57740112,31/03/2025,01/04/2025,"1,476.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SPRINGFIELD CARE HOME LIMITED,57736767,03/03/2025,04/03/2025,"1,476.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ST AIDENS COTTAGE,57740113,31/03/2025,01/04/2025,"20,224.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ST AIDENS COTTAGE,57736768,03/03/2025,04/03/2025,"20,224.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ST CUTHBERTS CARE,57736769,03/03/2025,04/03/2025,"3,240.56",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ST CUTHBERTS CARE,57740114,31/03/2025,01/04/2025,"3,240.56",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ST HELENS NURSING HOME,57740115,31/03/2025,01/04/2025,"4,430.72",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ST HELENS NURSING HOME,57740115,31/03/2025,01/04/2025,"2,215.36",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ST HELENS NURSING HOME,57736770,03/03/2025,04/03/2025,"5,146.59",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,ST HELENS NURSING HOME,57736770,03/03/2025,04/03/2025,"11,679.18",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,STAINTON LODGE CARE CENTRE,57736773,03/03/2025,28/03/2025,"3,550.34",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,STOCKTON ON TEES BOROUGH COUNCIL,55598991,26/02/2025,25/03/2025,600,Client Home Adaptations - Private Housing,SUPPLIES & SERVICES,EXPENSES
Children and Adults Services,ADULT SOCIAL CARE,STOCKTON ON TEES BOROUGH COUNCIL,55598992,26/02/2025,25/03/2025,600,Client Home Adaptations - Private Housing,SUPPLIES & SERVICES,EXPENSES
Children and Adults Services,ADULT SOCIAL CARE,SUSASH MIDDLESBROUGH LTD ST MARY'S CARE HOME,57736771,03/03/2025,04/03/2025,"3,662.32",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,SUSASH MIDDLESBROUGH LTD ST MARY'S CARE HOME,57740116,31/03/2025,01/04/2025,"3,662.32",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,TEES GRANGE HEALTH CARE LIMITED T/A EXEMPLAR HEALTH CARE,57740119,31/03/2025,01/04/2025,"7,812.76",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,TEES GRANGE HEALTH CARE LIMITED T/A EXEMPLAR HEALTH CARE,57736774,03/03/2025,04/03/2025,"13,672.33",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE ARK CARE PRINCEIPLES,57738235,17/03/2025,18/03/2025,"2,740.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE AVENUE,57736775,03/03/2025,04/03/2025,"7,629.76",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE AVENUE,57740120,31/03/2025,01/04/2025,"7,629.76",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE AVENUE,57736775,03/03/2025,04/03/2025,"3,814.88",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE AVENUE,57740120,31/03/2025,01/04/2025,"3,814.88",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740123,31/03/2025,01/04/2025,"94,122.86",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740123,31/03/2025,01/04/2025,"9,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740123,31/03/2025,01/04/2025,"5,570.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736778,03/03/2025,04/03/2025,"9,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736778,03/03/2025,04/03/2025,"106,895.71",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736778,03/03/2025,04/03/2025,"9,735.71",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740123,31/03/2025,01/04/2025,"6,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736778,03/03/2025,04/03/2025,"6,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"7,674.29",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"1,620.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"1,620.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"7,335.71",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"80,378.57",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"22,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"5,610.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"4,317.14",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"19,324.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"10,608.58",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"4,481.43",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"9,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"78,758.57",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"3,240.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"7,290.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"11,224.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57736779,03/03/2025,04/03/2025,"2,370.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"3,837.14",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57740124,31/03/2025,01/04/2025,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THERA NORTH,57738237,17/03/2025,18/03/2025,"5,657.41",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THOMAS HOPE,57738429,18/03/2025,19/03/2025,608,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,THORNBECK COLLEGE- NORTH EAST AUTISM,57738224,17/03/2025,18/03/2025,"6,239.68",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,UNDERHILL RESIDENTIAL HOME,57736780,03/03/2025,28/03/2025,"3,200.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,UNITED RESPONSE,55599242,20/02/2025,13/03/2025,"84,981.08",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,UNITED RESPONSE,57738239,17/03/2025,18/03/2025,"84,810.42",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,UNITED RESPONSE,57738239,17/03/2025,18/03/2025,716.76,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VALORUM CARE GROUP LTD,57740097,31/03/2025,01/04/2025,"7,200.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VALORUM CARE GROUP LTD,57740097,31/03/2025,01/04/2025,"4,928.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VALORUM CARE GROUP LTD,57736754,03/03/2025,04/03/2025,"7,200.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VALORUM CARE GROUP LTD,57736754,03/03/2025,04/03/2025,"4,928.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57736781,03/03/2025,04/03/2025,"7,242.86",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57740126,31/03/2025,01/04/2025,"6,240.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57736781,03/03/2025,04/03/2025,"58,258.71",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57736781,03/03/2025,04/03/2025,"27,562.86",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57736781,03/03/2025,04/03/2025,"26,520.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57736781,03/03/2025,04/03/2025,"3,120.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57736781,03/03/2025,04/03/2025,"3,200.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57736781,03/03/2025,04/03/2025,"3,677.14",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57740126,31/03/2025,01/04/2025,"1,002.86",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57740126,31/03/2025,01/04/2025,"11,962.85",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57740126,31/03/2025,01/04/2025,"61,582.85",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57740126,31/03/2025,01/04/2025,"26,520.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57740126,31/03/2025,01/04/2025,"3,200.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57740126,31/03/2025,01/04/2025,"3,120.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57740126,31/03/2025,01/04/2025,"4,457.14",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57740126,31/03/2025,01/04/2025,"4,720.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57736781,03/03/2025,04/03/2025,"4,720.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VENTRESS HALL,57736781,03/03/2025,04/03/2025,"5,257.15",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VOYAGE CARE,57740096,31/03/2025,01/04/2025,"9,192.28",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VOYAGE CARE,57736753,03/03/2025,04/03/2025,"9,192.28",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VOYAGE CARE,57740065,31/03/2025,01/04/2025,"7,070.72",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VOYAGE CARE,57736724,03/03/2025,04/03/2025,"26,515.20",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,VOYAGE CARE,57738240,17/03/2025,18/03/2025,"3,963.26",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,564.29,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57736783,03/03/2025,04/03/2025,"3,160.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57736783,03/03/2025,04/03/2025,"12,301.42",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57736783,03/03/2025,04/03/2025,"8,318.57",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57736783,03/03/2025,04/03/2025,"4,226.36",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"6,400.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"3,160.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"4,226.36",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"7,900.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"3,160.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"3,160.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"1,504.29",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"3,160.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"44,400.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"14,847.14",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"1,272.86",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"3,240.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740128,31/03/2025,01/04/2025,"3,160.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57740131,31/03/2025,01/04/2025,"4,160.36",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
Children and Adults Services,ADULT SOCIAL CARE,WILLOW GREEN CARE HOME,57736783,03/03/2025,04/03/2025,"44,174.28",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
