Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,"1,013.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,"1,267.34",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAKING SPACE,57730054,18/12/2024,19/12/2024,673.88,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730039,18/12/2024,19/12/2024,"1,996.87",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730039,18/12/2024,19/12/2024,"5,396.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730047,18/12/2024,19/12/2024,"3,929.32",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730047,18/12/2024,19/12/2024,"2,897.69",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730054,18/12/2024,19/12/2024,"1,194.16",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730039,18/12/2024,19/12/2024,599.56,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730054,18/12/2024,19/12/2024,540.1,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11165254,18/12/2024,19/12/2024,"1,384.32",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11165255,18/12/2024,19/12/2024,"3,871.84",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11165256,18/12/2024,19/12/2024,"7,743.68",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11165257,18/12/2024,19/12/2024,"3,871.84",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11165259,18/12/2024,19/12/2024,"1,534.32",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,11165258,18/12/2024,19/12/2024,"11,674.16",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730026,18/12/2024,19/12/2024,659.02,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730026,18/12/2024,19/12/2024,"14,136.66",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730039,18/12/2024,19/12/2024,"10,586.37",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730039,18/12/2024,19/12/2024,"2,041.46",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730047,18/12/2024,19/12/2024,"12,149.69",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730054,18/12/2024,19/12/2024,"12,461.84",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730047,18/12/2024,19/12/2024,"3,017.60",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730039,18/12/2024,19/12/2024,"13,274.46",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730047,18/12/2024,19/12/2024,"5,327.63",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730054,18/12/2024,19/12/2024,"9,577.31",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MAKING SPACE,57730054,18/12/2024,19/12/2024,"1,788.76",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57727918,09/12/2024,10/12/2024,891.43,Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57727918,09/12/2024,10/12/2024,"3,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57727918,09/12/2024,10/12/2024,"1,225.72",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57727918,09/12/2024,10/12/2024,"74,465.71",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57727918,09/12/2024,10/12/2024,"14,454.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57727918,09/12/2024,10/12/2024,"3,200.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57727918,09/12/2024,10/12/2024,"9,251.43",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MANOR CARE HOME GROUP,57727918,09/12/2024,10/12/2024,"12,640.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MARGARET BURNSIDE,57730070,18/12/2024,19/12/2024,669.41,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MARTIN GRAY FOOTBALL ACADEMY LTD,55591142,17/12/2024,18/12/2024,"24,830.00",VAT ONLY Invoice,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MARTIN GRAY FOOTBALL ACADEMY LTD,57730041,18/12/2024,19/12/2024,"2,600.00",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MARTIN GRAY FOOTBALL ACADEMY LTD,57730041,18/12/2024,19/12/2024,"23,720.00",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MEDeQUIP,55590603,31/10/2024,02/01/2025,"12,864.76",Occupational Therapy Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
MENCAP,57730040,18/12/2024,19/12/2024,614.73,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MENCAP,57730040,18/12/2024,19/12/2024,"43,605.20",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MENCAP,55590622,09/12/2024,13/12/2024,"2,749.79",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
MENCAP,57730040,18/12/2024,19/12/2024,"15,411.65",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MENCAP,57730040,18/12/2024,19/12/2024,634.56,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MIDDLETON HALL NURSING HOME,57727940,09/12/2024,10/12/2024,"11,568.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MILBURY CARE SERVICE LTD,57727975,09/12/2024,10/12/2024,"12,959.76",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MILBURY CARE SERVICE LTD,57727975,09/12/2024,10/12/2024,"11,015.79",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"32,920.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"9,520.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"15,154.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"1,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"3,120.00",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"1,500.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"9,942.86",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"9,887.04",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"7,368.24",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MINSTER CARE MANAGEMENT LTD T/A   RYDAL,57727951,09/12/2024,10/12/2024,"2,395.70",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55589565,11/11/2024,06/12/2024,"2,786.72",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55591560,02/12/2024,24/12/2024,"1,406.87",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55591567,02/12/2024,24/12/2024,"2,490.41",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55590208,18/11/2024,13/12/2024,"1,406.53",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55590760,25/11/2024,20/12/2024,"2,800.49",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55590812,25/11/2024,20/12/2024,"1,393.02",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,57730043,18/12/2024,19/12/2024,"57,792.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55589564,11/11/2024,06/12/2024,"1,428.39",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55590120,18/11/2024,13/12/2024,"2,856.53",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOORLANDS CARE,57730044,18/12/2024,19/12/2024,"7,263.21",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOORLANDS CARE,57730044,18/12/2024,19/12/2024,"2,187.67",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOORLANDS CARE,57727943,09/12/2024,10/12/2024,"12,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOORLANDS CARE,57727943,09/12/2024,10/12/2024,"1,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOORLANDS CARE,57727943,09/12/2024,10/12/2024,"3,120.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MYLIFE SUPPORTED LIVING LTD (BURBANK),57727913,09/12/2024,10/12/2024,"8,868.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NEW CONCEPT CARE NURSING TRAINING LIMITED,57730045,18/12/2024,19/12/2024,736.4,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57727944,09/12/2024,10/12/2024,"70,241.44",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57727944,09/12/2024,10/12/2024,"11,028.56",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57727944,09/12/2024,10/12/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57727944,09/12/2024,10/12/2024,"9,600.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTH PARK CARE CENTRE,57727944,09/12/2024,10/12/2024,"12,920.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTHERN LIFE CARE LTD,57730061,18/12/2024,19/12/2024,"16,558.78",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTHERN LIFE CARE LTD,57730061,18/12/2024,19/12/2024,"74,258.34",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTHERN LIFE CARE LTD,57730061,18/12/2024,19/12/2024,"13,968.20",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NORTHERN LIFE CARE LTD,57730061,18/12/2024,19/12/2024,"1,791.90",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NUDGE EDUCATION,55590179,18/11/2024,13/12/2024,"1,024.02",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NUDGE EDUCATION,55590117,18/11/2024,13/12/2024,796.46,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
OAKLODGE CARE HOME,57727945,09/12/2024,10/12/2024,"3,584.57",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
OAKLODGE CARE HOME,57727945,09/12/2024,10/12/2024,"26,251.72",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
OAKLODGE CARE HOME,57727945,09/12/2024,10/12/2024,"24,354.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
OAKLODGE CARE HOME,57727945,09/12/2024,10/12/2024,"1,581.43",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ONE CALL CARE SOLUTIONS LTD,57730014,18/12/2024,19/12/2024,"132,999.55",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ORBIS SUPPORT LIMITED,57730048,18/12/2024,19/12/2024,"45,252.48",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PARAMOUNT CARE EASINGTON LTD,57727924,09/12/2024,10/12/2024,"4,868.80",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PARKLANE PLOWDEN CHAMBERS,55591603,13/12/2024,20/12/2024,937.5,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
POPULAR CARE LTD,57727974,09/12/2024,10/12/2024,"9,360.00",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POPULAR CARE LTD,57727974,09/12/2024,10/12/2024,"6,240.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POPULAR CARE LTD,57727974,09/12/2024,10/12/2024,"27,188.57",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POPULAR CARE LTD,57727974,09/12/2024,10/12/2024,"6,240.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POPULAR CARE LTD,57727974,09/12/2024,10/12/2024,"1,560.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE INDIVIDUAL PROACTIVE SUPPORT (PIPS),57730049,18/12/2024,19/12/2024,"4,250.48",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57730056,18/12/2024,19/12/2024,"1,285.06",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57730056,18/12/2024,19/12/2024,"4,237.98",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57730056,18/12/2024,19/12/2024,"24,856.09",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,11165102,10/12/2024,10/12/2024,723.6,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,11165103,10/12/2024,10/12/2024,754.66,Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57730056,18/12/2024,19/12/2024,"6,051.76",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57730056,18/12/2024,19/12/2024,"50,824.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57730056,18/12/2024,19/12/2024,"2,189.53",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57730056,18/12/2024,19/12/2024,"11,814.15",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POSITIVE LIFE CHOICES LTD,57730056,18/12/2024,19/12/2024,"6,874.30",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POTENS,57727941,09/12/2024,10/12/2024,"17,138.36",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POTENS,57730050,18/12/2024,19/12/2024,"31,013.44",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POTENS,57730050,18/12/2024,19/12/2024,"1,971.09",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
POTENS,57730050,18/12/2024,19/12/2024,"8,586.41",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57727942,09/12/2024,10/12/2024,"32,240.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57727942,09/12/2024,10/12/2024,"6,480.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57727942,09/12/2024,10/12/2024,"6,400.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57727942,09/12/2024,10/12/2024,"3,240.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
PRESTIGE CARE (AUGUSTE COMMUNITIES),57727942,09/12/2024,10/12/2024,"7,423.52",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
REDWORTH HOUSE,57727946,09/12/2024,10/12/2024,"3,209.24",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RESIDE HOUSING ASSOICIATION,57730051,18/12/2024,19/12/2024,740.55,Accomodation Costs (Client),SUPPLIES & SERVICES,EXPENSES
RICHMOND COURT,57727947,09/12/2024,10/12/2024,"2,076.82",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RICHMOND FELLOWSHIP,57730053,18/12/2024,19/12/2024,"1,246.09",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57727948,09/12/2024,10/12/2024,"16,928.56",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57727948,09/12/2024,10/12/2024,"56,584.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57727948,09/12/2024,10/12/2024,"6,432.85",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57727948,09/12/2024,10/12/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
RIVERSIDE VIEW DARLINGTON,57727948,09/12/2024,10/12/2024,"11,220.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ROTHERWOOD HEALTHCARE LTD,57727937,09/12/2024,10/12/2024,"6,276.16",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SALUTEM SHARED SERVICES - HARMONY HOUSE,57727929,09/12/2024,10/12/2024,"1,217.42",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SALUTEM SHARED SERVICES - HARMONY HOUSE,57727906,09/12/2024,10/12/2024,"7,293.92",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SALUTEM SHARED SERVICES - HARMONY HOUSE,57727906,09/12/2024,10/12/2024,"1,562.99",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SANCTUARY SUPPORTED LIVING,57730055,18/12/2024,19/12/2024,"8,103.37",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SANCTUARY SUPPORTED LIVING,57730055,18/12/2024,19/12/2024,"16,878.68",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SEAVIEW HAVEN,57727953,09/12/2024,10/12/2024,"4,054.40",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SEVEN SPRINGS CARE HOME,57727954,09/12/2024,10/12/2024,"5,837.08",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SPRINGFIELD CARE HOME LIMITED,57727955,09/12/2024,10/12/2024,"57,982.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SPRINGFIELD CARE HOME LIMITED,57727955,09/12/2024,10/12/2024,"9,146.87",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
SPRINGFIELD CARE HOME LIMITED,57727955,09/12/2024,10/12/2024,"1,476.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST AIDENS COTTAGE,57727956,09/12/2024,10/12/2024,"9,372.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST BEDES RESIDENTIAL HOME,57727957,09/12/2024,10/12/2024,"1,918.12",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST CUTHBERTS CARE,57727958,09/12/2024,10/12/2024,"3,240.56",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST HELENS NURSING HOME,57727959,09/12/2024,10/12/2024,"3,766.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ST HELENS NURSING HOME,57727959,09/12/2024,10/12/2024,"1,946.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
STAINTON LODGE CARE CENTRE,57727962,09/12/2024,03/01/2025,"3,550.34",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
STOCKTON ON TEES BOROUGH COUNCIL,55591605,04/12/2024,24/12/2024,600,Client Home Adaptations - Private Housing,SUPPLIES & SERVICES,EXPENSES
STOCKTON ON TEES BOROUGH COUNCIL,55591606,04/12/2024,24/12/2024,600,Client Home Adaptations - Private Housing,SUPPLIES & SERVICES,EXPENSES
STOCKTON ON TEES BOROUGH COUNCIL,55591801,05/12/2024,02/01/2025,540,Client Home Adaptations - Private Housing,SUPPLIES & SERVICES,EXPENSES
STOCKTON ON TEES BOROUGH COUNCIL,55590377,26/11/2024,11/12/2024,810,Client Home Adaptations - Private Housing,SUPPLIES & SERVICES,EXPENSES
STOCKTON ON TEES BOROUGH COUNCIL,55589617,13/11/2024,11/12/2024,810,Client Home Adaptations - Private Housing,SUPPLIES & SERVICES,EXPENSES
STOCKTON ON TEES BOROUGH COUNCIL,55589618,13/11/2024,11/12/2024,612,Client Home Adaptations - Private Housing,SUPPLIES & SERVICES,EXPENSES
SUSASH MIDDLESBROUGH LTD ST MARY'S CARE HOME,57727960,09/12/2024,10/12/2024,"3,662.32",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
TEES GRANGE HEALTH CARE LIMITED T/A EXEMPLAR HEALTH CARE,57727964,09/12/2024,10/12/2024,"7,812.76",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE ARK CARE PRINCEIPLES,57730058,18/12/2024,19/12/2024,"3,440.00",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE AVENUE,57727965,09/12/2024,10/12/2024,"7,168.56",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE AVENUE,57727965,09/12/2024,10/12/2024,"3,544.56",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727968,09/12/2024,10/12/2024,"12,720.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727968,09/12/2024,10/12/2024,"1,272.86",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727968,09/12/2024,10/12/2024,"6,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727968,09/12/2024,10/12/2024,"107,907.13",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727968,09/12/2024,10/12/2024,"29,798.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE GRANGE DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727968,09/12/2024,10/12/2024,"3,272.86",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727969,09/12/2024,10/12/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727969,09/12/2024,10/12/2024,"76,640.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727969,09/12/2024,10/12/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727969,09/12/2024,10/12/2024,"3,160.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727969,09/12/2024,10/12/2024,"7,674.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727969,09/12/2024,10/12/2024,"24,005.71",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THE LAWNS DARLINGTON (HIGHGATE CARE SERVICES LIMITED),57727969,09/12/2024,10/12/2024,"1,620.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THERA NORTH,57730060,18/12/2024,19/12/2024,"4,738.58",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
