Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
UNITED RESPONSE,57714370,05/08/2024,"74,374.27",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VENTRESS HALL,57715782,19/08/2024,"3,120.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VENTRESS HALL,57715782,19/08/2024,"9,360.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VENTRESS HALL,57715782,19/08/2024,"21,485.72",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VENTRESS HALL,57715782,19/08/2024,"3,120.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VENTRESS HALL,57715782,19/08/2024,"3,200.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VENTRESS HALL,57715782,19/08/2024,"27,411.42",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VENTRESS HALL,57715782,19/08/2024,"40,805.71",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VENTRESS HALL,57715782,19/08/2024,"7,840.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VENTRESS HALL,57715782,19/08/2024,"42,582.87",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VOYAGE CARE,57715753,19/08/2024,"8,519.24",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VOYAGE CARE,57715727,19/08/2024,"14,141.44",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
VOYAGE CARE,57714371,05/08/2024,"3,643.06",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"3,160.00",Intermediate Care,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"7,674.29",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,677.15,Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"9,480.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"3,160.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"8,700.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"3,240.00",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715787,19/08/2024,"4,160.36",Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"15,960.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,564.29,Nursing - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"20,208.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"51,444.29",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"7,364.80",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"14,695.71",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WILLOW GREEN CARE HOME,57715784,19/08/2024,"4,288.57",Respite,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
YOUNG FOUNDATION LTD,57715778,19/08/2024,"8,100.00",Residential,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
1AB TAXIS LTD,55578858,31/03/2024,688.2,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
1AB TAXIS LTD,55579204,31/03/2024,"1,054.00",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
A1 FOSTER CARE,57715145,12/08/2024,"18,513.55",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
A1 FOSTER CARE,57715145,12/08/2024,"26,153.04",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
ACORN CARE (UK) LIMITED,57715146,12/08/2024,"15,000.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
ACORN CARE NE - FOSTERING,57715147,12/08/2024,"1,704.86",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
ACORN CARE NE - FOSTERING,57715148,12/08/2024,"5,304.00",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
ACORN HOUSE ( FOSTERING SERVICES) LTD,57715149,12/08/2024,"4,367.36",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
AP & D CONSULTANCY,55580229,02/07/2024,730.75,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
ARRONBETH LTD,57715150,12/08/2024,"37,368.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
ARRONBETH LTD,57715151,12/08/2024,"20,760.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
ASPIRE PSYCHOLOGICAL SERVICES LTD,55579766,31/07/2024,"1,017.50",Adoption Allowance,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ASPIRE PSYCHOLOGICAL SERVICES LTD,55579770,31/07/2024,770,Adoption Allowance,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
BARNARDO'S,57715152,12/08/2024,"11,058.64",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
BARNARDO'S,57715152,12/08/2024,"7,707.59",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
BARNARDO'S,55578753,05/01/2024,"13,750.50",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
BETA NORTH LIMITED (TRADING AS EVOLVE FOSTERING),57715164,12/08/2024,"5,627.44",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
BETA NORTH LIMITED (TRADING AS EVOLVE FOSTERING),57715164,12/08/2024,"21,104.83",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
BRITANNIA FOSTERING AGENCY LIMITED,57715154,12/08/2024,"2,442.86",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
CAMBIAN CHILDCARE LTD,57715156,12/08/2024,"25,000.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
CHILDRENS FAMILY TRUST,57715158,12/08/2024,"7,221.54",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
CHILDRENS FAMILY TRUST,57715157,12/08/2024,"1,491.48",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
CHILDRENS FAMILY TRUST,57715159,12/08/2024,"11,182.40",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
CHILDRENS FAMILY TRUST,57715160,12/08/2024,"8,715.33",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
CHILDRENS FAMILY TRUST,57715160,12/08/2024,"3,477.20",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
CHILDRENS FAMILY TRUST,57715159,12/08/2024,"7,229.20",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
COLEEN SMITH,57716115,21/08/2024,820,Ad-Hoc Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
COMPASS FOSTERING NORTH LTD,57715161,12/08/2024,"3,108.78",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
COMPASS FOSTERING NORTH LTD,57715161,12/08/2024,"3,765.72",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
COMPASS ROYSTON TRAVEL LTD,55579141,02/08/2024,800,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
COMPLEMENT GENOMICS LTD,55578099,18/07/2024,504,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
CORAM BAAF ADOPTION FOSTERING ACADEMY,55578153,05/03/2024,"2,218.10","Recruitment, Retention & Training",THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
DALES ACADEMIES TRUST,55577899,20/06/2024,954.24,Childcare Costs,SUPPLIES & SERVICES,EXPENSES
DALES ACADEMIES TRUST,55577859,28/02/2024,"1,717.50",Childcare Costs,SUPPLIES & SERVICES,EXPENSES
DARLINGTON YMCA FOYER,55578705,23/07/2024,"1,325.44",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
DARLINGTON YMCA FOYER,55579190,21/07/2024,"1,325.44",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
DARLINGTON YMCA FOYER,55579191,23/07/2024,"1,325.44",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
DARLINGTON YMCA FOYER,55579192,23/07/2024,"1,325.44",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
DARLINGTON YMCA FOYER,55578773,23/07/2024,"1,325.44",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
FAIRFIELD HOUSE,57715193,12/08/2024,"53,505.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
FIVE RIVERS CHILD CARE LIMITED,57715165,12/08/2024,"4,147.60",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
FIVE RIVERS CHILD CARE LIMITED,57715166,12/08/2024,"4,574.28",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
FOSTER CARE ASSOCIATES LTD,57715167,12/08/2024,"8,263.32",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
FOSTER CARES LTD,57715168,12/08/2024,"7,354.02",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
FOSTER CARES LTD,57715169,12/08/2024,"3,900.20",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
FOSTERING PEOPLE LIMITED,57715171,12/08/2024,"23,931.92",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
FOSTERING PEOPLE LIMITED,57715171,12/08/2024,"3,827.21",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
FOSTERING PEOPLE LIMITED,57715171,12/08/2024,732.86,Maintenance Fee - Respite IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
FUTURE STEPS CONSULTANCY LTD,55578015,17/07/2024,"3,175.00",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
HALLIWELL HOMES,57715172,12/08/2024,"28,701.24",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
HAREWOOD LODGE (petty cash acc),55579511,20/08/2024,519.37,Catering Provisions,SUPPLIES & SERVICES,CATERING
HEXAGON CARE SERVICES LTD,57715153,12/08/2024,"54,000.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
HUTTON TRAVELS,55579703,08/08/2024,611.2,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
IAN NOTMAN,55578509,19/07/2024,720.3,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
IAN NOTMAN,55578511,19/07/2024,630,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
IAN NOTMAN,55578378,03/04/2024,840,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
JULIE HATFIELD,55579842,01/08/2024,651,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
KEYS PCE LIMITED,55579047,26/07/2024,"14,583.33",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
KITES CHILDREN'S SERVICES,57715163,12/08/2024,"19,980.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,153.27",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,098.43",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,764.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,764.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,153.27",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,120.67",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,027.61",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,120.67",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,810,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,802.72,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,526.45",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,705.22,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,175.37",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,175.37",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,809.8,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,685.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,610.58,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,526.45",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,722.88,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,685.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,685.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,070.29",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,070.29",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,453.48",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,685.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,685.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,685.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,526.45",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,175.37",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,175.37",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,526.45",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,802.72,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,705.22,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,070.29",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,070.29",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,685.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,453.48",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,337.87",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,809.8,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,685.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,274.71",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,453.48",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,690.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,655.01,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,453.48",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,672.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,120.67",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,274.71",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,764.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,771.47,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,672.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,274.71",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,274.71",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MARGARET BURNSIDE,57714379,05/08/2024,821.59,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MARTIN GRAY FOOTBALL ACADEMY LTD,55573908,23/02/2024,"1,900.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
MEADOWS CARE LIMITED,57715175,12/08/2024,"22,503.84",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
MOONRISE 24HR RECRUITMENT,55578425,22/07/2024,"5,064.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
MOONRISE 24HR RECRUITMENT,55578248,15/07/2024,"16,920.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
MOONRISE 24HR RECRUITMENT,55580148,05/08/2024,"4,937.18",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55579512,15/07/2024,"2,194.42",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55576563,01/07/2024,"2,299.01",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55577381,08/07/2024,"2,145.88",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55578237,15/07/2024,"4,876.83",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55578406,22/07/2024,"2,124.32",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55578409,22/07/2024,"4,959.15",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55579229,29/07/2024,"4,913.60",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55579014,29/07/2024,"2,780.06",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
MOONRISE 24HR RECRUITMENT,55580121,05/08/2024,"2,256.18",Home Care - Private Contractor,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
NATIONAL YOUTH ADVOCACY SERVICE,55579331,30/07/2024,"1,275.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
PACTNE,57715162,12/08/2024,"1,642.20",Maintenance Fee - Supporting Independence,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
PADDOCK HOUSE LTD,57715177,12/08/2024,"15,600.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
PEARTREE PROJECTS LTD,57715178,12/08/2024,"23,174.36",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
PEARTREE PROJECTS LTD,57715173,12/08/2024,"23,174.36",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
PHOENIX COMMUNITY CARE LTD,57715179,12/08/2024,"3,222.20",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
PREFER HOMES,55579792,23/07/2024,"1,730.32",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
PREFER HOMES,55579285,23/07/2024,"2,162.90",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
REACH OUT CARE LIMITED NO 2 A/C,57715181,12/08/2024,"20,841.44",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
REACH OUT CARE LIMITED NO 2 A/C,57715180,12/08/2024,"7,877.72",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
REACH OUT CARE LIMITED NO 2 A/C,57715181,12/08/2024,"3,304.04",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
REAL CARE SUPPORT,57715184,12/08/2024,"27,560.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
REES FOUNDATION,55578897,24/07/2024,"4,575.00",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
REGIONAL FOSTERING SERVICES LTD,57715182,12/08/2024,"3,440.20",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
RIGHT TRAK,57715143,12/08/2024,"9,285.71",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
ROC FAMILY SUPPORT LTD,57715183,12/08/2024,"12,263.43",Maintenance Fee - Supporting Independence,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
ROC FAMILY SUPPORT LTD,57715192,12/08/2024,"27,175.16",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
SAFE FAMILIES FOR CHILDREN,55579939,03/08/2024,"14,025.00",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
ST CUTHBERTS CARE,57715185,12/08/2024,"54,918.60",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
ST CUTHBERTS CARE,57715170,12/08/2024,"3,876.15",Maintenance Fee - Respite IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
STOCKTON ON TEES BOROUGH COUNCIL,55578976,29/07/2024,"325,424.00",Adoption Allowance,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
