,Expenditure over £500,,,,,,,,
,<<For the period from 01 January 2024 to 31 March 2024>>,,,,,,,,
,,,,,,,,,
Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
Oxford City Council,Business Improvement,Main Contractor,Y021,14/03/2024,1097828 - 1,"2,000.00",Capital,20020694,KINGSFIELD COMPUTER PRODUCTS LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,27/02/2024,1097835 - 1,500,Revenue,20016800,ROL SOLUTIONS LTD T/A ROL
Oxford City Council,Business Improvement,Contract Printing (External),D3303,05/03/2024,1097852 - 1,530,Revenue,20019976,MAYFIELD PRESS LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,05/03/2024,1097878 - 1,"9,500.00",Capital,20021676,DIGIVATION LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,12/03/2024,1097913 - 1,"1,461.54",Revenue,20020068,"WORD360 LTD.,"
Oxford City Council,Business Improvement,Consultants Fees,D3411,12/03/2024,1097914 - 1,905.99,Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,Network Rental,D3531,05/03/2024,1097939 - 1,"1,325.54",Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Oxford City Council,Business Improvement,IT Skills Development,A0638,19/03/2024,1097985 - 1,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,21/03/2024,1098068 - 1,"3,135.00",Capital,20007875,MIDLAND HR
Oxford City Council,Business Improvement,Software Maintenance/Running Costs,D3513,21/03/2024,1098069 - 1,"6,588.21",Revenue,20013463,IDOX SOFTWARE LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,21/03/2024,1098076 - 1,"9,889.02",Capital,20021273,PROSPERON NETWORKS LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,07/03/2024,1098083 - 1,562,Capital,20019668,PLANET IT LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,21/03/2024,1098089 - 1,550,Capital,20013463,IDOX SOFTWARE LTD
Oxford City Council,Business Improvement,General Contracted Services,D3401,26/03/2024,1098137 - 1,"43,350.21",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,General Contracted Services,D3401,26/03/2024,1098138 - 1,"1,250.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Consultants Fees,D3411,19/03/2024,1098151 - 1,"1,743.13",Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
Oxford City Council,Business Improvement,IT Skills Development,A0638,21/03/2024,1098178 - 1,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,12/03/2024,1098194 - 1,"1,000.00",Capital,20018834,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD
Oxford City Council,Business Improvement,Main Contractor,Y021,21/03/2024,1098196 - 1,"4,040.00",Capital,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Main Contractor,Y021,21/03/2024,1098197 - 1,"2,635.00",Capital,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,Main Contractor,Y021,21/03/2024,1098198 - 1,"4,822.86",Capital,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,General Contracted Services,D3401,26/03/2024,1098212 - 1,"1,805.00",Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Oxford City Council,Business Improvement,IT Skills Development,A0638,26/03/2024,1098221 - 1,795,Revenue,20021623,CAPITAL TRAINING LTD
Oxford City Council,Business Improvement,Consultants Fees,D3411,26/03/2024,1098252 - 1,"1,533.00",Revenue,20019840,PEOPLE ASSET MANAGEMENT LTD
