Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,ADOPTION MATTERS,55688,04/12/2024,10647081,2054.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,4009,"Equipment, Furniture & Materials",30882,ADOPTION TEES VALLEY,31/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,ADOPTION MATTERS,55688,04/12/2024,10647082,1027.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,4009,"Equipment, Furniture & Materials",30882,ADOPTION TEES VALLEY,31/10/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,PARKLANE PLOWDEN CHAMBERS,66639,10/12/2024,10647106,1500.00,280000,Legal Services,Not Classified,Not Classified,no,REVENUE,LEGAL SERVICES,4037,"Professional, Consultancy and Hired Services",60067,ADULTS IN-HOUSE CASES - EXTERNAL COSTS,01/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",STAGECOACH SERVICES LIMITED,36740,17/12/2024,10647175,585.00,361700,Public Transport,,,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,3028,School Transport,30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,09/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,PRICEWATERHOUSE COOPER,63439,03/12/2024,10647198,4000.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C201,CONTRACTOR PAYMENTS,C2171,THORNABY TOWN CENTRE,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,03/12/2024,10647202,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21152,UNACCOMPANIED ASYLUM SEEKING CHILDREN,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,OMSFC LTD,78646,10/12/2024,10647203,3855.43,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21152,UNACCOMPANIED ASYLUM SEEKING CHILDREN,05/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,MEADOWS CARE LTD,77858,03/12/2024,10647204,23228.57,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21152,UNACCOMPANIED ASYLUM SEEKING CHILDREN,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",NORTH EAST REGIONAL EMPLOYERS ORGANISATION,35052,03/12/2024,10647205,912.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SAFETY & REGULATED SERVICES,4037,"Professional, Consultancy and Hired Services",50037,TAXI LICENSING,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TRL SUPPLIES LTD,55506,06/12/2024,10647210,1073.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50236,GROUNDS - GENERAL,10/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE ITEMS,BAYDALE CONTROL SYSTEMS LIMITED,36268,06/12/2024,10647218,967.16,192200,Facilities & Management Services,Security,Not Classified,no,REVENUE,BORROWING & PROVISIONS,2003,Premises Security Costs,40302,ACCOMMODATION STRATEGY,11/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",BAYDALE CONTROL SYSTEMS LIMITED,36268,06/12/2024,10647219,2643.65,192200,Facilities & Management Services,Security,Not Classified,no,REVENUE,COMMUNITY SAFETY & REGULATED SERVICES,2003,Premises Security Costs,50037,TAXI LICENSING,11/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",GREENSHIELDS JCB LTD,67455,06/12/2024,10647221,900.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SAFETY & REGULATED SERVICES,4009,"Equipment, Furniture & Materials",50006,SEC & SURV,11/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",EDEN ASSOCIATES,64696,06/12/2024,10647232,975.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,2021,Repairs and Maintenance,40336,FACILITIES MANAGEMENT,11/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",VISIT COUNTY DURHAM,64299,06/12/2024,10647233,1000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4037,"Professional, Consultancy and Hired Services",20192,STOCKTON & DARLINGTON RAILWAY BICENTENARY,11/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,FR365 LTD,78201,12/12/2024,10647234,1000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PROCUREMENT & GOVERNANCE,4037,"Professional, Consultancy and Hired Services",40021,PROCUREMENT & GOVERNANCE TEAM,11/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",1ST COVERALL COMPANY LIMITED,65410,03/12/2024,10647236,611.52,140000,Clothing,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4039,"Clothes, Uniform & Laundry",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",FARRELL FABRICATIONS,34287,24/12/2024,10647237,780.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,2021,Repairs and Maintenance,50800,YARM ROAD DEPOT,03/12/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",ROAM WITH US LIMITED,79792,03/12/2024,10647241,600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4037,"Professional, Consultancy and Hired Services",20593,SIRF,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,CIVICA ELECTION SERVICES LIMITED,40605,03/12/2024,10647244,9230.36,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,DEMOCRATIC SERVICES,4037,"Professional, Consultancy and Hired Services",70006,BY-ELECTIONS,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,JBA CONSULTING,53665,03/12/2024,10647245,1680.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,GENERAL CAPITAL SCHEMES,C201,CONTRACTOR PAYMENTS,C7033,TEES TIDELANDS,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",TUNSTALL HEALTHCARE (UK) LIMITED,53430,03/12/2024,10647247,9400.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SAFETY & REGULATED SERVICES,4009,"Equipment, Furniture & Materials",50003,ONECALL,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,ECO ONLINE,74292,03/12/2024,10647250,912.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"EARLY HELP, YOUTH JUSTICE AND YOUTH SUPPORT",4009,"Equipment, Furniture & Materials",21138,YOUTH JUSTICE & YOUTH SUPPORT,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",EASIBATHE / EASIACESS LTD,44364,03/12/2024,10647251,692.32,321311,Social Community Care Supplies & Services ,Supplies,Equipment,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50950,HIA SERVICE,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",CID PRODUCTS LLP,51997,03/12/2024,10647255,647.60,100000,Building Construction Materials,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50257,CORE,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,TEES MUSIC ALLIANCE LTD,47237,03/12/2024,10647261,875.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNICATIONS,4009,"Equipment, Furniture & Materials",60060,"COMM SERVS, ENV & CULTURE MARKETING",05/11/2024,0,0,2024,202408,SBC,
