Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,02/04/2024,10625471,800.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,NEXT STEPS SUPPORT SERVICES,78515,02/04/2024,10625478,23600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC & CARE EXPERIENCED,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",THYSSENKRUPP ENCASA,34786,02/04/2024,10625498,651.80,321311,Social Community Care Supplies & Services ,Supplies,Equipment,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30015,OT EQUIPMENT & ADAPTATIONS,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,05/04/2024,10625501,1200.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50236,GROUNDS - GENERAL,10/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",C G ROBINSON LTD,35476,05/04/2024,10625522,2697.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,5016,PCB SubContract Work,50257,CORE,10/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TEESSIDE HIGH SCHOOL LTD,35915,02/04/2024,10625533,630.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PARTNERSHIPS,4018,Room/Facility Hire,20471,MUSIC-GENERAL,05/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",KELTIC,44135,04/04/2024,10625536,2747.80,140000,Clothing,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50949,SCHOOL CROSSING PATROLS,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",KELTIC,44135,04/04/2024,10625536,1973.85,140000,Clothing,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4039,"Clothes, Uniform & Laundry",50949,SCHOOL CROSSING PATROLS,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,TOWN CENTRE INVESTMENT CAPITAL,MIDDLESBROUGH BOROUGH COUNCIL,33176,04/04/2024,10625537,2500.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,STOCKTON TOWN CENTRE REDEVELOPMENT,C210,PROFESSIONAL & CONSULTANCY,C2185,URBAN PARK & LAND BRIDGE,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,MIDDLESBROUGH BOROUGH COUNCIL,33176,04/04/2024,10625538,643.99,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TRANSPORTATION,C210,PROFESSIONAL & CONSULTANCY,C1093,STREET LIGHTING SCHEMES,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",MIDDLESBROUGH BOROUGH COUNCIL,33176,04/04/2024,10625539,41236.25,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,2021,Repairs and Maintenance,10033,HIGHWAY MAINTENANCE,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",ASPLIN NORTH EAST LTD T/A SIDGWICKREED ASSOCIATES,64155,04/04/2024,10625541,700.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30757,TEESWIDE SAFEGUARDING ADULTS TEAM,07/03/2024,0,0,2023,202312,SBC
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,TOWN CENTRE INVESTMENT CAPITAL,JACOBS UK LTD,72139,04/04/2024,10625545,5174.29,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWNS FUND,C210,PROFESSIONAL & CONSULTANCY,C2176,YARM CYCLE WAYS (LUF),07/03/2024,0,0,2023,202312,SBC
