Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group 
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,ROADVERT LTD,75828,20/02/2025,10654614,4175.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNICATIONS,4037,"Professional, Consultancy and Hired Services",60060,"COMM SERVS, ENV & CULTURE MARKETING",31/12/2024,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",BUB BACON,78443,21/02/2025,10654616,1120.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4037,"Professional, Consultancy and Hired Services",50933,TEES VALLEY MUSEUM GROUP - NPO GRANT,24/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,IPSEA,66566,21/02/2025,10654629,1400.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4037,"Professional, Consultancy and Hired Services",20454,SEN ASSESSMENT & REVIEW,27/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",J & B RECYCLING LIMITED,38072,28/02/2025,10654634,4158.15,182000,Environmental Services,Waste Management,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50530,RECYCLING,01/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,ZOES PLACE BABYS HOSPICE,44095,19/02/2025,10654636,870.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,01/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"FINANCE, DEVELOPMENT & REGEN",HBINFO LTD,51454,28/02/2025,10654637,1134.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"REVS, BENS & ADMIN",4016,Grants and Subscriptions,50551,REVS & BENS TEAM,01/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",DR VADAKEKARA GEORGE THOMAS,73695,28/02/2025,10654641,6034.75,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30872,DOLS,03/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",NT SWEETING ROOFING CONTRACTORS LTD,35618,28/02/2025,10654645,1760.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,2021,Repairs and Maintenance,50296,BEREAVEMENT SERVICES.,03/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",D R CASWELL LTD,33054,28/02/2025,10654654,2236.00,100000,Building Construction Materials,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4039,"Clothes, Uniform & Laundry",50323,DOMESTIC/REFUSE COLL,03/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,WELFARE CALL,66986,28/02/2025,10654658,33368.40,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4021,ICT Costs,20876,VIRTUAL SCHOOL,03/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,BAM NUTTALL LIMITED,78520,19/02/2025,10654663,1895.18,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,GENERAL CAPITAL SCHEMES,C201,CONTRACTOR PAYMENTS,C7033,TEES TIDELANDS,18/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,YMCA WEARSIDE LTD,72461,25/02/2025,10654667,-685.68,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21152,UNACCOMPANIED ASYLUM SEEKING CHILDREN,11/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TERMINUS PROPERTIES LTD,80303,28/02/2025,10654676,2164.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,03/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TERMINUS PROPERTIES LTD,80303,28/02/2025,10654677,2164.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,03/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TERMINUS PROPERTIES LTD,80303,28/02/2025,10654678,2164.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,03/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TERMINUS PROPERTIES LTD,80303,28/02/2025,10654679,2164.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,03/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TERMINUS PROPERTIES LTD,80303,28/02/2025,10654680,2164.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,21153,SUPPORTED ACCOMMODATION,03/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,XENTRALL,ROYAL MAIL GROUP PLC,38863,20/02/2025,10654681,1663.63,300000,Mail Services ,Not Classified,Not Classified,no,REVENUE,TRANSACTIONAL FINANCE & HR,4050,Mail Services,90045,TRANSACTIONAL FINANCE,17/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"FINANCE, DEVELOPMENT & REGEN",ROYAL MAIL GROUP PLC,38863,19/02/2025,10654683,3457.93,300000,Mail Services ,Not Classified,Not Classified,no,REVENUE,"REVS, BENS & ADMIN",4050,Mail Services,40194,CORPORATE MAIL & PAPER,17/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,ADOPTION MATTERS,55688,20/02/2025,10654688,2054.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,4009,"Equipment, Furniture & Materials",30882,ADOPTION TEES VALLEY,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,IDENTITY CONSULT LTD,66530,20/02/2025,10654692,2707.50,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C2178,PRESTON PARK (LUF),31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,IDENTITY CONSULT LTD,66530,20/02/2025,10654693,909.97,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,TOWN CENTRE INVESTMENT,C210,PROFESSIONAL & CONSULTANCY,C2178,PRESTON PARK (LUF),31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES CAPITAL,SOLMEK,34429,25/02/2025,10654694,3765.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,PLANNED MAINTENANCE,C201,CONTRACTOR PAYMENTS,C3178,NORTHFIELD - CAPITAL MAINTENANCE,01/10/2024,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING CAPITAL",VICKERS CONSTRUCTION LTD,36027,21/02/2025,10654696,12288.00,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,HOUSING,C610,PAYMENT OF CAPITAL GRANT,C5004,DISABLED FACILITY GRANTS,21/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,OFSTED,49277,26/02/2025,10654702,4490.00,202100,Financial Services,Subscriptions,Not Classified,no,REVENUE,CIOC and Care Leavers,4037,"Professional, Consultancy and Hired Services",30096,OUR PLACE,14/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,20/02/2025,10654705,6614.75,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",50340,CFYA Agency Holding Code,09/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,20/02/2025,10654706,1585.13,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",50236,GROUNDS - GENERAL,09/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,21/02/2025,10654707,1710.78,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,1140,Pay - Agency Staff & External Salary Contributions,50450,HVE - INTERNAL WORK,09/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,21/02/2025,10654708,10314.47,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",30396,COMMUNITY TRANSPORT - HOME TO SCHOOL,09/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",TEMP RECRUITMENT LTD,35951,20/02/2025,10654714,868.17,261400,Human Resources,Temporary & Agency Staff,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4037,"Professional, Consultancy and Hired Services",50380,VEHICLES,09/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",UK SWEETS,61865,28/02/2025,10654715,916.08,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"CULTURE, LIBRARIES & EVENTS",4013,Catering,50920,WATSON & BRIGHAM TEA ROOMS,02/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH,ASCENTIS,64153,20/02/2025,10654723,612.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,INCLUSIVE GROWTH & DEVELOPMENT,4037,"Professional, Consultancy and Hired Services",11381,ADULT EDUCATION,14/12/2024,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",ALLSTAR BUSINESS SOLUTIONS,33334,20/02/2025,10654734,1422.52,381100,Vehicle Management,Fuel,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,3025,Vehicle Fuel,50380,VEHICLES,15/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",J & B RECYCLING LIMITED,38072,25/02/2025,10654737,3927.43,182000,Environmental Services,Waste Management,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50530,RECYCLING,01/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,TOGETHER FOR CHILDREN,75226,20/02/2025,10654742,32173.94,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,4036,Printing & Stationery,21133,FAMILY PLACEMENT TEAM,05/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",NORTH STAR HOUSING GROUP,26011,20/02/2025,10654793,6855.00,321000,Social Community Care Supplies & Services,Adult,Not Classified,no,REVENUE,HOUSING & FAIRER STOCKTON,4037,"Professional, Consultancy and Hired Services",59077,PARKS & CEMETERY LODGES,04/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,JC APPLICATIONS DEVELOPMENT,42312,21/02/2025,10654822,8849.70,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,PROCUREMENT & GOVERNANCE,4021,ICT Costs,40071,PREMIUMS & FEES,19/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,LEXTOX,66595,21/02/2025,10654829,867.20,311600,Healthcare,Services,Not Classified,no,REVENUE,SAFEGUARDING,5014,Private Contractors,30080,PROFESSIONAL SERVICES,12/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SHAW TRUST,35569,21/02/2025,10654833,1840.00,321000,Social Community Care Supplies & Services,Adult,Not Classified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4009,"Equipment, Furniture & Materials",20244,EARLY SUPPORT NURSERY,05/12/2024,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPARK OF GENIUS NORTH EAST LLP,62330,21/02/2025,10654835,8794.10,171040,Education,Educational Placements,Not Classified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30433,CIOC-EXTERNAL RESIDENTIAL,16/06/2023,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",TEES ACTIVE LTD,38311,21/02/2025,10654854,1050.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4018,Room/Facility Hire,30252,LD STOCKTON DAY SERVICES,07/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,ALLIANCE LEISURE SERVICES LTD,77467,06/02/2025,10654864,55304.54,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,INCLUSIVE GROWTH & DEVELOPMENT,C210,PROFESSIONAL & CONSULTANCY,C7057,BILLINGHAM CAMPUS SPORTS HUB,06/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,CORNERSTONE TRAINING & SUPPORT LTD,80214,27/02/2025,10654877,32000.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"EDUCATION, INCLUSION AND ACHEIVEMENT",4016,Grants and Subscriptions,20876,VIRTUAL SCHOOL,06/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",VENTILATION HYGIENE SPECIALISTS LTD,63843,25/02/2025,10654878,1289.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50450,HVE - INTERNAL WORK,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING CAPITAL",EASIBATHE / EASIACESS LTD,44364,21/02/2025,10654889,4994.55,321311,Social Community Care Supplies & Services ,Supplies,Equipment,no,CAPITAL,HOUSING,C610,PAYMENT OF CAPITAL GRANT,C5004,DISABLED FACILITY GRANTS,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",COLIN MCGINLEY FUNERAL SERVICE LTD,36162,27/02/2025,10654901,1623.00,120000,Cemetery & Crematorium,Not Classified,Not Classified,no,REVENUE,ADULT SERVICES,6030,Care Services Clients,30888,ADULT SOCIAL CARE FINANCIAL SERVICES,24/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",NORTHERN HEATING SPARES,35126,25/02/2025,10654902,1808.89,100000,Building Construction Materials,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50450,HVE - INTERNAL WORK,16/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"FINANCE, DEVELOPMENT & REGEN",PITNEY BOWES - (PURCHASE POWER),37351,25/02/2025,10654931,4004.97,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,"REVS, BENS & ADMIN",4050,Mail Services,40194,CORPORATE MAIL & PAPER,08/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",EDMUNDSON ELECTRICAL LTD,33101,27/02/2025,10654932,536.00,100000,Building Construction Materials,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,10044,STREET LIGHTING,30/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,BGP CONSULTING LLP,37149,28/02/2025,10654934,540.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,PLANNED MAINTENANCE,C201,CONTRACTOR PAYMENTS,C5145,CEMETERIES,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,BGP CONSULTING LLP,37149,28/02/2025,10654935,620.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,PLANNED MAINTENANCE,C201,CONTRACTOR PAYMENTS,C5145,CEMETERIES,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,BGP CONSULTING LLP,37149,28/02/2025,10654936,860.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,PLANNED MAINTENANCE,C201,CONTRACTOR PAYMENTS,C5145,CEMETERIES,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,BGP CONSULTING LLP,37149,28/02/2025,10654937,540.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,PLANNED MAINTENANCE,C201,CONTRACTOR PAYMENTS,C5145,CEMETERIES,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,BGP CONSULTING LLP,37149,28/02/2025,10654938,620.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,PLANNED MAINTENANCE,C201,CONTRACTOR PAYMENTS,C5145,CEMETERIES,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,COMMUNITY SERVICES & TRANSPORT CAPITAL,BGP CONSULTING LLP,37149,28/02/2025,10654939,540.00,391100,"Works - Construction, Repair & Maintenance",Buildings,Not Classified,no,CAPITAL,PLANNED MAINTENANCE,C201,CONTRACTOR PAYMENTS,C5145,CEMETERIES,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,THOMSON REUTERS,66526,28/02/2025,10654940,2304.72,171114,Education,Literature,Not Classified,no,REVENUE,LEGAL SERVICES,4037,"Professional, Consultancy and Hired Services",70037,LEGAL SERVICES,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",ZM MEDICAL CONSULTANTS,66558,26/02/2025,10654971,1337.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,ADULT SERVICES,4037,"Professional, Consultancy and Hired Services",30872,DOLS,09/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SMILES NURSERY,66379,25/02/2025,10654988,532.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,20964,CIOC-CONNECTED PERSONS,10/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",UNIT4 BUSINESS SOFTWARE LIMITED,36550,25/02/2025,10655033,1464.77,271501,Information Communication Technology,,,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4016,Grants and Subscriptions,50380,VEHICLES,23/12/2024,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",NORTH EAST REGIONAL EMPLOYERS ORGANISATION,35052,27/02/2025,10655038,891.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SAFETY & REGULATED SERVICES,4037,"Professional, Consultancy and Hired Services",50037,TAXI LICENSING,03/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"ADULTS, HEALTH & WELLBEING",NORTH EAST REGIONAL EMPLOYERS ORGANISATION,35052,27/02/2025,10655039,792.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,COMMUNITY SAFETY & REGULATED SERVICES,4037,"Professional, Consultancy and Hired Services",50037,TAXI LICENSING,04/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,REGENERATION & INCLUSIVE GROWTH CAPITAL,ALLIANCE LEISURE SERVICES LTD,77467,25/02/2025,10655040,38691.54,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,INCLUSIVE GROWTH & DEVELOPMENT,C210,PROFESSIONAL & CONSULTANCY,C7057,BILLINGHAM CAMPUS SPORTS HUB,06/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",M BISSELL DISPLAY LIMITED,54524,25/02/2025,10655043,4317.00,230000,Highway Equipment & Materials ,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4009,"Equipment, Furniture & Materials",50450,HVE - INTERNAL WORK,11/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,FOUNTAINS CHAMBERS,38116,25/02/2025,10655044,3700.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,LEGAL SERVICES,4037,"Professional, Consultancy and Hired Services",30067,CHILDRENS IN-HOUSE CASES - EXTERNAL COSTS,19/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,"COMM SERVS, ENV & CULTURE",CROSSLING LTD,33917,25/02/2025,10655045,794.00,100000,Building Construction Materials,Not Classified,Not Classified,no,REVENUE,COMMUNITY SERVICES AND TRANSPORT,4501,PCB Materials,50450,HVE - INTERNAL WORK,20/12/2024,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DARLINGTON BOROUGH COUNCIL,34093,25/02/2025,10655046,8040.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,4037,"Professional, Consultancy and Hired Services",30433,CIOC-EXTERNAL RESIDENTIAL,07/02/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,BANYA FAMILY PLACEMENT AGENCY LTD,80305,27/02/2025,10655047,3459.20,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,CIOC and Care Leavers,5014,Private Contractors,30834,CIOC-EXTERNAL FOSTERING,31/01/2025,0,0,2024,202411,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CORPORATE SERVICES,MRS HELEN ROBINSON,51449,26/02/2025,10655056,650.00,280000,Legal Services,Not Classified,Not Classified,no,REVENUE,LEGAL SERVICES,4037,"Professional, Consultancy and Hired Services",30067,CHILDRENS IN-HOUSE CASES - EXTERNAL COSTS,04/11/2024,0,0,2024,202411,SBC,
