,,LOCAL GOVERNMENT TRANSPARENCY CODE,,,,,,,,,,
,,EXPENDITURE AND GOVERNMENT PROCUREMENT CARD EXPENDITURE OVER £500 ,,,,,,,,,,
,,QUARTER 4 - 2024/2025,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Organisation Name,Transaction Number,Service Label,Organisation Unit,Expenditure Category,Payment Date,Net Value,Non Recoverable VAT,Capital or Revenue,Supplier,Card Transaction,Procurement Classification / Merchant Category - Proclass Code,Procurement Classification / Merchant Category - Proclass Description
Hartlepool Borough Council,0086607767,Adult & Community Based Services,"Coast, Countryside & Heritage",Prof Fees -External Consultant,45742,541.5,0,Revenue,Graham Megson T/A Gray's Ecology,No,152200,Consultancy - Technical & Feasibility 
Hartlepool Borough Council,0086605969,Adult & Community Based Services,"Coast, Countryside & Heritage",Prof Fees -External Consultant,45720,769.5,0,Revenue,Graham Megson T/A Gray's Ecology,No,152200,Consultancy - Technical & Feasibility 
Hartlepool Borough Council,0086604468,Adult & Community Based Services,"Coast, Countryside & Heritage",Prof Fees -External Consultant,45693,1140,0,Revenue,Graham Megson T/A Gray's Ecology,No,152200,Consultancy - Technical & Feasibility 
Hartlepool Borough Council,0086606609,Adult & Community Based Services,"Coast, Countryside & Heritage",Prof Fees -External Consultant,45728,2400,0,Revenue,Nature Based Solutions Ltd,No,152200,Consultancy - Technical & Feasibility 
Hartlepool Borough Council,0086606610,Adult & Community Based Services,"Coast, Countryside & Heritage",Prof Fees -External Consultant,45728,7100,0,Revenue,Nature Based Solutions Ltd,No,152200,Consultancy - Technical & Feasibility 
Hartlepool Borough Council,0086603486,Adult & Community Based Services,"Coast, Countryside & Heritage",Purchase-Computer/Audio/Visual,45685,811,0,Revenue,Vivedia Ltd,No,120000,Cemetery & Crematorium
Hartlepool Borough Council,0086605810,Adult & Community Based Services,"Coast, Countryside & Heritage",Purchase-Computer/Audio/Visual,45714,842,0,Revenue,Vivedia Ltd,No,120000,Cemetery & Crematorium
Hartlepool Borough Council,0086607753,Adult & Community Based Services,"Coast, Countryside & Heritage",Purchase-Computer/Audio/Visual,45742,1161,0,Revenue,Vivedia Ltd,No,120000,Cemetery & Crematorium
Hartlepool Borough Council,0086603784,Adult & Community Based Services,"Coast, Countryside & Heritage",Subscriptions,45665,625,0,Revenue,Keep Britain Tidy,No,202100,Financial Services - Subscriptions 
Hartlepool Borough Council,0086606991,Adult & Community Based Services,"Coast, Countryside & Heritage",Telephone - Calls/Rental/Costs,45728,535.51,0,Revenue,OneCom,No,271700,Information Communication Technology - Telecommunications - Fixed
