DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312444,740.1,Rechargeable Work,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312446,610.33,Whitaker Road T2 Package,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312448,550.9,Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312451,935.49,Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312452,827.25,Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312453,"1,329.14",Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312454,"2,067.15",Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312455,"1,141.74",Rosehill Infant,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,01/02/2024,75437,312457,832.62,Kingsmead,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,ALPHEUS ENVIRONMENTAL LTD,01/02/2024,75421,312467,"10,150.32",Pride Park,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,SEDDON CONSTRUCTION LTD,01/02/2024,75516,312474,"5,713.59",Kedleston Road Heating System,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,KONE PLC,01/02/2024,75472,312475,538.46,Portway Infant,10 - Company,Company
