DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/03/2024,83719,344001,"1,464.42",Highways Maintenance Works,40 - SME,SME
People Services - Children & Young People,Non-Schools,Commissioning,Integrated Commissioning,GLOBAL TRANSLATION SERVICES,05/03/2024,84225,344024,"1,025.73",Interpreting and Translation,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DENNIS EAGLE LTD,05/03/2024,83471,344029,644.3,Vehicle Maintenance,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,DEAFBLIND UK,05/03/2024,84874,344034,"4,034.04",Adult Workforce Learning and Development,10 - Company,Company
Communities & Place,Communities,Streetpride,Refuse Collection,IPL PLASTICS (UK) LIMITED,05/03/2024,84154,344051,"12,900.00",Refuse Collection,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,GELDARD AND SON LIMITED,05/03/2024,84191,344078,"1,127.00",South Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,GELDARD AND SON LIMITED,05/03/2024,84191,344084,"2,883.22",South Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,GELDARD AND SON LIMITED,05/03/2024,84191,344086,"1,954.60",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,GELDARD AND SON LIMITED,05/03/2024,84191,344088,609,West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,GELDARD AND SON LIMITED,05/03/2024,84191,344092,913.5,Central/East MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,GELDARD AND SON LIMITED,05/03/2024,84191,344094,"1,040.00",West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/03/2024,83719,344098,"1,497.13",Highways Maintenance Works,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,05/03/2024,83719,344101,589.88,Highways Maintenance Works,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,THE RIVERSIDE GROUP LTD,05/03/2024,83685,344142,"35,531.67",Integrated Substance Misuse Service,10 - Company,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 1/5,OSMASTON DAY NURSERY LIMITED,05/03/2024,84816,344143,"4,075.00",Family Hubs,10 - Company,Company
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,ESTEEM MULTI ACADEMY TRUST THE FOUNTAINS PRIMARY SCHOOL,05/03/2024,84118,344144,"2,706.00",Independent School Education Placements,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,WATERMAN ASPEN LTD,05/03/2024,83457,344145,"4,260.00",Engineering Section,40 - SME,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,WATERMAN ASPEN LTD,05/03/2024,83457,344146,"3,168.00",Projects Water & Flood Risk Management,40 - SME,SME
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,PREMIER PAPER GROUP LTD,05/03/2024,83809,344149,690.74,Transactional Services,10 - Company,Company
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,SPECIALIST COMPUTER CENTRES PLC,05/03/2024,84730,344151,"57,200.00",Service Support,40 - SME,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,WATERMAN ASPEN LTD,05/03/2024,83457,344154,"10,800.00",Engineering Section,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,HUWS GRAY LIMITED,05/03/2024,83810,344155,696.5,Highways Maintenance Works,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - Non SFA,CDW LTD,05/03/2024,83953,344159,"63,489.69",DfE FEPDG Project,10 - Company,Company
