DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,Revised Report Amount,Revised Report Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,432.28","2,432.28",South OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,THE ADOLESCENT AND CHILDRENS TRUST,02/05/2023,3787,"1,577.12","1,577.12",Agency Fostering,,Voluntary
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,ANDRIN HOUSE NURSING AND RESIDENTIAL HOME,02/05/2023,4227,"2,497.68","2,497.68",West Adults (under 65) LD - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,892.19,892.19,Central OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,000.00","2,000.00",West/South MH Support OP (over 65) - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,271.04","2,271.04",Central OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,497.68","2,497.68",West/South MH Support OP (over 65) - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,497.68","2,497.68",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,271.04","2,271.04",Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,THE ADOLESCENT AND CHILDRENS TRUST,02/05/2023,3787,"1,828.21","1,828.21",Agency Fostering,,Voluntary
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,497.68","2,497.68",South OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,271.04","2,271.04",Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,THE ADOLESCENT AND CHILDRENS TRUST,02/05/2023,3787,"2,945.44","2,945.44",Agency Fostering,,Voluntary
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,497.68","2,497.68",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,497.68","2,497.68",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,271.04","2,271.04",Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,THE ADOLESCENT AND CHILDRENS TRUST,02/05/2023,3787,"2,945.44","2,945.44",Agency Fostering,,Voluntary
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,997.68","2,997.68",South OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,THE ADOLESCENT AND CHILDRENS TRUST,02/05/2023,3787,"2,158.31","2,158.31",Agency Fostering,,Voluntary
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,271.04","2,271.04",Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,268.52","1,268.52",Agency Fostering,,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,629.00","1,629.00",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,432.28","2,432.28",Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,875.91","1,875.91",Agency Fostering,,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,875.91","1,875.91",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,729.98,729.98,Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,875.91","1,875.91",Agency Fostering,,Company
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"1,989.12","1,989.12",West/South MH Support OP (over 65) - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"1,216.14","1,216.14",Central OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,432.28","2,432.28",West/South MH Support OP (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,781.59","1,781.59",Agency Fostering,,Company
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,432.28","2,432.28",West/South MH PD Support (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,875.91","1,875.91",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,432.28","2,432.28",Central OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,432.28","2,432.28",Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,731.75","1,731.75",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,497.68","2,497.68",West OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,497.68","2,497.68",West OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,712.74","1,712.74",Agency Fostering,,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,765.83","1,765.83",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,632.60","2,632.60",South OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,691.36","1,691.36",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,432.28","2,432.28",South OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,172.00","2,172.00",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,432.28","2,432.28",South OP (over 65) Mental Health - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,283.66","2,283.66",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,432.28","2,432.28",South OP (over 65) Mental Health - R/N,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"1,216.14","1,216.14",Central OP (over 65) Mental Health - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,354.45","2,354.45",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"1,578.57","1,578.57",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,781.59","1,781.59",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,432.28","2,432.28",Central OP (over 65) Mental Health - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"1,781.59","1,781.59",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"1,240.13","1,240.13",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,160.00","2,160.00",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,749.61,749.61,South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,520.00","2,520.00",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"1,248.84","1,248.84",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,520.00","2,520.00",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,520.00","2,520.00",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,729.98,729.98,South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,070.00","2,070.00",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"1,216.14","1,216.14",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,LIVERSAGE COURT RESIDENTIAL HOME,02/05/2023,3518,"2,520.00","2,520.00",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,470.63","2,470.63",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,497.68","2,497.68",South OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,676.30","2,676.30",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,432.28","2,432.28",South OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,676.30","2,676.30",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"1,628.57","1,628.57",West OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,676.30","2,676.30",Agency Fostering,,Company
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central/East MH Support OP (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,541.71","2,541.71",Agency Fostering,,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,676.30","2,676.30",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"1,314.99","1,314.99",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central/East MH PD Support (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,541.71","2,541.71",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,194.07","2,194.07",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,MANOR FIELDS,02/05/2023,3520,"2,632.60","2,632.60",Central/East MH Support Adults (under 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,BY THE BRIDGE LTD,02/05/2023,3913,"2,541.71","2,541.71",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",West OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,208.52","1,208.52",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,953.94,953.94,South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",West OP (over 65) Mental Health - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,281.46","1,281.46",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"1,011.53","1,011.53",South OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (over 65) Mental Health - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,281.46","1,281.46",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,832.28","2,832.28",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"2,671.04","2,671.04",South OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,768.68","1,768.68",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,ELVASTON LODGE RESIDENTIAL HOME,02/05/2023,3584,"1,820.75","1,820.75",South OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,370.45","1,370.45",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,375.00","2,375.00",South OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,611.81,611.81,Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"1,942.86","1,942.86",East OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,370.45","1,370.45",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,811.09,811.09,East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,370.45","1,370.45",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"4,129.13","4,129.13",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"1,700.00","1,700.00",West OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,281.46","1,281.46",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,AGINCARE DERBY LIMITED,02/05/2023,4095,"1,125.00","1,125.00",South OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,607.14,607.14,East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,281.46","1,281.46",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,792.86","2,792.86",East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,611.36","1,611.36",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"3,400.00","3,400.00",East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,500.28,500.28,East OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,828.21","1,828.21",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,400.44","2,400.44",East OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,828.21","1,828.21",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,664.24","2,664.24",East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,MANOR FIELDS,02/05/2023,3520,"1,703.28","1,703.28",West/South MH Support Adults (under 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,955.18","1,955.18",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",West/South MH Memory Support (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,955.18","1,955.18",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,MANOR FIELDS,02/05/2023,3520,"2,632.60","2,632.60",West/South MH Support OP (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,828.21","1,828.21",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",South OP (over 65) Mental Health - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",South OP (over 65) Mental Health - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,828.21","1,828.21",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",East OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"3,491.38","3,491.38",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",South OP (over 65) Mental Health - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,189.93","2,189.93",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",East OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"1,955.18","1,955.18",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",East OP (over 65) Mental Health - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,FOSTERING SOLUTIONS LTD,02/05/2023,3679,"5,890.90","5,890.90",Agency Fostering,,Company
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",East OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,729.98,729.98,Central OP (Over 65) Physical - R/N,,SME
