Body Name,Body,Service Division,Expense Type,Date Paid,Transaction Ref,Invoice Amount,Supplier Name
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Water and Sewerage Charges,17/09/2024,30037721,705.3,Wave Anglian Water Business National Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Subscriptions to Organisations and Other Bodies,17/09/2024,30037766,768,South Holland District Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Water and Sewerage Charges,17/09/2024,30037721,352.65,Wave Anglian Water Business National Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),17/09/2024,30037832,"6,375.24",Sibjon Builders
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Agency Staff,17/09/2024,30037780,"4,899.42",Red Rock Partnership Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Agency Staff,17/09/2024,30037781,"1,016.26",Red Rock Partnership Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Vehicle Recovery,17/09/2024,30037485,385,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Vehicle Recovery,17/09/2024,30037486,385,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,17/09/2024,30037309,253.68,Napa Autoparts formerly M E Autoparts Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,17/09/2024,30037313,462.17,Partic Motor Spares Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,17/09/2024,30037314,300.91,Partic Motor Spares Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,17/09/2024,30037316,476.67,Partic Motor Spares Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,17/09/2024,30037319,"9,620.07",Vaculug Technologies Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,17/09/2024,30037740,462.17,Partic Motor Spares Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,17/09/2024,30037741,279,Partic Motor Spares Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Postages,19/09/2024,30037440,869,Royal Mail Group Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Development Control,Professional and Contractors Fees,19/09/2024,30037888,"2,076.25",Quba Solutions Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Development Control,Professional and Contractors Fees,19/09/2024,30037889,"1,521.25",Quba Solutions Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Professional and Contractors Fees,19/09/2024,30037887,275,The Engaging People Company
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Cleaning Contract,19/09/2024,30037438,210.56,Eastern Shires Purchasing Organisation
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Water and Sewerage Charges,19/09/2024,30037808,335.97,Wave Anglian Water Business National Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Agency Staff,19/09/2024,30037921,"8,345.76",The Workshop (Wisbech) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Agency Staff,19/09/2024,30037949,"5,448.20",The Workshop (Wisbech) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Agency Staff,19/09/2024,30037952,"7,925.98",The Workshop (Wisbech) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Professional and Contractors Fees,19/09/2024,30037923,324,Sid Dennis and Sons Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Professional and Contractors Fees,19/09/2024,30037948,"1,134.00",Sid Dennis and Sons Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Professional and Contractors Fees,19/09/2024,30037951,480,“Personal Information Redacted”
