SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 JUL 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
QUADIENT UK LIMITED,28/06/2024," £1,000.00 ",Postage Costs,,,,,,
QUADIENT UK LIMITED,05/07/2024, £800.00 ,Postage Costs,,,,,,
R G CARTER CAMBRIDGE LIMITED,18/06/2024," £19,649.36 ",Building Minor Works,,,,,,
REDSPEED INTERNATIONAL LIMITED,06/06/2024," £4,017.18 ",Maintenance Specialist Operation Equipment,,,,,,
RICOH UK LIMITED,14/06/2024," £49,118.19 ",Photocopiers - Rental,,,,,,
ROYAL MAIL,06/06/2024, £955.00 ,Postage Costs,,,,,,
RSP RAIL TRAVEL ACCOUNT,21/06/2024," £1,234.90 ",Detained Persons - Other Expenses,,,,,,
SANCUS OPERATIONS LIMITED,26/06/2024," £1,140.00 ",External Training Course ,,,,,,
SBFM LIMITED,01/06/2024," £60,110.76 ",Cleaning Contract,,,,,,
SBFM LIMITED,01/07/2024," £60,110.76 ",Cleaning Contract,,,,,,
SEPURA LIMITED,03/07/2024," £17,976.40 ",Hardware,,,,,,
SMARTSURVEY LIMITED,20/06/2024," £5,400.00 ",Software - Maintenance,,,,,,
STREAMLINED FORENSIC REPORTING LIMITED,03/06/2024," £5,249.00 ",SFR Medical Contract,,,,,,
STREAMLINED FORENSIC REPORTING LIMITED,02/07/2024," £3,637.75 ",SFR Medical Contract,,,,,,
SUFFOLK COUNTY COUNCIL,13/06/2024," £117,027.82 ",Young Offenders Teams,,,,,,
SUFFOLK COUNTY COUNCIL,01/07/2024," £144,000.00 ",Partnership Grants,,,,,,
TESCO UNDERWRITING LIMITED,04/07/2024," £2,765.96 ",Accident Reports,,,,,,
THE AUTOMOBILE ASSOCIATION,17/06/2024," £6,614.00 ",Vehicle Recovery Costs,,,,,,
THE KNOWLEDGE ACADEMY LIMITED,19/06/2024," £1,000.00 ",Training Materials and Study Costs,,,,,,
THE PSYCHOLOGY CONSULTANCY (UK) LIMITED,01/07/2024," £23,265.67 ",Psychology Services,,,,,,
THE STATIONERY OFFICE LIMITED,20/06/2024," £2,000.00 ",Software - Maintenance,,,,,,
THE WINDSCREEN COMPANY,06/06/2024," £1,855.00 ",Vehicle Insurance,,,,,,
THINK DIFFERENT EVENTS LIMITED,25/06/2024, £655.00 ,External Training Course ,,,,,,
THURLOW NUNN,17/06/2024, £854.43 ,Vehicle Repairs,,,,,,
THURLOW NUNN,29/06/2024, £743.79 ,Vehicle Repairs,,,,,,
TOTAL ENERGIES GP,11/07/2024," £11,391.20 ",Gas,,,,,,
TRUVELO (UK) LIMITED,27/06/2024, £755.00 ,Specialist Operational Equipment,,,,,,
TWO MAGPIES BAKERY LIMITED,19/06/2024," £1,419.17 ",Refreshments at Meetings,,,,,,
UNIVERSITY OF EAST ANGLIA,18/06/2024," £2,833.33 ",University Fees,,,,,,
US AIR FORCE CATERING,26/07/2024," £13,025.96 ",Subsistence,,,,,,
VOLKSWAGEN GROUP UK LIMITED,14/06/2024, £546.46 ,Vehicles - Spares,,,,,,
VOLKSWAGEN GROUP UK LIMITED,21/06/2024," £3,834.26 ",Vehicles - Spares,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,24/06/2024," £2,217.68 ",SOC Consumables,,,,,,
WA PRODUCTS (UK) LIMITED T/A SCENESAFE,30/06/2024, £874.04 ,SOC Consumables,,,,,,
WEETING TYRES LIMITED T/A PAGE AND BIRD,29/06/2024," £1,072.33 ",Vehicles - Tyres and Tubes,,,,,,
WEIGHTMANS LLP,24/06/2024," £58,536.18 ",Employers Liability,,,,,,
WEST SUFFOLK COUNCIL,06/06/2024," £1,000.00 ",Other Grants and External Contributions,,,,,,
WIRELESS LOGIC LIMITED,29/06/2024," £6,952.97 ",Mobile Phone Contract Cost,,,,,,
ZEST RECYCLE LIMITED,01/05/2024," £8,565.51 ",Waste Contract ,,,,,,
ZEST RECYCLE LIMITED,01/06/2024," £7,380.34 ",Waste Contract ,,,,,,
