Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000326202,REDACTED PERSONAL INFORMATION,06/12/2024,"12,480.00","2,080.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326209,SURREY RECRUITMENT SERVICES LIMITED,06/12/2024,"6,201.03","1,033.51",Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000326217,REDACTED PERSONAL INFORMATION,06/12/2024,"8,144.40","1,357.40",Housing Needs,LAHF properties,Void repair work
0000326218,REDACTED PERSONAL INFORMATION,06/12/2024,"7,728.00","1,288.00",Housing Needs,LAHF properties,Void repair work
0000326219,REDACTED PERSONAL INFORMATION,06/12/2024,"7,508.40","1,251.40",Housing Needs,LAHF properties,Void repair work
0000326222,PERTEMPS RECRUITMENT PARTNERSHIP LTD,06/12/2024,"2,308.80",384.80,Depot,Refuse Collection,Agency Staff
0000326223,CORDELL HEALTH LTD,10/12/2024,"1,930.00",100.00,Leisure,General Staff Exp Unallocated,Medical Advisor
0000326227,NOBLE POLYTHENE LTD,06/12/2024,"3,428.88",571.48,Depot,Grounds Maintenance,Grounds maintained noncontract
0000326228,SURREY RECRUITMENT SERVICES LIMITED,06/12/2024,"6,650.02","1,108.34",Depot,"Refuse Collection, Street Cleaning",Agency Staff
0000326246,THOMSON REUTERS,06/12/2024,"1,932.48",322.08,Car Parks,Legal,Books & publications
0000326250,REDACTED PERSONAL INFORMATION,06/12/2024,681.00,0.00,Asset Management,Asset Management Admin,Professional subscriptions
0000326256,JADE SECURITY SERVICES LTD,06/12/2024,"3,628.86",604.81,Car Parks,Car Park Administration,Security services
0000326260,KIT KAT,10/12/2024,"1,410.00",0.00,Office Services,CX Secretariat,Books & publications
0000326266,IDOX SOFTWARE LTD,06/12/2024,"1,533.60",255.60,Financial Support,Electoral Registration,Computer Software
0000326276,SURREY HEATH BOROUGH COUNCIL,06/12/2024,"31,756.97",0.00,Depot,Recycling All Materials - AWC,External Contracts
0000326280,REDACTED PERSONAL INFORMATION,10/12/2024,600.00,0.00,Housing Needs,Social Prescribing,Clinical Suprevision
0000326283,REDACTED PERSONAL INFORMATION,10/12/2024,"10,363.20","1,727.20",Housing Needs,LAHF properties,Void repair work
0000326285,REDACTED PERSONAL INFORMATION,13/12/2024,"30,116.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
