Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category,,,,
0000320290,VIVID RESOURCING,12/07/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff,,,,
0000320291,VIVID RESOURCING,05/07/2024,750.00,125.00,Environmental Health,Environmental Health Admin,Agency Staff,,,,
0000320292,SPECIALIST FLEET SERVICES LIMITED,05/07/2024,"5,948.98",965.65,Depot,"Neighbourhood Serv Mgt Support, Street Cleaning, Refuse Collection, Grounds Maintenance, SAT",Commercial Vehicle Maintenance,,,,
0000320294,REDACTED PERSONAL INFORMATION,09/07/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320295,REDACTED PERSONAL INFORMATION,09/07/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320296,REDACTED PERSONAL INFORMATION,09/07/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320297,REDACTED PERSONAL INFORMATION,09/07/2024,"4,860.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320298,REDACTED PERSONAL INFORMATION,09/07/2024,"1,950.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320299,REDACTED PERSONAL INFORMATION,09/07/2024,"3,900.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320301,REDACTED PERSONAL INFORMATION,30/07/2024,"2,460.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320303,REDACTED PERSONAL INFORMATION,09/07/2024,"5,550.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320304,REDACTED PERSONAL INFORMATION,09/07/2024,"2,850.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320305,REDACTED PERSONAL INFORMATION,09/07/2024,"1,885.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320306,REDACTED PERSONAL INFORMATION,12/07/2024,"5,400.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320307,REDACTED PERSONAL INFORMATION,05/07/2024,520.00,0.00,Independent Living,Staines Community Centre,Tutors,,,,
0000320308,FIRST CALL CONTRACT SERVICES,05/07/2024,"2,099.33",349.89,Depot,"Street Cleaning, Refuse Collection",Agency Staff,,,,
0000320310,IDOX SOFTWARE LTD,09/07/2024,"5,700.00",950.00,Planning,Development Control,Computer Software,,,,
0000320312,MATTHEWS ASSOCIATES (UK) LIMITED,05/07/2024,"7,560.00","1,260.00",Planning,Economic Development,Agency Staff,,,,
0000320313,WOW FACTOR ENTERTAINMENT LTD,05/07/2024,"5,472.00",0.00,Car Parks,Environmental Health Admin,Legal and Court Costs,,,,
0000320318,CFH DOCMAIL LTD,05/07/2024,"5,036.11",839.35,Elections,Electoral Registration,Specialised printing,,,,
0000320321,REDACTED PERSONAL INFORMATION,23/07/2024,"1,520.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320322,REDACTED PERSONAL INFORMATION,19/07/2024,"15,660.00","2,610.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320323,REDACTED PERSONAL INFORMATION,12/07/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320324,REDACTED PERSONAL INFORMATION,12/07/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320325,REDACTED PERSONAL INFORMATION,12/07/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320326,REDACTED PERSONAL INFORMATION,12/07/2024,"1,540.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320327,REDACTED PERSONAL INFORMATION,12/07/2024,600.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320328,REDACTED PERSONAL INFORMATION,12/07/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320329,REDACTED PERSONAL INFORMATION,12/07/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320338,VANTA STAFFING LTD,05/07/2024,858.72,143.12,Depot,Refuse Collection,Agency Staff,,,,
0000320339,PERTEMPS RECRUITMENT PARTNERSHIP LTD,05/07/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff,,,,
0000320340,PERTEMPS RECRUITMENT PARTNERSHIP LTD,05/07/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff,,,,
0000320343,REDACTED PERSONAL INFORMATION,09/07/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320345,SDK ENVIRONMENTAL LTD,12/07/2024,"1,176.00",196.00,Environmental Health,Control of Stray Dogs,Kennel Costs,,,,
0000320349,INSIDE HOUSING SOLUTIONS LTD,12/07/2024,"4,800.00",800.00,Environmental Health,Noise Control,OutOfHoursCallService,,,,
0000320355,SURREY RECRUITMENT SERVICES LIMITED,09/07/2024,"9,794.29","1,632.37",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff,,,,
0000320356,SURREY RECRUITMENT SERVICES LIMITED,09/07/2024,"10,434.32","1,739.05",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff,,,,
0000320357,SURREY RECRUITMENT SERVICES LIMITED,09/07/2024,"9,247.57","1,541.27",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff,,,,
0000320361,TUDOR ENVIRONMENTAL,09/07/2024,"1,106.09",184.35,Depot,Grounds Maintenance,Operational equip mats & suppl,,,,
0000320369,JADE SECURITY SERVICES LTD,09/07/2024,"3,479.48",579.91,Car Parks,Car Park Administration,Security services,,,,
0000320374,CHANDLERS LTD,09/07/2024,592.84,0.00,Office Services,Office Services,Office Services,,,,
0000320383,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,09/07/2024,"1,316.25",219.39,Asset Management,Planned Maintenance Programme,Improvements and Adaptation,,,,
0000320384,CHANDLERS LTD,09/07/2024,"1,500.72",0.00,Office Services,Office Services,Office Services,,,,
0000320388,REDACTED PERSONAL INFORMATION,30/07/2024,"3,780.00",630.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320389,REDACTED PERSONAL INFORMATION,09/07/2024,"2,160.00",360.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320390,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,09/07/2024,"1,500.00",250.00,Asset Management,Planned Maintenance Programme,Responsive maintenance,,,,
0000320391,REDACTED PERSONAL INFORMATION,09/07/2024,"4,860.00",810.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320397,TIAA LTD,09/07/2024,"3,384.00",564.00,Car Parks,Audit,External Contracts,,,,
0000320399,REDACTED PERSONAL INFORMATION,09/07/2024,"10,584.00","1,764.00",Planning,Development Control,Consultants fees,,,,
0000320403,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,09/07/2024,954.00,159.00,Asset Management,Planned Maintenance Programme,Responsive maintenance,,,,
0000320405,CORNERSTONES BARRISTERS,09/07/2024,"1,500.00",250.00,Planning,Development Control,Legal and Court Costs,,,,
0000320407,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,09/07/2024,720.00,120.00,Asset Management,Planned Maintenance Programme,Responsive maintenance,,,,
0000320413,CHANDLERS LTD,09/07/2024,809.95,0.00,Office Services,Office Services,Office Services,,,,
0000320418,REDACTED PERSONAL INFORMATION,12/07/2024,"7,707.87",0.00,Independent Living,Meals on Wheels,Food Purchases,,,,
0000320419,STAINES-UPON-THAMES BID LTD,09/07/2024,"26,425.90","4,404.32",Office Services,Staines BID,Rechargeable Works Expenditure,,,,
0000320433,CHANDLERS LTD,09/07/2024,"1,048.45",0.00,Office Services,Office Services,Office Services,,,,
0000320441,J R B ENTERPRISE,09/07/2024,"5,853.84",975.64,Depot,Grounds Maintenance,Operational equip mats & suppl,,,,
0000320442,EZE LIFTS LIMITED,09/07/2024,734.96,122.49,Asset Management,Planned Maintenance Programme,Improvements and Adaptation,,,,
0000320446,ECOTRICITY GROUP LIMITED,19/07/2024,802.67,38.22,Asset Management,Thameside House,Electricity,,,,
0000320966,RICARDO-AEA LTD,12/07/2024,"5,768.40",961.40,Environmental Health,Pollution Control,Pollution Control Monitoring,,,,
0000321149,USTIGATE LIMITED,09/07/2024,"1,764.00",294.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation,,,,
0000321150,REDACTED PERSONAL INFORMATION,09/07/2024,"3,087.00",514.50,Human Resources,Human Resources,Consultants fees,,,,
0000321154,SOFTCAT,09/07/2024,"20,072.69","3,345.45",Office Services,IT Overheads & Infrastructure,Misc. Networking,,,,
0000321158,PLAN-IT ECO,09/07/2024,840.00,0.00,Depot,Neighbourhood Serv Mgt Support,Marketing,,,,
0000321159,REDACTED PERSONAL INFORMATION,09/07/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321161,REDACTED PERSONAL INFORMATION,09/07/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321164,CHANDLERS LTD,09/07/2024,583.94,0.00,Office Services,Office Services,Office Services,,,,
0000321191,RED KITE CONSERVATION SERVICES,09/07/2024,"4,428.00",738.00,Depot,Water Courses & Land  Drainage,Operational Equipment Maint.,,,,
0000321196,LG IMPROVE LLP,09/07/2024,"7,194.00","1,199.00",Accounts,Accountancy,Subscriptions General,,,,
0000321199,REDACTED PERSONAL INFORMATION,09/07/2024,799.80,133.30,Housing Needs,Neighbourhood Serv Mgt Support,Security services,,,,
