Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (œ),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,40.91,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,55.66,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,54.54,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,59.13,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,58.86,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,81.82,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,82.72,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,69.09,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,71.11,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,54.54,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,64.18,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,64.18,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,58.86,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,40.91,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,82.79,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,72.86,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,36.48,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,54.54,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,82.48,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,64.18,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,64.18,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,82.61,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,58.86,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,27.26,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,54.54,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,64.18,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,29.1,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,60.06,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,13.65,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,54.54,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,69.09,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,64.18,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,90.29,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,64.18,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,23.54,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,15.48,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,69.26,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,40.91,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,13.65,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,58.86,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,64.18,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,40.91,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,54.54,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,47.09,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,57.46,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,54.54,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.16,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,58.41,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,58.47,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,22.87,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,68.73,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,64.18,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,63.66,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,67.63,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,57.02,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,57.02,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,67.63,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,35.05,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,67.63,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,63.66,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,54.12,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,45.6,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,60.88,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,67.63,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,58.41,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,57.02,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,57.02,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,46.24,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,63.66,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,67.63,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,58.41,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,72.87,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,70.57,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,45.6,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,45.6,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Refuse Collection,63.66,Agency Staff,Third Party Supplier,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Localities Team,1402.3,Agency Staff,Third Party Supplier,STANDARD,5722,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Localities Team,34.99,Agency Staff,Third Party Supplier,STANDARD,5722,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Localities Team,17.5,Agency Staff,Third Party Supplier,STANDARD,5722,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Localities Team,1346.25,Agency Staff,Third Party Supplier,STANDARD,5722,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Localities Team,1721.25,Agency Staff,Third Party Supplier,STANDARD,5722,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Localities Team,1957.94,Agency Staff,Third Party Supplier,STANDARD,5722,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Localities Team,807.75,Agency Staff,Third Party Supplier,STANDARD,5722,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Localities Team,5.22,Agency Staff,Third Party Supplier,STANDARD,5722,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Localities Team,20.7,Agency Staff,Third Party Supplier,STANDARD,5722,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,22/12/2022,4749812,351519,REED,Members Services,779.18,Agency Staff,Third Party Supplier,STANDARD,2500,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,Corporate Management Team,5806,Agency Staff,Third Party Supplier,STANDARD,2001,EAAA-Chief Executive
RBC Legal Entity,22/12/2022,4749812,351519,REED,Corporate Management Team,5806,Agency Staff,Third Party Supplier,STANDARD,2001,EAAA-Chief Executive
RBC Legal Entity,22/12/2022,4749812,351519,REED,Corporate Management Team,5806,Agency Staff,Third Party Supplier,STANDARD,2001,EAAA-Chief Executive
RBC Legal Entity,22/12/2022,4749812,351519,REED,Corporate Management Team,5806,Agency Staff,Third Party Supplier,STANDARD,2001,EAAA-Chief Executive
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1346.25,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),871.8,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1310,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),3200.1,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1823,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1116.5,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1799.68,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1698.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),655.05,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1799.68,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1459.2,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1833.75,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1467,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),2926,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),11.25,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),5.4,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),15.75,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),8.1,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),27.9,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),39.06,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),2053.39,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1698.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),2179.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1467,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1994.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1799.68,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1026.9,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),2301.36,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),367.03,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),12.15,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),16.65,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1799.68,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1799.68,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
RBC Legal Entity,22/12/2022,4749812,351519,REED,BFFC Agency Staff (Rechargeable),1809.3,Agency Staff,Third Party Supplier,STANDARD,2008,LAAA-Directorate of Resources
