1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8104297100011543114,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 648.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100012080790,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 456.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100012079790,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS," £ 1,094.00 "
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100012007790,F0150 PLACEMENTS - NON FOSTERING,520012 EXTENDED FOSTERING PLACEMENTS,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 500.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011926790,F0150 PLACEMENTS - NON FOSTERING,520012 EXTENDED FOSTERING PLACEMENTS,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 480.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011897629,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 406.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011896629,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011895629,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 406.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011894629,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 420.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011867790,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 514.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8094297100011866790,F0152 PLACEMENTS - FOSTERING,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 500.00 
