Organisation Name,Organisation Code,Payment Date,Invoice Amount Paid,Supplier or Party Name,Directorate,Service Area,Subjective Code Description,BVACOP class,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,713.05,Stone Circle Housing Company,Corporate Director People,Placements,Childrens Residential Care,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,7509.25,COPE Building Contactors,Not Reported to Cabinet,Capital Project Codes,Other Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,320,Salisbury Cars,Corporate Director People,SEN Social Care,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,3840,MT Fencing Contractors Ltd,HRA,HRA Repairs & Maintenance,Grounds Maintenance,Premises Related,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,295,British Gymnastics ,Corporate Director Resources,HR Service Org Dev & Change,Staff Training - Gen,Employee Related,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,7403.4,Project West Ltd,Corporate Director People,Support & Safeguarding,Other Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,1917,Project West Ltd,Corporate Director People,Support & Safeguarding,Other Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,531.25,REDACTED - PERSONAL DATA,Corporate Director Place,leisure Culture and Communities Developm,Professional Fees,Supplies and Services,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,255.42,Action Deafness Ltd,Corporate Director People,Better Care Fund,Translations,Supplies and Services,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,255.42,Action Deafness Ltd,Corporate Director People,Better Care Fund,Translations,Supplies and Services,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,261.9,Action Deafness Ltd,Corporate Director People,Better Care Fund,Translations,Supplies and Services,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,255.42,Action Deafness Ltd,Corporate Director People,Better Care Fund,Translations,Supplies and Services,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,743.12,Red Jacket Specialist Care,Corporate Director People,Children in Care,Additional Allowance,Capital charges and Expenditure,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,2687.61,Swindon Community Action Ltd,Corporate Director Place,Mainstream Education Transport,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,2267.68,Swindon Community Action Ltd,Corporate Director Place,Mainstream Education Transport,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,3695.46,Swindon Community Action Ltd,Corporate Director Place,Mainstream Education Transport,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,2519.64,Swindon Community Action Ltd,Corporate Director Place,Mainstream Education Transport,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,2309.66,Swindon Community Action Ltd,Corporate Director Place,Mainstream Education Transport,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,3057.16,Swindon Community Action Ltd,Corporate Director Place,Mainstream Education Transport,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,2564.8,Swindon Community Action Ltd,Corporate Director Place,Mainstream Education Transport,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,3141.48,Swindon Community Action Ltd,Corporate Director Place,Mainstream Education Transport,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,2785.2,Swindon Community Action Ltd,Corporate Director Place,Mainstream Education Transport,Transport Contracts,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,462,PortalPlanQuest Ltd,Corporate Director Place,Development Management,Planning Application,Income,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,578,PortalPlanQuest Ltd,Corporate Director Place,Development Management,Planning Application,Income,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,258,PortalPlanQuest Ltd,Corporate Director Place,Development Management,Planning Application,Income,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,1156,PortalPlanQuest Ltd,Corporate Director Place,Development Management,Planning Application,Income,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,578,PortalPlanQuest Ltd,Corporate Director Place,Development Management,Planning Application,Income,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,258,PortalPlanQuest Ltd,Corporate Director Place,Development Management,Planning Application,Income,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,354.59,Todds - the door and window repair people,HRA,HRA Repairs & Maintenance,Property Maintenance,Premises Related,,,
