Directorate(T),Supplier,Supplier(T),TransNo,Amount,Trans.date,Expense Area(T),Expense Type(T)
CORP,NPOW01,NPower Ltd,20741241,418.28,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,432.22,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,1706.67,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,1709.12,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,40115.95,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,324.79,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,-324.79,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,-335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,-335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,-324.79,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,-335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,-272.24,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,376.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,10166.13,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,324.79,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,418.28,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,313.97,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,335.62,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,324.79,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,-354.13,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,418.28,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,432.22,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,418.28,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,432.22,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,432.22,2025-01-16 00:00:00,Premises,Electricity
CORP,NPOW01,NPower Ltd,20741241,272.24,2025-01-16 00:00:00,Premises,Electricity
CORP,OAKL14,Oakley Parish Council,10941540,770,2025-02-11 00:00:00,Contractual costs,Member Ward Fund Payment
CORP,OAKL14,Oakley Parish Council,10941741,817,2025-02-13 00:00:00,Contractual costs,Member Ward Fund Payment
CORP,ONES99,The Riverside Group (One Support),10938872,111927.5,2025-01-09 00:00:00,Contractual costs,Other Social Services Payments
CORP,ONES99,The Riverside Group (One Support),10939562,76651.5,2025-01-09 00:00:00,Contractual costs,Other Social Services Payments
CORP,OWEN99,Owen Refrigeration Ltd,10940122,465,2025-01-28 00:00:00,Premises,Maintenance of Buildings
CORP,OWEN99,Owen Refrigeration Ltd,10940127,270,2025-01-28 00:00:00,Premises,Maintenance of Buildings
CORP,OWEN99,Owen Refrigeration Ltd,10940228,447.5,2025-01-28 00:00:00,Premises,Maintenance of Buildings
CORP,OWEN99,Owen Refrigeration Ltd,10940235,492,2025-01-28 00:00:00,Premises,Maintenance of Buildings
CORP,OWEN99,Owen Refrigeration Ltd,10941308,6729.82,2025-02-07 00:00:00,Premises,Maintenance of Buildings
CORP,OWEN99,Owen Refrigeration Ltd,10941318,260,2025-02-07 00:00:00,Premises,Maintenance of Buildings
CORP,OWEN99,Owen Refrigeration Ltd,10941325,400,2025-02-07 00:00:00,Premises,Maintenance of Buildings
CORP,OWEN99,Owen Refrigeration Ltd,10941888,3035.64,2025-02-14 00:00:00,Premises,Maintenance of Buildings
CORP,OYST02,The Oyster Partnership Ltd,10940258,1221,2025-01-29 00:00:00,Employees,Agency Salaries
CORP,OYST02,The Oyster Partnership Ltd,10940269,1221,2025-01-29 00:00:00,Employees,Agency Salaries
CORP,OYST02,The Oyster Partnership Ltd,10940271,1221,2025-01-29 00:00:00,Employees,Agency Salaries
CORP,OYST02,The Oyster Partnership Ltd,10940758,-1221,2025-02-04 00:00:00,Employees,Agency Salaries
CORP,OYST02,The Oyster Partnership Ltd,10940759,-1221,2025-02-04 00:00:00,Employees,Agency Salaries
CORP,OYST02,The Oyster Partnership Ltd,10940760,-1221,2025-02-04 00:00:00,Employees,Agency Salaries
CORP,OYST02,The Oyster Partnership Ltd,10941059,4884,2025-02-05 00:00:00,Employees,Agency Salaries
CORP,PHOE04,Phoenix Software Ltd,10941165,1672.38,2025-02-05 00:00:00,Supplies,Software Maintenance
CORP,PITN96,Pitney Bowes Purchase Power,10941589,1045.06,2025-02-10 00:00:00,Supplies,Purchase of Goods for Resale
