Service_Label,Service_Code,Service_Division_Label,Service_Division_Code,Organisational_Unit_Label,Organisational_Unit_Code,Merchant_Category,Summary_of_the_purpose_of_the_expenditure,Date,Transaction_Number,Capital_and_Revenue,Supplier_Name,Supplier_ID,Net_Amount
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357567,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357568,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357571,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357573,Revenue - General Fund,U-Drive Limited,14303,810.96
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357577,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357578,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357579,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357581,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,802.24
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357582,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,620
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357583,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,620
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,04/03/2025,17357585,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,620
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,05/02/2025,17348989,Revenue - General Fund,U-Drive Limited,14303,716.41
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,05/02/2025,17348990,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,05/02/2025,17348991,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,05/02/2025,17348994,Revenue - General Fund,U-Drive Limited,14303,716.41
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,05/02/2025,17348995,Revenue - General Fund,U-Drive Limited,14303,716.41
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,05/02/2025,17348998,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,05/02/2025,17348999,Revenue - General Fund,U-Drive Limited,14303,716.41
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,05/02/2025,17349004,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352432,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352437,Revenue - General Fund,U-Drive Limited,14303,859.01
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352439,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352441,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352443,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352449,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352451,Revenue - General Fund,U-Drive Limited,14303,797.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352452,Revenue - General Fund,U-Drive Limited,14303,797.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352453,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352454,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352457,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352458,Revenue - General Fund,U-Drive Limited,14303,720.75
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352460,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,11/02/2025,17352461,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361711,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361712,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361713,Revenue - General Fund,U-Drive Limited,14303,748.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361715,Revenue - General Fund,U-Drive Limited,14303,720.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361717,Revenue - General Fund,U-Drive Limited,14303,842.27
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361718,Revenue - General Fund,U-Drive Limited,14303,902.27
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361719,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361724,Revenue - General Fund,U-Drive Limited,14303,860.18
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361726,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,12/03/2025,17361727,Revenue - General Fund,U-Drive Limited,14303,760.76
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,14/03/2025,17362112,Revenue - General Fund,U-Drive Limited,14303,986.01
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,14/03/2025,17362113,Revenue - General Fund,U-Drive Limited,14303,4830.77
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,15/01/2025,17344154,Revenue - General Fund,C.P Davidson & Sons Ltd,52805,4180
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,15/01/2025,17344155,Revenue - General Fund,C.P Davidson & Sons Ltd,52805,4180
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,15/01/2025,17344157,Revenue - General Fund,C.P Davidson & Sons Ltd,52805,3990
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,15/01/2025,17344158,Revenue - General Fund,C.P Davidson & Sons Ltd,52805,3990
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,15/01/2025,17344159,Revenue - General Fund,C.P Davidson & Sons Ltd,52805,3990
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/02/2025,17354165,Revenue - General Fund,C.P Davidson & Sons Ltd,52805,4370
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/02/2025,17354166,Revenue - General Fund,C.P Davidson & Sons Ltd,52805,4370
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/02/2025,17354171,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,686.42
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/02/2025,17354172,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,686.42
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/02/2025,17354175,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,888.19
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/02/2025,17354176,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,686.42
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/02/2025,17354178,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,686.42
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/02/2025,17354183,Revenue - General Fund,U-Drive Limited,14303,766.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/02/2025,17354184,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363134,Revenue - General Fund,U-Drive Limited,14303,748.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363135,Revenue - General Fund,U-Drive Limited,14303,860.18
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363138,Revenue - General Fund,Burnt Tree Group Limited (Enterprise Rent-A-Car Limited),15876,664.28
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363141,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363142,Revenue - General Fund,U-Drive Limited,14303,760.76
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363146,Revenue - General Fund,U-Drive Limited,14303,760.76
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363150,Revenue - General Fund,U-Drive Limited,14303,748.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363152,Revenue - General Fund,U-Drive Limited,14303,760.76
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363156,Revenue - General Fund,U-Drive Limited,14303,792.36
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,19/03/2025,17363161,Revenue - General Fund,U-Drive Limited,14303,760.76
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,24/03/2025,17363928,Revenue - General Fund,U-Drive Limited,14303,716.41
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,25/02/2025,17356144,Revenue - General Fund,U-Drive Limited,14303,911.57
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,25/02/2025,17356146,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,25/02/2025,17356151,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,25/02/2025,17356152,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,25/02/2025,17356154,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,25/02/2025,17356157,Revenue - General Fund,U-Drive Limited,14303,704.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,25/02/2025,17356159,Revenue - General Fund,U-Drive Limited,14303,828.94
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364704,Revenue - General Fund,U-Drive Limited,14303,562.5
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364706,Revenue - General Fund,U-Drive Limited,14303,703.08
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364708,Revenue - General Fund,U-Drive Limited,14303,748.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364712,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364714,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364715,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364722,Revenue - General Fund,U-Drive Limited,14303,692.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364723,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364724,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364725,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364727,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364735,Revenue - General Fund,U-Drive Limited,14303,748.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364737,Revenue - General Fund,U-Drive Limited,14303,748.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364738,Revenue - General Fund,U-Drive Limited,14303,651
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364739,Revenue - General Fund,U-Drive Limited,14303,715.96
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364744,Revenue - General Fund,U-Drive Limited,14303,636.72
City Services - Fleet & Landscapes Trading,GCPT,Fleet Trading Area,ETA40,External Vehicle Hire Charges,AT2020,Contract Hire and Operating Leases,Hire of Transport & Plant,26/03/2025,17364745,Revenue - General Fund,U-Drive Limited,14303,636.72
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Residential Care Expenditure,10/03/2025,17359579,Revenue - General Fund,Sunrise Mental Health,54089,5611.97
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Adults),AA1010,Private Contractors,ASC Residential Care Expenditure,10/03/2025,17359621,Revenue - General Fund,St Andrews Residential Care Home (T/a Choice Ltd),20799,12192.03
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Direct Payments Expenditure,03/02/2025,17347979,Revenue - General Fund,People Places Lives Ltd (Virtual Wallet Clients),52770,3627.96
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Direct Payments Expenditure,03/02/2025,17348037,Revenue - General Fund,People Places Lives Ltd (Virtual Wallet Clients),52770,734.48
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Direct Payments Expenditure,03/03/2025,17356594,Revenue - General Fund,People Places Lives Ltd (Virtual Wallet Clients),52770,1711.4
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Direct Payments Expenditure,06/01/2025,17339891,Revenue - General Fund,People Places Lives Ltd (Virtual Wallet Clients),52770,1711.4
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Direct Payments Expenditure,27/03/2025,25101,Revenue - General Fund,SUPPLIER NAME REDACTED,14171,507.25
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Direct Payments Expenditure,31/03/2025,17365743,Revenue - General Fund,People Places Lives Ltd (Virtual Wallet Clients),52770,1698.84
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Direct Payments Expenditure,31/03/2025,17365798,Revenue - General Fund,People Places Lives Ltd (Virtual Wallet Clients),52770,1621
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Direct Payments Expenditure,31/03/2025,17365806,Revenue - General Fund,People Places Lives Ltd (Virtual Wallet Clients),52770,4368.4
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Home Care Expenditure,04/03/2025,17356931,Revenue - General Fund,Cresta Healthcare Ltd,54099,1809.89
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Home Care Expenditure,25/02/2025,17356005,Revenue - General Fund,SCA Community Care Services,15301,679
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Home Care Expenditure,27/01/2025,17346051,Revenue - General Fund,Altogether Care - Care at Home (Hampshire),15161,31626.45
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Nursing Home Expenditure,10/01/2025,17341093,Revenue - General Fund,Pegmar Ltd,18159,4533.86
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Nursing Home Expenditure,10/01/2025,17341095,Revenue - General Fund,The Hawthorns Care Home (Bondcare Ltd),13835,-2934.14
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Nursing Home Expenditure,10/01/2025,17341102,Revenue - General Fund,Dunwood Manor Nursing Home,18634,-1428.57
Adult Social Care & Public Health,ADULPUB,ASC - Living & Ageing Well - Cost of care,ASCLC,HAS LT Memory & Cognition Support (Older),AA1210,Private Contractors,ASC Nursing Home Expenditure,10/01/2025,17342868,Revenue - General Fund,Methodist Homes t/a Hampton Lodge,14456,5314.28
