Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Neighbourhoods,Agency Admin/Cleric,Professional,1906023870,45204,MATRIX SCM LTD,4230.95
Neighbourhoods,Agency Admin/Cleric,Professional,1906023875,45204,MATRIX SCM LTD,3005.28
Neighbourhoods,Agency Admin/Cleric,Professional,1906023879,45204,MATRIX SCM LTD,1512
Neighbourhoods,Agency Admin/Cleric,Professional,1906023890,45204,MATRIX SCM LTD,2583.35
Neighbourhoods,Agency Admin/Cleric,Professional,1906023908,45204,MATRIX SCM LTD,3595.25
Neighbourhoods,Agency Admin/Cleric,Professional,1906023968,45204,MATRIX SCM LTD,4540.8
Neighbourhoods,Agency Admin/Cleric,Professional,1906023975,45204,MATRIX SCM LTD,3595.25
Neighbourhoods,Agency Admin/Cleric,Professional,1906024050,45204,MATRIX SCM LTD,1400
Neighbourhoods,Agency Admin/Cleric,Professional,1906024103,45204,MATRIX SCM LTD,3172.24
Neighbourhoods,Agency Admin/Cleric,Professional,1906023863,45204,MATRIX SCM LTD,675.52
Neighbourhoods,Agency Admin/Cleric,Professional,1906023877,45204,MATRIX SCM LTD,698.98
Neighbourhoods,Agency Admin/Cleric,Professional,1906023981,45204,MATRIX SCM LTD,697
Neighbourhoods,Agency Admin/Cleric,Professional,1906024142,45204,MATRIX SCM LTD,665.6
Neighbourhoods,Agency Admin/Cleric,Professional,1906024139,45204,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1906023966,45204,MATRIX SCM LTD,2645.6
Neighbourhoods,Agency Admin/Cleric,Professional,1906023995,45204,MATRIX SCM LTD,2395.02
Children & Young Peo,Agency Admin/Cleric,Professional,1906023961,45204,MATRIX SCM LTD,1523.3
City Development,Agency Admin/Cleric,Professional,1906023957,45204,MATRIX SCM LTD,609.84
City Development,Agency Admin/Cleric,Professional,1906023911,45204,MATRIX SCM LTD,646.3
City Development,Agency Admin/Cleric,Professional,1906023913,45204,MATRIX SCM LTD,646.3
Children & Young Peo,"Misc Supp, Tool, Equ",General Supplies,5101081497,45204,YORKSHIRE PURCHASING ORGANISATION,849.97
Children & Young Peo,Agency Admin/Cleric,Professional,1906024141,45204,MATRIX SCM LTD,1517.25
Children & Young Peo,Agency Admin/Cleric,Professional,1906024151,45204,MATRIX SCM LTD,1163.7
Children & Young Peo,Agency Admin/Cleric,Professional,1906024042,45204,MATRIX SCM LTD,802.43
Children & Young Peo,Agency Admin/Cleric,Professional,1906024163,45204,MATRIX SCM LTD,676.5
Children & Young Peo,Agency Admin/Cleric,Professional,1906024176,45204,MATRIX SCM LTD,719.2
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101081565,45204,PHONAK UK LTD,807.19
City Development,R&M - Building Works,R&M Technical Support,5101081592,45204,LEA BUILDING SERVICES LIMITED,1145
City Development,R&M - Building Works,R&M Technical Support,5101081591,45204,LEA BUILDING SERVICES LIMITED,1988
Neighbourhoods,Agency Admin/Cleric,Professional,1906023873,45204,MATRIX SCM LTD,655.55
Neighbourhoods,Agency Admin/Cleric,Professional,1906023893,45204,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1906024021,45204,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1906024030,45204,MATRIX SCM LTD,574.43
Neighbourhoods,Agency Admin/Cleric,Professional,1906024069,45204,MATRIX SCM LTD,655.55
Neighbourhoods,Agency Admin/Cleric,Professional,1906024073,45204,MATRIX SCM LTD,1319.5
Neighbourhoods,Agency Admin/Cleric,Professional,1906024086,45204,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1906024096,45204,MATRIX SCM LTD,1291.5
Neighbourhoods,Agency Admin/Cleric,Professional,1906024102,45204,MATRIX SCM LTD,582.4
Neighbourhoods,Agency Admin/Cleric,Professional,1906024166,45204,MATRIX SCM LTD,1319.5
City Development,Events,General Services Expenses,5101081548,45204,LIVERPOOL GUILD OF STUDENTS,1398
Neighbourhoods,R&M - Environ Works,R&M Technical Support,5101081498,45204,FACULTATIEVE TECHNOLOGIES LTD,3380
City Development,Agency Admin/Cleric,Professional,1906023889,45204,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1906024055,45204,MATRIX SCM LTD,598.5
City Development,Agency Admin/Cleric,Professional,1906024057,45204,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1906024059,45204,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1906024061,45204,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1906024064,45204,MATRIX SCM LTD,624.21
City Development,Agency Admin/Cleric,Professional,1906024066,45204,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1906024068,45204,MATRIX SCM LTD,636.89
City Development,Agency Admin/Cleric,Professional,1906024072,45204,MATRIX SCM LTD,649.57
City Development,Agency Admin/Cleric,Professional,1906024075,45204,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1906024079,45204,MATRIX SCM LTD,589.4
City Development,Agency Admin/Cleric,Professional,1906024082,45204,MATRIX SCM LTD,598.5
City Development,Agency Admin/Cleric,Professional,1906024083,45204,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1906024085,45204,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1906024088,45204,MATRIX SCM LTD,611.53
City Development,Agency Admin/Cleric,Professional,1906024089,45204,MATRIX SCM LTD,598.85
City Development,Agency Admin/Cleric,Professional,1906024092,45204,MATRIX SCM LTD,620.87
City Development,Agency Admin/Cleric,Professional,1906024095,45204,MATRIX SCM LTD,598.5
City Development,Agency Admin/Cleric,Professional,1906024109,45204,MATRIX SCM LTD,704.9
City Development,Agency Admin/Cleric,Professional,1906024111,45204,MATRIX SCM LTD,563.92
City Development,Agency Admin/Cleric,Professional,1906024113,45204,MATRIX SCM LTD,914.28
City Development,Agency Admin/Cleric,Professional,1906024115,45204,MATRIX SCM LTD,604.2
City Development,Agency Admin/Cleric,Professional,1906024116,45204,MATRIX SCM LTD,794.64
City Development,Agency Admin/Cleric,Professional,1906024117,45204,MATRIX SCM LTD,669.9
City Development,Agency Admin/Cleric,Professional,1906024120,45204,MATRIX SCM LTD,581.46
City Development,Agency Admin/Cleric,Professional,1906024121,45204,MATRIX SCM LTD,704.9
City Development,Agency Admin/Cleric,Professional,1906024123,45204,MATRIX SCM LTD,704.9
Neighbourhoods,Agency Admin/Cleric,Professional,1906024051,45204,MATRIX SCM LTD,1832.96
Adult Services & Hea,Agency Admin/Cleric,Professional,1906023910,45204,MATRIX SCM LTD,1778.04
Adult Services & Hea,Charitable Organisti,Agency & Contract Services,1906021197,45204,NHS SUPPLY CHAIN,1398
City Development,Agency Admin/Cleric,Professional,1906023884,45204,MATRIX SCM LTD,1627.26
City Development,Agency Admin/Cleric,Professional,1906024022,45204,MATRIX SCM LTD,1628
City Development,Agency Admin/Cleric,Professional,1906024032,45204,MATRIX SCM LTD,1551
City Development,Agency Admin/Cleric,Professional,1906024178,45204,MATRIX SCM LTD,1254
City Development,Agency Admin/Cleric,Professional,1906024203,45204,MATRIX SCM LTD,1656.06
City Development,Agency Admin/Cleric,Professional,1906023869,45204,MATRIX SCM LTD,1010.84
City Development,Agency Admin/Cleric,Professional,1906024039,45204,MATRIX SCM LTD,956.2
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101081572,45204,J P LENNARD LTD,533.42
Neighbourhoods,Events,General Services Expenses,5101081505,45204,J P LENNARD LTD,656.87
Adult Services & Hea,Agency Admin/Cleric,Professional,1906023923,45204,MATRIX SCM LTD,1029.52
Adult Services & Hea,Agency Admin/Cleric,Professional,1906024012,45204,MATRIX SCM LTD,1331.08
Adult Services & Hea,Agency Admin/Cleric,Professional,1906024172,45204,MATRIX SCM LTD,932.86
