Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Chief Operating Offi,Postages (General),Communications,5101060963,44999,ROYAL MAIL,4700.3
City Development,R&M - Building Works,R&M Technical Support,5101061068,44999,SPIE LIMITED,3268
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101060906,44999,ADHD FOUNDATION,3000
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101060945,44999,SHC CARE SERVICES LTD,2778.5
Children & Young Peo,Private Contractors,Agency & Contract Services,5101061010,44999,ADVANCED CCA - CHORLEY,2435.55
Children & Young Peo,Educ.Equip.(Purchase,B.S.M. & Educational Equipment,5101060873,44999,CONNEVANS LTD,2421
City Development,Promotions,General Services Expenses,5101061017,44999,BAY MEDIA LTD,2280
Finance & Resources,Agency Admin/Cleric,Professional,5101060987,44999,CASTLEFIELD RECRUITMENT LTD,2250
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101061067,44999,PROSPERO GROUP LTD,2125.2
Adult Services & Hea,Adaptations-Private,General Services Exp Social Svs Clients,5101061082,44999,BEERS TIMBER AND BUILDING SUPPLIES,2027.02
Neighbourhoods,Eqip &Mats-Hire/Rent,General Supplies,1905754641,44999,SOUNDS GOOD RADIO COMMUNICATIONS LT,1800
City Development,Non Employ Prof Fees,Professional Fees,5101060922,44999,HAYS SPECIALIST RECRUITMENT LTD,1650
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101061046,44999,TRANSPORT SOLUTIONS GROUP UK LTD,1618.6
Children & Young Peo,Room Hire,Expenses,5101060960,44999,QUICK STAY PROPERTY SOLUTIONS,1575
Children & Young Peo,Room Hire,Expenses,5101061016,44999,QUICK STAY PROPERTY SOLUTIONS,1575
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101060927,44999,QUICK STAY PROPERTY SOLUTIONS,1575
Chief Operating Offi,Printing (Outside),Printing & Office Expenses,5101061063,44999,CMYUK DIGITAL LTD - MATERIALS ONLY,1399.5
Adult Services & Hea,R&M - Building Works,R&M Technical Support,5101061111,44999,RETRO LOVE DELUXE,1350
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101060994,44999,R&R RECRUITMENT NORTHWEST LTD,1200
Neighbourhoods,Publications (Genera,Printing & Office Expenses,5101060900,44999,BRITISH PARKING ASSOCIATION,1172
Neighbourhoods,Eqip &Mats-Hire/Rent,General Supplies,1905754644,44999,SOUNDS GOOD RADIO COMMUNICATIONS LT,1170
Neighbourhoods,Private Contractors,Agency & Contract Services,5101060907,44999,ATG ACCESS  LTD,1123.5
City Development,Events,General Services Expenses,5101060895,44999,SODEXO,1000
Neighbourhoods,Eqip &Mats-Hire/Rent,General Supplies,1905754639,44999,SOUNDS GOOD RADIO COMMUNICATIONS LT,972
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101060962,44999,CTS TRAFFIC & TRANSPORTATION LTD,900
Chief Operating Offi,Repair & Maintenance,Fixtures & Fittings,5101060899,44999,ALPHATEC 2000 LTD,892
Neighbourhoods,R&M - Building Works,R&M Technical Support,5101060904,44999,LIVERPOOL STREETSCENE SERVICES LIMI,737.5
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101060995,44999,QUICK STAY PROPERTY SOLUTIONS,705
Chief Operating Offi,IT Equip&Comm-Purch,Computing,5101060887,44999,INSIGHT DIRECT (UK) LIMITED,699.74
Neighbourhoods,Eqip &Mats-Hire/Rent,General Supplies,1905754642,44999,SOUNDS GOOD RADIO COMMUNICATIONS LT,696
Children & Young Peo,Non Employ Prof Fees,Professional Fees,5101060888,44999,ONLINE ERGONOMICS LTD,692.31
