Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039873,45217,AUTISM INITIATIVES,1330.7
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039459,45217,MENCAP,1311.69
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039789,45217,BROTHERS OF CHARITY SERVICES MERSEY,1311.69
Children & Young Peo,Voluntary Assocs (Ge,Agency & Contract Services,1906037703,45217,****REDACTED PERSONAL INFO****,1301.67
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039268,45217,GRACEFIELD HEALTH CARE LTD,1293.25
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039093,45217,L'ARCHE LIVERPOOL,1292.68
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039620,45217,MEDILINE SUPPORTED LIVING LTD,1286.41
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039406,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,1285.08
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039662,45217,MEDILINE SUPPORTED LIVING LTD,1276.72
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039607,45217,MEDILINE SUPPORTED LIVING LTD,1273.67
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039548,45217,THE FRANCES TAYLOR FOUNDATION LIVER,1260.83
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039702,45217,OPTIONS FOR SUPPORTED LIVING,1254.66
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039367,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,1245.16
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039402,45217,ACCOMPLISH GROUP LTD - BIRMINGHAM,1245.16
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039767,45217,BROTHERS OF CHARITY SERVICES MERSEY,1235.65
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039165,45217,JUST ONE RECRUITMENT,1218.54
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039751,45217,BROTHERS OF CHARITY SERVICES MERSEY,1216.64
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039787,45217,BROTHERS OF CHARITY SERVICES MERSEY,1216.64
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039769,45217,BROTHERS OF CHARITY SERVICES MERSEY,1216.64
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039515,45217,PSS UK,1210.18
Neighbourhoods,Clothing & Uniforms,"Clothing & Uniforms, Laundry",5101082953,45217,IOMA CLOTHING CO LTD,1209.43
Neighbourhoods,Clothing & Uniforms,"Clothing & Uniforms, Laundry",5101082953,45217,IOMA CLOTHING CO LTD,1209.42
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039705,45217,OPTIONS FOR SUPPORTED LIVING,1197.64
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039723,45217,BROTHERS OF CHARITY SERVICES MERSEY,1197.63
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039313,45217,COOPER NOBLE CARE LTD,1191.57
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039520,45217,PSS UK,1191.17
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039353,45217,LIVER CARE LTD,1178.63
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039100,45217,L'ARCHE LIVERPOOL,1167.21
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906039594,45217,NATURAL BREAKS MERSEYSIDE,1140.6
