Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948174,45147,MENCAP,621.63
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948020,45147,HOMEBIRD CARE,621.06
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948456,45147,COMMUNITY INTEGRATED CARE,621.06
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948471,45147,COMMUNITY INTEGRATED CARE,621.06
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948531,45147,BROTHERS OF CHARITY SERVICES MERSEY,621.06
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948258,45147,PSS UK,620.87
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948223,45147,PSS UK,620.87
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948230,45147,PSS UK,620.87
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948253,45147,PSS UK,620.87
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948194,45147,MENCAP,620.87
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948421,45147,COMMUNITY INTEGRATED CARE,620.87
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948259,45147,PSS UK,619.73
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948021,45147,HOMEBIRD CARE,615.16
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948281,45147,THE FRANCES TAYLOR FOUNDATION LIVER,614.6
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947873,45147,JUST ONE RECRUITMENT,610.22
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948248,45147,PSS UK,608.7
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948202,45147,MERSEYSIDE SOCIETY FOR DEAF PEOPLE,602.1
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947720,45147,IMAGINE,600.72
City Development,R&M - Building Works,R&M Technical Support,5101076395,45147,KNOWSLEY BUILDING & ENVIRON SERVICE,600
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948015,45147,HOMEBIRD CARE,598.82
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948066,45147,COOPER NOBLE CARE LTD,598.82
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948515,45147,OPTIONS FOR SUPPORTED LIVING,598.82
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947891,45147,JUST ONE RECRUITMENT,595.96
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948147,45147,AFFINITY SUPPORTING PEOPLE LTD,589.31
