Body Name,Body,Service Area,Service Division,Responsible Unit,Expenses Type,Date,TransNo,Amount £,Supplier,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,2605.68,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45232,30442745,2917.08,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45281,30445343,3308.8,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,3474.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long Term Support - Community:Supported Living,PS Older People 65+ Long Term Support - Community:Supported Living,Contracted Services,45232,30442745,3474.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,3474.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,3474.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45274,30445039,3474.24,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45225,30442360,4053.28,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long term Support - Community:Homecare,PS Older People 65+ Long Term Support - Community:Homecare,Contracted Services,45253,30443897,4053.28,A&T CARING SERVICES,
Bracknell Forest Council,00MA,Older People (65+),Long Term Support - Community:Supported Living,MC Older People 65+ Long Term Support - Community:Supported Living,Contracted Services,45253,30443897,4600,A&T CARING SERVICES,
