Payment Date, Description ,Gross Amount, Supplier Name 
13-Apr-23, Forensic Fees - General ,"£17,049.79",Redacted
20-Apr-23, Training Course Fees ,"£16,728.65",Police and Crime Commissioner For Cheshire
06-Apr-23, Payments to Other Police Authorities ,"£16,703.84",Police & Crime Commissioner for Suffolk
13-Apr-23, Vehicle Police Equipment ,"£16,595.09",Spanset Ltd
20-Apr-23, Payments to Other Police Authorities ,"£16,577.00",Police and Crime Commissioner For Derbyshire
20-Apr-23, Data Network ,"£16,417.12",Siemens Plc (Building Technologies)
20-Apr-23, Forensic Fees - General ,"£16,237.20",Redacted
20-Apr-23, Building Maintenance Contracts ,"£16,195.44",Graham Asset Management Ltd
13-Apr-23, Capital Asset Clearing A/c Intangibles ,"£15,943.32",SSS Public Safety Limited
06-Apr-23, Support Staff-Temporary Staff Wages ,"£15,914.39",Michael Page International Recruitment Limited
13-Apr-23, Consultants Fees ,"£15,870.00",Redacted
27-Apr-23, Payments to Other Police Authorities ,"£15,851.44",Police and Crime Commissioner For Hampshire
27-Apr-23, Electrical Reactive Maintenance ,"£15,708.00",BAM FM Ltd
05-Apr-23, Direct Transport Costs ,"£15,633.50",Allstar
20-Apr-23, Building Reactive Maintenance ,"£15,545.42",Graham Asset Management Ltd
20-Apr-23, Miscellaneous Contributions ,"£15,465.49",Police and Crime Commissioner For Cheshire
20-Apr-23, Payments to Other Police Authorities ,"£15,364.60",Police and Crime Commissioner For Cheshire
27-Apr-23, Miscellaneous Contributions ,"£15,344.00",PCC for South Wales
20-Apr-23, Technical Equipment ,"£15,120.00",Redacted
20-Apr-23, Services & Legal Expenses ,"£15,000.00",Redacted
27-Apr-23, Services & Legal Expenses ,"£15,000.00",Redacted
13-Apr-23, Comp. Consumeables ,"£14,982.00",Redacted
20-Apr-23, Medical Investigations ,"£14,877.00",Aero Healthcare Limited
19-Apr-23, Direct Transport Costs ,"£14,743.79",Allstar
13-Apr-23, Payment for Services ,"£14,732.17",KYM Knowsley Youth Mutual
27-Apr-23, Capital Asset Clearing A/c Building ,"£14,619.60",Coggin Sustainable Office Solutions Limited
20-Apr-23, Consultants Fees ,"£14,610.10",Police and Crime Commissioner For Cheshire
27-Apr-23, Payments to Other Police Authorities ,"£14,461.78",West Midlands Police
13-Apr-23, Data Network ,"£14,437.20",EE Limited 
13-Apr-23, General Subscriptions ,"£14,400.00",Chorus Intelligence Limited
27-Apr-23, Consultants Fees ,"£14,310.00",Solus Management Limited
13-Apr-23, Technical Equipment ,"£14,121.60",Redacted
27-Apr-23, Mechanical Reactive Maintenance ,"£13,997.06",BAM FM Ltd
20-Apr-23, Uniform and Clothing ,"£13,969.67",Redacted
06-Apr-23, Comp. Operations ,"£13,962.00",Redacted
20-Apr-23, Payments to Local Authorities ,"£13,944.45",Scottish Police Authority
06-Apr-23, Locksmith Maintenance Contracts ,"£13,742.34",J.G. Eckersall
06-Apr-23, Locksmith Maintenance Contracts ,"£13,601.46",J.G. Eckersall
06-Apr-23, Support Staff-Temporary Staff Wages ,"£13,500.00",Redacted
13-Apr-23, General Subscriptions ,"£13,440.00",Redacted
20-Apr-23, Forensic Fees - General ,"£13,406.40",Redacted
20-Apr-23, Rents ,"£13,306.96",Merseyside Police Federation
27-Apr-23, Mechanical Reactive Maintenance ,"£13,286.84",BAM FM Ltd
20-Apr-23, Payments to Other Police Authorities ,"£13,188.13",Police and Crime Commissioner For Cheshire
20-Apr-23, Miscellaneous Contributions ,"£13,149.21",The Chief Constable of Staffordshire Police
20-Apr-23, Payment for Services ,"£13,104.00",Access Bookings Limited
27-Apr-23, Telecommunications ,"£13,056.00",BT Global Services Solutions
27-Apr-23, Mechanical Reactive Maintenance ,"£12,993.78",BAM FM Ltd
13-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£12,878.10",Dell Corporation Ltd
13-Apr-23, Forensic Fees - General ,"£12,873.60",Redacted
20-Apr-23, Services & Legal Expenses ,"£12,713.00",Redacted
27-Apr-23, Forensic Fees - General ,"£12,543.12",Redacted
13-Apr-23, Services & Legal Expenses ,"£12,500.00",Health Energy Advice Team Ltd (H.E.A.T)
13-Apr-23, Services & Legal Expenses ,"£12,500.00",Amadudu Women's Refuge
13-Apr-23, Services & Legal Expenses ,"£12,500.00",Redacted
13-Apr-23, S/W Licences ,"£12,397.50",Redacted
06-Apr-23, Rates ,"£12,085.00",Redacted
20-Apr-23, H/W Purchases ,"£12,022.96",Infrasys Ltd
06-Apr-23, Electrical Quoted Works ,"£12,000.00",Feed It Green Ltd
27-Apr-23, Miscellaneous Contributions ,"£12,000.00",HMP Liverpool
20-Apr-23, Payment for Services ,"£11,822.40",UKAS
20-Apr-23, Building Reactive Maintenance ,"£11,769.05",Graham Asset Management Ltd
27-Apr-23, Capital Asset Clearing A/c Vehicles ,"£11,630.40",Redacted
20-Apr-23, Building Reactive Maintenance ,"£11,542.06",Graham Asset Management Ltd
27-Apr-23, Electrical Maintenance Contracts ,"£11,518.00",BAM FM Ltd
27-Apr-23, Capital Asset Clearing A/C Plant & Equipment ,"£11,484.14",Redacted
06-Apr-23, Payment for Services ,"£11,460.72",Redacted
27-Apr-23, Electrical Maintenance Contracts ,"£11,361.14",BAM FM Ltd
13-Apr-23, Diesel ,"£11,277.12",Standard Fuel Oils Limited
13-Apr-23, Diesel ,"£11,277.12",Standard Fuel Oils Limited
13-Apr-23, Building Maintenance Contracts ,"£11,210.40",Graham Asset Management Ltd
20-Apr-23, Diesel ,"£11,180.16",Standard Fuel Oils Limited
20-Apr-23, Forensic Fees - General ,"£11,168.40",Redacted
27-Apr-23, Rates ,"£11,162.00",Redacted
26-Apr-23, Direct Transport Costs ,"£11,071.83",Allstar
20-Apr-23, Network Operating Systems ,"£11,010.32",Redacted
20-Apr-23, Services & Legal Expenses ,"£11,000.00",Redacted
20-Apr-23, Diesel ,"£10,919.38",Standard Fuel Oils Limited
27-Apr-23, Equipment Purchases ,"£10,882.79",Tuskerdirect Limited
06-Apr-23, Forensic Fees - General ,"£10,759.20",Redacted
20-Apr-23, Technical Equipment ,"£10,729.50",Redacted
20-Apr-23, Building Reactive Maintenance ,"£10,698.76",Graham Asset Management Ltd
20-Apr-23, Diesel ,"£10,642.12",Standard Fuel Oils Limited
20-Apr-23, S/W Licences ,"£10,562.56",Ordnance Survey
27-Apr-23, Breathalyzers ,"£10,536.00",Redacted
27-Apr-23, Miscellaneous Contributions ,"£10,395.00",Croxteth Gems Community Association
06-Apr-23, Payments to Other Police Authorities ,"£10,256.20",GMCA (PCC for Greater Manchester)
13-Apr-23, Payment for Services ,"£10,242.06",Redacted
06-Apr-23, Capital Asset Clearing A/c Building ,"£10,235.77",Mace Limited
13-Apr-23, Consultants Fees ,"£10,213.87",Mace Limited
27-Apr-23, Diesel ,"£10,175.62",Standard Fuel Oils Limited
06-Apr-23, Forensic Fees - General ,"£10,132.76",Redacted
20-Apr-23, Vehicle Police Equipment ,"£10,114.08",Redacted
