Date,Transaction Number,Directorate,Local Authority Dept,Merchant Category,Summary of Purpose of Expenditure 1,Summary of Purpose of Expenditure 2,Beneficiary,Total
29/02/2024,5420907,"ADULTS, WELLBEING AND CULTURE ",FUTURE OPTIONS                ,PRIVATE CONTRACTORS,HOMECARE - CALDT,OTHER PROFESSIONAL SERVICES,AGE UK DONCASTER,332.10
02/02/2024,5381804,PLACE                         ,MAJOR PROJECT & INFRASTRUCTURE,INFRASTRUCTURE,BALANCE SHEET GENERAL FUND,C/V ADD - SUBSEQ EXP ENHANCE,HIGHER RHYTHM LTD,"10,000.00"
16/02/2024,5402061,"CHILDREN,YOUNG PEOPLE&FAMILIES",HEAD OF SKILLS                ,SERVICES,SYMCA - MULTIPLY GRANT,,HIGHER RHYTHM LTD,600.00
01/02/2024,5379509,"ADULTS, WELLBEING AND CULTURE ",CULTURE AND COMMERCIALISATION ,RENTS,MUSIC SERVICE & HUB,,DARTS,"4,386.00"
01/02/2024,5379512,"ADULTS, WELLBEING AND CULTURE ",CULTURE AND COMMERCIALISATION ,SERVICES,MUSIC SERVICE & HUB,,DARTS,"21,975.80"
05/02/2024,5382697,CHIEF EXECUTIVE               ,PUBLIC HEALTH                 ,SERVICES,LOCALITY INVESTMENT,,DARTS,"2,000.00"
22/02/2024,5410645,CHIEF EXECUTIVE               ,PUBLIC HEALTH                 ,SERVICES,LOCALITY INVESTMENT,,DARTS,"7,333.83"
22/02/2024,5410614,PLACE                         ,PROPERTY SERVICES             ,EQUIPMENT/FURNITURE/MATERIALS,PBM CONTRACTS,MATERIALS - BUILDING SERVICES,DONCASTER REWINDS LTD,308.00
05/02/2024,5383641,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,858.71
05/02/2024,5383641,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,"1,526.60"
12/02/2024,5395609,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,858.71
12/02/2024,5395609,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,"1,526.60"
19/02/2024,5405241,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,858.71
19/02/2024,5405241,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,"1,526.60"
26/02/2024,5415574,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,858.71
26/02/2024,5415574,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,ADULT SOCIAL SERVICES CLIENTS,DIRECT PAYMENTS - EAST,,REDACTED PERSONAL DATA,"1,526.60"
01/02/2024,5379605,PLACE                         ,HIGHWAYS                      ,EQUIPMENT/FURNITURE/MATERIALS,DIRECT LABOUR OVERHEAD HIGHWAY,EQUIPMENT-GENERAL,LEE GARTH TOOLS LTD,"3,735.00"
01/02/2024,5379605,PLACE                         ,HIGHWAYS                      ,EQUIPMENT/FURNITURE/MATERIALS,DIRECT LABOUR OVERHEAD HIGHWAY,EQUIPMENT-GENERAL,LEE GARTH TOOLS LTD,"1,680.00"
01/02/2024,5379608,PLACE                         ,HIGHWAYS                      ,EQUIPMENT/FURNITURE/MATERIALS,DIRECT LABOUR OVERHEAD HIGHWAY,EQUIPMENT-GENERAL,LEE GARTH TOOLS LTD,390.00
19/02/2024,5405508,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,-715.64
19/02/2024,5405602,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5405635,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5405645,"ADULTS, WELLBEING AND CULTURE ",FUTURE OPTIONS                ,OTHER ESTABLISHMENTS,RESIDENTIAL - MH,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5405677,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - SOUTH,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5405722,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - EAST,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5405790,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5405836,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5405857,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - NORTH,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5406073,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5406101,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5406229,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5406485,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESI SHORT STAY - SOUTH,RESIDENTIAL (SHORT STAY),TOWN MOOR HOUSE - TRUST CARE LTD,"7,156.40"
19/02/2024,5406519,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"6,134.06"
19/02/2024,5406561,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5406564,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESI SHORT STAY - NORTH,RESIDENTIAL (SHORT STAY),TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5406574,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESI SHORT STAY - CENTRAL,RESIDENTIAL (SHORT STAY),TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
19/02/2024,5406652,"ADULTS, WELLBEING AND CULTURE ",COMMUNITIES - CARE & SUPPORT  ,OTHER ESTABLISHMENTS,RESIDENTIAL - CENTRAL,RESIDENTIAL,TOWN MOOR HOUSE - TRUST CARE LTD,"2,862.56"
