Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,Payment Date,,
Roads Policing,Transport,Vehicle Workshops/Maintenance,Vehicle recovery,"5,216.80",AA Business Services,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,,1.95 WA Products (UK) Ltd t/a SceneSafe,27/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Printing,94.00,Xerox (UK) Ltd,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,38.75 WA Products (UK) Ltd t/a SceneSafe,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,57.70,PCC for Devon & Cornwall,17/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,510.00,Toyota (GB) PLC,13/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Third Party Payments,Contribution,Contribution,42.00,PCC for Dorset,06/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Operational Support,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"8,701.28 Nimski Ltd",,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,,80.10 Charles Fellows Supplies Ltd,17/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,Landlords Service Charge,,-29.77  North Bristol NHS Trust,27/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,185.00 WA Products (UK) Ltd t/a SceneSafe,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,948.00,,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,837.00,Sodexo Limited,03/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Employees,Police Pay & Allowances,"Police Sergeant - Basic Pay, NI & Pension","6,293.27",PCC for Gloucestershire,27/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Printing Stationery & Office Exp,Postage,,100.00 DERBY UNITEX LTD,03/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Subsistence & Conference,Subsistence,141.85,PCC for Devon & Cornwall,13/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"1,785.00",Akkodis UK Ltd,27/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"1,250.00",Bechtle Ltd,27/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Clothing Uniforms & Laundry,Laundry & Dry Cleaning,693.00,Elis,10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Grants & Subscriptions,Subscriptions,580.43,Pitney Bowes Ltd,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,General Waste Costs,,585.00 DRA Maintenance Ltd,17/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Catering,Catering,561.00,PEGASUS CATERING LTD,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Subsistence & Conference,Subsistence,10.20,PCC for Devon & Cornwall,17/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Workshops/Maintenance,Vehicle recovery,"3,350.00",AA Business Services,10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,"2,331.86",,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Premises,Cleaning & Domestic Supplies,Cleaning Charges,424.00,Sodexo Limited,03/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,,-0.63  Mitie Care and Custody Ltd,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,,25.50 Charles Fellows Supplies Ltd,17/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,,"2,453.95 ORACLE CORPORATION UK LTD",20/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Fabric,"1,208.00",Avon Armour Limited,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,235.50 WA Products (UK) Ltd t/a SceneSafe,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,,849.00 Hartnell Taylor Cook LLP,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Employees,Police Overtime,"Police Sergeant - Basic Pay, OT, NI & Pension","6,612.32",PCC for Dorset,17/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Investigations,Supplies & Services,Printing Stationery & Office Exp,Printing,86.50,Xerox (UK) Ltd,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,142.00,Toyota (GB) PLC,20/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Premises,Cleaning & Domestic Supplies,Cleaning Charges,441.00,PCC for Dorset,06/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Roads Policing,Supplies & Services,Printing Stationery & Office Exp,Postage,"8,593.22",,17/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,225.00,Ecosystem Ltd,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,228.00,Sodexo Limited,03/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Operational Support,Supplies & Services,Other Expenses,Dogs - Kennel Purchase & Maint,"3,721.00 Designer Kennels Ltd",,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Catering,Catering,939.90,Just Love Nibbles,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,,20.00 G & L Consultancy Ltd,10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Transport,Vehicle Allowances,Travel fares,2.00,,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"41,331.50 Next Link",,06/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Investigative Support,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,19.50 WA Products (UK) Ltd t/a SceneSafe,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"3,045.00",The PCC for West Midlands,10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"2,800.00",Surfwell Bluelight CIC,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigations,Employees,Police Pay & Allowances,"Police Sergeant - Basic Pay, OT, NI & Pension","14,138.66",PCC for Devon & Cornwall,13/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,,0.04 G & L Consultancy Ltd,10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Medical Fees,Pathologists reports,,"2,500.00 Calamat Ltd (Prof D C Mangham)",13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,251.63,Ford Motor Company Limited,06/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Supplies & Services,Other Expenses,Legal Costs & Services,"1,387.50",,27/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Furniture Purchase,"1,648.00",Avon Armour Limited,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Communications & Computing,Network Services,4.80,British Telecommunications PLC,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,,200.00 Compass Services (UK) Ltd,17/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Subsistence & Conference,Subsistence,22.04,PCC for Devon & Cornwall,13/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Employees,Police Overtime,"Police PC - Basic Pay, OT, NI & Pension","40,017.66",PCC for Devon & Cornwall,17/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,304.00,Sodexo Limited,03/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,48.48,Bidfood,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,,200.00 G & L Consultancy Ltd,10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,-1.28  Nimski Ltd,,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,787.50,,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Transport,Vehicle Allowances,Travel fares,16.00,,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Repairs & Maint General,"5,041.88",PCC for Devon & Cornwall,20/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Employees,Police Overtime,"Police PC - OT, NI & Pension","5,510.71",PCC for Devon & Cornwall,27/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Investigative Support,Supplies & Services,Medical Fees,Pathologists reports,,989.00 Dr Mark Fabian Ltd,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Disused,Transport,Vehicle Allowances,Travel fares,440.30,PCC for Dorset,17/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,70.18 WA Products (UK) Ltd t/a SceneSafe,10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,415.50,Sonic Communications (INT) Ltd,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Courses Fees,"8,500.00",SAB Global Intelligence Analysis Co,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Overtime,"Police PC - Basic Pay, OT, NI & Pension","28,700.22",PCC for Devon & Cornwall,27/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Investigations,Supplies & Services,Other Expenses,Courses Fees,,152.00 National Crime Agency,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,,93.00 WA Products (UK) Ltd t/a SceneSafe,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Energy Costs,Electricity,"3,365.78",PCC for Devon & Cornwall,20/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Services,Capital Charges,Capital Charges,Construction & Conversion Fees,15.30,Bureau Veritas UK Ltd,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Courses Fees,,"2,427.50 Devon & Somerset Fire & Rescue Auth",13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Travel fares,9.63,PCC for Dorset,17/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,1.40,Sportsbikeshop Ltd,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,92.40 WA Products (UK) Ltd t/a SceneSafe,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Capital Charges,Forensic Science Services,"1,976.52",PCC for Wiltshire,27/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Capital Charges,Forensic Science Services,"1,945.80",SOCOTEC UK Ltd,13/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Transport,Vehicle Allowances,Travel fares,3.75,PCC for Gloucestershire,20/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Other Expenses,Legal Costs & Services,"3,267.00",,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Fabric,"1,144.25",Avon Armour Limited,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"2,250.00",Akkodis UK Ltd,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,142.00,Toyota (GB) PLC,13/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Transport,Vehicle Allowances,Vehicle mileage allowance,190.13,PCC for Wiltshire,27/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,"1,302.00",Sodexo Limited,03/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"22,312.50",Somerset and Avon Rape and Sexual,13/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Energy Costs,Electricity,"2,449.86",EDF ENERGY 1 LIMITED,25/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Equipment Furniture & Materials,Equipment Repairs & Maintenance,"2,550.00",L&W UK,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,126.00,Taunton Leisure Ltd,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,,"25,269.90 MCS Integrated Solutions",24/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Rent Rates & Water,Landlords Service Charge,,"3,573.09 North Bristol NHS Trust",27/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,791.87,Volkswagen Group UK Ltd Parts,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Services,Capital Charges,Capital Charges,Construction & Conversion Fees,,-17.18  Roberts Environmental Services Ltd,20/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,23.25 WA Products (UK) Ltd t/a SceneSafe,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Software - Licences,"2,395.00 Hickleys Ltd",,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,274.64,Bidfood,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,703.20,,27/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Medical Fees,Drugs & Medical Requisites,142.50,,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,726.00,PCC for Devon & Cornwall,13/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Third Party Payments,Contribution,Contribution,"18,446.93",PCC for Dorset,06/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,570.00 Data Pro IT Ltd",,17/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"3,045.00",The PCC for West Midlands,10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,,171.00 WA Products (UK) Ltd t/a SceneSafe,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,7.99,PCC for Devon & Cornwall,27/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,,-21.67  Sportsbikeshop Ltd,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"-1,195.46  Bristol PartsPlus",,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,510.00,Toyota (GB) PLC,20/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,49.80,Aero Healthcare Ltd,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Services,650.25,AWP Services Ltd,10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Loose Furniture,580.00,BOF Group Ltd,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,,"1,794.80 MCS Integrated Solutions",13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"2,984.31",SJ Cook & Sons,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Overtime,"Police PC - Basic Pay, OT, NI, Pension & Unsociable Hours","7,627.39",PCC for Wiltshire,20/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Other Expenses,Courses Fees,,700.00 National Crime Agency,17/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"44,775.24",Softcat Limited,03/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Operational Support,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,580.00,Respiratory Protective Assessment,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Communications & Computing,Software - Licences,"8,943.60",PHOENIX SOFTWARE LTD,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"48,928.00 CDW Limited",,10/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Premises,Energy Costs,Gas,"1,016.56",PCC for Devon & Cornwall,20/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Catering,Catering,285.12,PEGASUS CATERING LTD,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,605.00,Toyota (GB) PLC,20/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,442.00,Sodexo Limited,03/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,,673.93 Halfords Autocentres Ltd,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,353.52,Bidfood,27/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Grants & Subscriptions,Subscriptions,"1,250.00",Bristol Women in Business CIC,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,,"14,376.60 ORACLE CORPORATION UK LTD",27/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Premises,Rent Rates & Water,National Non Domestic Rates,,"7,307.00 North Somerset Council",10/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Equipment Furniture & Materials,Equipment Operational,,466.00 WA Products (UK) Ltd t/a SceneSafe,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Staff Pay & Allowances,"Police Staff - Basic Pay, NI & Pension","3,402.33",PCC for Wiltshire,27/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,129.99,Sportsbikeshop Ltd,13/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,,-0.84  SOMERSET COUNCIL,27/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Equipment - Consumables,Equipment - Consumables,,31.72 WA Products (UK) Ltd t/a SceneSafe,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"292,460.25",Bristol City Council,06/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,"1,771.69",The Hare & Hounds Hotel,06/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,,"2,921.95 Orchid Cellmark Ltd",03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Fabric,791.20,Avon Armour Limited,03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,,799.31 College of Policing Ltd,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Subsistence & Conference,Subsistence,124.62,PCC for Devon & Cornwall,27/02/2025,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Investigative Support,Supplies & Services,Capital Charges,Forensic Science Services,,"1,839.20 Orchid Cellmark Ltd",03/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Printing Stationery & Office Exp,Printing,280.00,Xerox (UK) Ltd,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"11,440.00",Sopra Steria Limited,13/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"12,503.00",IBM (United Kingdom) Ltd,03/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Printing Stationery & Office Exp,Printing,4.79,Xerox (UK) Ltd,24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,6.76,ebalta Distribution Limited,20/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,"6,250.00",Toyota (GB) PLC,20/02/2025,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Investigative Support,Supplies & Services,Other Expenses,Courses Fees,,"5,695.00 Demux Video Services Ltd",24/02/2025,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
