Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description
50,2024-09-16 00:00:00,0041334948,INV,499.99,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
51,2024-09-16 00:00:00,0041334606,INV,721.4,KPS OFFICE SUPPLIES LTD,03880500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
52,2024-09-16 00:00:00,0041334606,INV,1025,KPS OFFICE SUPPLIES LTD,03880500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
53,2024-09-23 00:00:00,0041337080,INV,249.99,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
54,2024-09-26 00:00:00,0041337435,INV,479.94,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
55,2024-09-26 00:00:00,0041337435,INV,159.98,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
56,2024-09-02 00:00:00,0041333051,INV,249.99,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
57,2024-09-02 00:00:00,0041333051,INV,219.99,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
58,2024-09-02 00:00:00,0041333194,INV,40.99,CSG GLOBAL EDUCATION LTD,01226100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SOCIAL CARE,C6000,Capital Budget
59,2024-09-30 00:00:00,0041337835,INV,2317.71,L W BURT AND SON LTD,80089800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,Obs Sig Equip
60,2024-09-03 00:00:00,0041336127,INV,1980,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1400,Design Fees
61,2024-09-05 00:00:00,0041336311,INV,1200,ARMSTRONG YORK ASBESTOS ENVIRONMENTAL LT,14529900,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CONDITION PROGRAMME,C1500,Obs Sig Equip
62,2024-09-09 00:00:00,0041336597,INV,963,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1400,Design Fees
63,2024-09-16 00:00:00,0041336931,INV,4050,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
64,2024-09-09 00:00:00,0041336504,INV,151331.02,PERFECT HOMES LTD,80166200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
65,2024-09-16 00:00:00,0041336946,INV,968,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
66,2024-09-26 00:00:00,0041337115,INV,1287,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
67,2024-09-19 00:00:00,0041337116,INV,33516,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
68,2024-09-26 00:00:00,0041337437,INV,1348.6,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
69,2024-09-19 00:00:00,0041336934,INV,2940,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Obs Sig Equip
70,2024-09-19 00:00:00,0041337224,INV,66989.57,NEILCOTT CONSTRUCTION LTD,80147400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Obs Sig Equip
71,2024-09-24 00:00:00,0041337488,INV,58951.01,LEIGH ACADEMIES TRUST,13787500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Obs Sig Equip
72,2024-09-02 00:00:00,0041335842,INV,27737.66,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Obs Sig Equip
73,2024-09-02 00:00:00,0041335845,INV,25053.37,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Obs Sig Equip
74,2024-09-26 00:00:00,0041337189,INV,8640,INSPIRE ACADEMY,03839000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
75,2024-09-26 00:00:00,0041337190,INV,599,INSPIRE ACADEMY,03839000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
76,2024-09-19 00:00:00,0041336924,INV,935,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
77,2024-09-19 00:00:00,0041336939,INV,4675.8,BAILEY PARTNERSHIP (GROUP) LTD,02743600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1400,Design Fees
78,2024-09-23 00:00:00,0041337333,INV,83444,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
79,2024-09-05 00:00:00,0041336396,INV,818.9,DATA AND WIRELESS INSTALLATIONS,13794500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
80,2024-09-12 00:00:00,0041336583,INV,2283.92,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
81,2024-09-24 00:00:00,0041337074,INV,7866.8,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
82,2024-09-23 00:00:00,0041337344,INV,35538.42,ROWANS AP ACADEMY,04158000,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
83,2024-09-24 00:00:00,0041337127,INV,14967.53,PORTAKABIN LTD,80165800,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,SEN STRATEGY,C1500,Obs Sig Equip
84,2024-09-09 00:00:00,0041336585,INV,100736.51,LEIGH ACADEMIES TRUST,13787500,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Obs Sig Equip
85,2024-09-24 00:00:00,0041337473,INV,31000,THE HOWARD ACADEMY TRUST,04033600,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,BASIC NEEDS,C1500,Obs Sig Equip
86,2024-09-26 00:00:00,0030275211,INV,19000,REDACTED PERSONAL DATA,14410100,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&
87,2024-09-23 00:00:00,0014902466,INV,4500,REDACTED PERSONAL DATA,04143400,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&
88,2024-09-23 00:00:00,0014902474,INV,7260,REDACTED PERSONAL DATA,14491900,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&
89,2024-09-23 00:00:00,0014902476,INV,7947.99,REDACTED PERSONAL DATA,03855200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&
90,2024-09-23 00:00:00,0014902476,INV,3057.01,REDACTED PERSONAL DATA,03855200,CHILDREN AND ADULTS,CHILDRENS AND ADULTS,CHILDRENS SOCIAL CARE,C7000,CapitalGrants&
