Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description,,
584,2025-02-06 00:00:00,0041346664,INV,2900,TRIPOD PARTNERS LTD,03719000,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
585,2025-02-10 00:00:00,0041346755,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
586,2025-02-03 00:00:00,0041346020,INV,2200,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
587,2025-02-03 00:00:00,0041346021,INV,2035,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
588,2025-02-03 00:00:00,0041346022,INV,2475,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
589,2025-02-03 00:00:00,0041346023,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
590,2025-02-11 00:00:00,0041346977,INV,1750,ACKERMAN PIERCE LTD,14367100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
591,2025-02-11 00:00:00,0041347008,INV,2900,SANCTUARY PERSONNEL LTD,02786100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
592,2025-02-03 00:00:00,0041346086,INV,1750,ACKERMAN PIERCE LTD,14367100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
593,2025-02-03 00:00:00,0041346090,INV,1760,ACKERMAN PIERCE LTD,14367100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
594,2025-02-03 00:00:00,0041346092,INV,1450,SANCTUARY PERSONNEL LTD,02786100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
595,2025-02-03 00:00:00,0041346094,INV,1450,SANCTUARY PERSONNEL LTD,02786100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
596,2025-02-20 00:00:00,0041347639,INV,2200,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
597,2025-02-20 00:00:00,0041347641,INV,2035,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
598,2025-02-10 00:00:00,0041346757,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
599,2025-02-10 00:00:00,0041346758,INV,2200,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
600,2025-02-10 00:00:00,0041346773,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
601,2025-02-10 00:00:00,0041346901,INV,1450,SANCTUARY PERSONNEL LTD,02786100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
602,2025-02-20 00:00:00,0041347737,INV,2035,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
603,2025-02-20 00:00:00,0041347738,INV,1760,ACKERMAN PIERCE LTD,14367100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
604,2025-02-13 00:00:00,0041347023,INV,1760,ACKERMAN PIERCE LTD,14367100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
605,2025-02-13 00:00:00,0041347033,INV,1450,SANCTUARY PERSONNEL LTD,02786100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
606,2025-02-17 00:00:00,0041347322,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
607,2025-02-17 00:00:00,0041347327,INV,1450,TRIPOD PARTNERS LTD,03719000,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
608,2025-02-20 00:00:00,0041347793,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
609,2025-02-20 00:00:00,0041347794,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
610,2025-02-20 00:00:00,0041347798,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
611,2025-02-20 00:00:00,0041347720,INV,1450,SANCTUARY PERSONNEL LTD,02786100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
612,2025-02-20 00:00:00,0041347726,INV,2900,SANCTUARY PERSONNEL LTD,02786100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
613,2025-02-20 00:00:00,0041347727,INV,2900,SANCTUARY PERSONNEL LTD,02786100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
614,2025-02-24 00:00:00,0041347874,INV,1750,ACKERMAN PIERCE LTD,14367100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
615,2025-02-24 00:00:00,0041348010,INV,1760,ACKERMAN PIERCE LTD,14367100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
616,2025-02-24 00:00:00,0041348016,INV,1750,ACKERMAN PIERCE LTD,14367100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
617,2025-02-20 00:00:00,0041347745,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
618,2025-02-20 00:00:00,0041347746,INV,1155,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
619,2025-02-20 00:00:00,0041347784,INV,1450,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
620,2025-02-24 00:00:00,0041348038,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
621,2025-02-24 00:00:00,0041348039,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
622,2025-02-24 00:00:00,0041348040,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
623,2025-02-20 00:00:00,0041347801,INV,1925,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
624,2025-02-20 00:00:00,0041347802,INV,2035,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
625,2025-02-24 00:00:00,0041347871,INV,2200,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
626,2025-02-03 00:00:00,0041345984,INV,1600,PRECISION RESOURCE GROUP LTD,04192600,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
627,2025-02-03 00:00:00,0041345986,INV,1200,PRECISION RESOURCE GROUP LTD,04192600,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
628,2025-02-03 00:00:00,0041346026,INV,1825,ROC SEARCH LTD,04158900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
629,2025-02-03 00:00:00,0041346105,INV,1450,REMEDY RECRUITMENT GROUP LTD,03704900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
630,2025-02-24 00:00:00,0041348036,INV,2200,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
631,2025-02-24 00:00:00,0041348037,INV,1628,TEMPEST RESOURCING LTD,03682200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
632,2025-02-03 00:00:00,0041345979,INV,2340,PRECISION RESOURCE GROUP LTD,04192600,CHILDREN AND ADULTS,EDUCATION,EDUCATION,35000,HR Approved Ag,1040035000000000,SENTEAMSTAFF HR Approved Agency
633,2025-02-20 00:00:00,0016970510,INV,3000,RIVERMEAD SCHOOL,04013400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,45000,PaymentstoOthe,1040545000000000,H.NEEDS LAC OLAS RECOUP Oth Pub Bods
634,2025-02-10 00:00:00,0030276328,INV,13000,BRADFIELDS ACADEMY,03854600,CHILDREN AND ADULTS,EDUCATION,EDUCATION,45000,PaymentstoOthe,1040545000000000,H.NEEDS LAC OLAS RECOUP Oth Pub Bods
635,2025-02-10 00:00:00,0030276336,INV,333.33,BRADFIELDS ACADEMY,03854600,CHILDREN AND ADULTS,EDUCATION,EDUCATION,45000,PaymentstoOthe,1040545000000000,H.NEEDS LAC OLAS RECOUP Oth Pub Bods
636,2025-02-10 00:00:00,0014903017,INV,10363.64,24X7 LTD,14375500,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
637,2025-02-04 00:00:00,0016968620,INV,2939.13,MC PERSONNEL TRANSPORT LTD,13788100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
638,2025-02-04 00:00:00,0016968621,INV,2870.28,MC PERSONNEL TRANSPORT LTD,13788100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
639,2025-02-04 00:00:00,0016968622,INV,4413.82,MC PERSONNEL TRANSPORT LTD,13788100,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
640,2025-02-06 00:00:00,0016968990,INV,3938.18,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
641,2025-02-06 00:00:00,0016969001,INV,3800,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
642,2025-02-06 00:00:00,0016969002,INV,3420,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
643,2025-02-06 00:00:00,0016969003,INV,6000,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
644,2025-02-06 00:00:00,0016969004,INV,6290.9,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
645,2025-02-10 00:00:00,0014903016,INV,3454.55,24X7 LTD,14375500,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
646,2025-02-06 00:00:00,0016969006,INV,3109.09,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
647,2025-02-06 00:00:00,0016969007,INV,2545.36,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
648,2025-02-06 00:00:00,0016969008,INV,2820,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
649,2025-02-06 00:00:00,0016968991,INV,3938.18,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
650,2025-02-06 00:00:00,0016968996,INV,2383.63,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
651,2025-02-06 00:00:00,0016968989,INV,5527.27,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
652,2025-02-06 00:00:00,0016968998,INV,3074.63,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
653,2025-02-06 00:00:00,0016968999,INV,4456.36,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
654,2025-02-06 00:00:00,0016969000,INV,2780,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
655,2025-02-06 00:00:00,0016968992,INV,3109.09,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
656,2025-02-06 00:00:00,0016968993,INV,3192,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
657,2025-02-06 00:00:00,0016969005,INV,3760,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
658,2025-02-06 00:00:00,0016968995,INV,5872.72,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
659,2025-02-10 00:00:00,0016969109,INV,89021.25,24X7 LTD,14375500,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
660,2025-02-10 00:00:00,0016969110,INV,26093.83,24X7 LTD,14375500,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
661,2025-02-10 00:00:00,0016969111,INV,26844.89,24X7 LTD,14375500,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
662,2025-02-10 00:00:00,0016969162,INV,1600,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
663,2025-02-06 00:00:00,0016968997,INV,3272.72,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
664,2025-02-10 00:00:00,0016969165,INV,3657.75,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
665,2025-02-10 00:00:00,0016969166,INV,3802.14,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
666,2025-02-10 00:00:00,0016969167,INV,1219.25,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
667,2025-02-10 00:00:00,0016969168,INV,1219.25,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
668,2025-02-10 00:00:00,0016969169,INV,1016.04,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
669,2025-02-06 00:00:00,0016968994,INV,3382,SAS EXECUTIVE TRAVEL,01518200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
670,2025-02-10 00:00:00,0016969171,INV,927.27,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
671,2025-02-10 00:00:00,0016969172,INV,1625.71,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
672,2025-02-10 00:00:00,0016969173,INV,2837.4,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
673,2025-02-10 00:00:00,0016969174,INV,3251.34,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
674,2025-02-10 00:00:00,0016969175,INV,2334.3,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
675,2025-02-10 00:00:00,0016969164,INV,13668.45,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
676,2025-02-10 00:00:00,0016969177,INV,2235.29,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
677,2025-02-10 00:00:00,0016969178,INV,2090.82,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
678,2025-02-10 00:00:00,0016969179,INV,1625.67,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
679,2025-02-10 00:00:00,0016969180,INV,2844.93,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
680,2025-02-10 00:00:00,0016969181,INV,1828.88,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
681,2025-02-10 00:00:00,0016969170,INV,1016.04,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
682,2025-02-10 00:00:00,0016969183,INV,1293.05,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
683,2025-02-10 00:00:00,0016969196,INV,5054,HATS GROUP LTD,13787400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
684,2025-02-10 00:00:00,0016969197,INV,9685.2,HATS GROUP LTD,13787400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
685,2025-02-10 00:00:00,0016969198,INV,10363.64,HATS GROUP LTD,13787400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
686,2025-02-10 00:00:00,0016969199,INV,12408.73,HATS GROUP LTD,13787400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
687,2025-02-10 00:00:00,0016969176,INV,2641.71,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
688,2025-02-10 00:00:00,0016969201,INV,6927.82,HATS GROUP LTD,13787400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
689,2025-02-10 00:00:00,0016969202,INV,5351.92,HATS GROUP LTD,13787400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
690,2025-02-10 00:00:00,0016969204,INV,14735.54,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
691,2025-02-10 00:00:00,0016969205,INV,2790,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
692,2025-02-10 00:00:00,0017538504,INV,2210.9,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
693,2025-02-10 00:00:00,0016969182,INV,2235.29,VOKES TAXIS,02774200,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
694,2025-02-10 00:00:00,0017538506,INV,4490.9,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
695,2025-02-10 00:00:00,0017538507,INV,4024.54,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
696,2025-02-10 00:00:00,0017538508,INV,8221.81,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
697,2025-02-10 00:00:00,0017538509,INV,2901.81,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
698,2025-02-10 00:00:00,0017538510,INV,2936.36,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
699,2025-02-10 00:00:00,0016969200,INV,11593.53,HATS GROUP LTD,13787400,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
700,2025-02-10 00:00:00,0017538512,INV,4750,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
701,2025-02-10 00:00:00,0017538513,INV,16806.36,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
702,2025-02-10 00:00:00,0017538514,INV,11227.27,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
703,2025-02-10 00:00:00,0017538515,INV,2280,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
704,2025-02-10 00:00:00,0017538516,INV,2953.63,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
705,2025-02-10 00:00:00,0017538505,INV,3437.27,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
706,2025-02-10 00:00:00,0017538518,INV,3333.63,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
707,2025-02-10 00:00:00,0017538519,INV,3420,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
708,2025-02-10 00:00:00,0017538520,INV,5734.54,CANADA CABS,02071900,CHILDREN AND ADULTS,EDUCATION,EDUCATION,26001,Home to School Transport Hired,1041226001000000,SEN TRANSPORT HST Hired
