Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Www.Planning.Co,21/02/2024,Professional Fees,535.00
Paypal *old Courts,04/03/2024,Rent,770.00
Liverpool Philharmonic,04/03/2024,Equipment Furniture & Materials,667.08
Uk Educational Furniture,04/03/2024,Equipment Furniture & Materials,"2,844.75"
Crowdfund* Crowdfunder,04/03/2024,Equipment Furniture & Materials,"1,250.00"
Www.Adass.Org.Uk,05/03/2024,Equipment Furniture & Materials,755.00
Winnard Property Group,05/03/2024,Equipment Furniture & Materials,695.00
Www.Argos.Co.Uk,05/03/2024,Payments to Private Contractors,739.12
Facebk *u7ytwx3tw2,05/03/2024,Advertising (Non Employee),500.00
Currys Online,05/03/2024,Equipment Furniture & Materials,589.00
Sp Leisurexpert,05/03/2024,Equipment Furniture & Materials,"1,550.00"
Paypal *argosdirect,05/03/2024,Grants to External Bodies,901.95
Paypal *argosdirect,05/03/2024,Grants to External Bodies,612.00
Paypal *argosdirect,05/03/2024,Grants to External Bodies,518.99
Ikea Ltd 140 Warrington M,05/03/2024,Personal Needs,582.50
Microsoft#g038098384,06/03/2024,Computer Equipment,"1,067.04"
Premier Inn,06/03/2024,Equipment Furniture & Materials,511.63
Holidays With Care Ltd,06/03/2024,Equipment Furniture & Materials,"1,042.50"
Alpha Electronics(Nrth,07/03/2024,Equipment Furniture & Materials,"2,000.00"
Alpha Electronics(Nrth,07/03/2024,Equipment Furniture & Materials,"1,247.20"
Ullesthorpe Court Htl,07/03/2024,Conferences,585.67
Ullesthorpe Court Htl,07/03/2024,Employee Subsistence,525.71
Facebk *fwqpsybqv2,08/03/2024,Advertising (Non Employee),700.00
Eb *inetwork Innovatio,08/03/2024,Equipment Furniture & Materials,625.00
Athletics Hub,11/03/2024,"Education, Training, Exam Fees",600.00
Apple Store R136,11/03/2024,Equipment Furniture & Materials,641.55
Apple Store R136,11/03/2024,Equipment Furniture & Materials,641.55
Www Surepassdrivingschoo,12/03/2024,Grants to External Bodies,922.00
Trainline,13/03/2024,Employee Transport Costs,638.49
Rics Subs UK Cybs,13/03/2024,Equipment Furniture & Materials,539.00
Rics Subs UK Cybs,13/03/2024,Equipment Furniture & Materials,539.00
Rics Subs UK Cybs,13/03/2024,Equipment Furniture & Materials,539.00
Holiday Inn Express Wi,14/03/2024,Hospitality,"1,238.00"
Residential Estates,14/03/2024,Hospitality,995.00
Residential Estates,14/03/2024,Hospitality,560.00
The Mercury Hotel,19/03/2024,Payments to Private Contractors,525.00
Www.Savills.Com,22/03/2024,Payments to Private Contractors,"2,083.33"
